fuel,S_percent,Note
hard_coal,0.01,
brown_coal,0.01,
coal_coke,0.0001,
natural_gas,0.0000057,
heavy_oil,0.01,
diesel_oil,0.0025,5000 ppm
light_oil,0.00025,500 ppm
biomass,0.0001,
