"iso","X1850","X1855","X1860","X1865","X1870","X1875","X1880","X1885"
"alb",NA,NA,NA,NA,NA,NA,NA,NA
"dza",NA,NA,NA,NA,NA,NA,NA,NA
"arg",NA,NA,NA,NA,NA,NA,NA,NA
"aus",NA,NA,NA,NA,NA,NA,NA,NA
"aut",NA,NA,NA,NA,NA,NA,NA,NA
"bel","145","294","320","471","565","542","608","713"
"bih",NA,NA,NA,NA,NA,NA,NA,NA
"bra",NA,NA,NA,NA,NA,NA,NA,NA
"bgr",NA,NA,NA,NA,NA,NA,NA,NA
"can",NA,NA,NA,NA,NA,NA,NA,NA
"chl",NA,NA,NA,NA,NA,NA,NA,NA
"chn",NA,NA,NA,NA,NA,NA,NA,NA
"twn",NA,NA,NA,NA,NA,NA,NA,NA
"col",NA,NA,NA,NA,NA,NA,NA,NA
"cze",NA,NA,NA,NA,NA,NA,NA,NA
"csk",NA,NA,NA,NA,NA,NA,NA,NA
"dnk",NA,NA,NA,NA,NA,NA,NA,NA
"egy",NA,NA,NA,NA,NA,NA,NA,NA
"fin","5","11","15","14","20","21","22","24"
"fra","406","849","898","1204","1178","1448","1725","1631"
"geo",NA,NA,NA,NA,NA,NA,NA,NA
"deu","210","420","529","988","1261","1759","2468","3268"
"deu",NA,NA,NA,NA,NA,NA,NA,NA
"deu",NA,NA,NA,NA,NA,NA,NA,NA
"hun",NA,"63","88","101","124","160","144","216"
"ind",NA,NA,NA,NA,NA,NA,NA,NA
"irn",NA,NA,NA,NA,NA,NA,NA,NA
"ita",NA,NA,NA,"17","20","28","17","16"
"jpn",NA,NA,NA,NA,NA,NA,NA,NA
"jpn",NA,NA,NA,NA,NA,NA,NA,NA
"kaz",NA,NA,NA,NA,NA,NA,NA,NA
"prk",NA,NA,NA,NA,NA,NA,NA,NA
"kor",NA,NA,NA,NA,NA,NA,NA,NA
"lux","13","17","10.3","27","130","270","261","420"
"mkd",NA,NA,NA,NA,NA,NA,NA,NA
"mys",NA,NA,NA,NA,NA,NA,NA,NA
"mex",NA,NA,NA,NA,NA,NA,NA,NA
"mar",NA,NA,NA,NA,NA,NA,NA,NA
"mmr",NA,NA,NA,NA,NA,NA,NA,NA
"nld",NA,NA,NA,NA,NA,NA,NA,NA
"nzl",NA,NA,NA,NA,NA,NA,NA,NA
"nor",NA,NA,NA,NA,NA,NA,NA,NA
"pak",NA,NA,NA,NA,NA,NA,NA,NA
"pry",NA,NA,NA,NA,NA,NA,NA,NA
"per",NA,NA,NA,NA,NA,NA,NA,NA
"phl",NA,NA,NA,NA,NA,NA,NA,NA
"pol",NA,NA,NA,NA,NA,NA,NA,NA
"prt",NA,NA,NA,NA,NA,NA,NA,NA
"rou",NA,NA,NA,NA,NA,NA,NA,NA
"rus",NA,NA,NA,NA,NA,NA,NA,NA
"scg",NA,NA,NA,NA,NA,NA,NA,NA
"svk",NA,NA,NA,NA,NA,NA,NA,NA
"zaf",NA,NA,NA,NA,NA,NA,NA,NA
"esp",NA,NA,"21","50","54","37","86","159"
"swe","142","188","185","227","300","351","406","465"
"che",NA,NA,NA,NA,NA,NA,NA,NA
"tha",NA,NA,NA,NA,NA,NA,NA,NA
"tun",NA,NA,NA,NA,NA,NA,NA,NA
"tur",NA,NA,NA,NA,NA,NA,NA,NA
"ukr",NA,NA,NA,NA,NA,NA,NA,NA
"gbr","2285","3269","3888","4895","6059","6466","7845","7533"
"kor",NA,NA,NA,NA,NA,NA,NA,NA
"usa","219","402","581","607","1360","1683","3408","3747"
"ussr","228","251","298","300","359","428","449","528"
"ven",NA,NA,NA,NA,NA,NA,NA,NA
"vnm",NA,NA,NA,NA,NA,NA,NA,NA
"yug",NA,NA,NA,NA,NA,NA,NA,NA
"zwe",NA,NA,NA,NA,NA,NA,NA,NA
