iso,units,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970
aut,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,114,115,130,134,151,156,146,141,155,159,172,182,197,213,228,244,NA,221,225,230,250,237,202,191,178,215,263,278,279,292,313,371,332,303,273,259,293,286,320,380,435,522,540,499,485,512,586,617,666,617,631,663,742,779,817,888,958,996,1000,1030,992,971,988,1120,1222,1384,1467,1465,1505,1596,1760,1758,1353,1429,1477,1933,NA,60,100,226,321,342,267,380,332,433,458,459,297,145,95,88,133,193,248,388,551,NA,679,646,784,961,928,102,58,279,613,838,883,1049,1173,1321,1354,1506,1737,1960,1818,1837,2232,2262,2118,2106,2204,2200,2195,2140,2474,2816,2964
bel,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,93,95,100,115,135,150,132,100,95,90,96,98,107,135,189,248,162,149,145,168,179,230,285,294,322,302,324,319,320,312,357,392,450,471,482,423,436,534,565,609,656,607,533,542,491,471,465,453,608,625,727,783,751,713,702,756,827,832,788,684,753,745,819,829,959,1035,980,1025,1019,764,1069,1216,1283,1311,1363,1378,1270,1616,1852,2046,2301,2485,1454,68,128,8,NA,251,1116,876,1613,2148,2844,2543,3368,3709,3857,4041,3365,3198,2749,2710,2953,3030,3161,3843,2426,3059,1790,1422,1269,1631,719,735,2161,2817,3929,3749,3696,4868,4790,4232,4625,5385,5770,5581,5519,5967,6553,6454,6740,6899,8044,8367,8230,8902,10371,11211,10845
bgr,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,9,6,7,8,10,54,91,177,192,206,223,265,457,645,930,1028,1109,1134,1252
che,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,12,15,29,3,12,12,36,32,34,40,40,41,35,54,41,45,34,40,50,50,50,42,30,25,25,24,22,25,28
csk,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,663,737,577,335,817,983,1166,1088,1260,1569,1645,1437,1165,450,499,600,811,1140,1675,1627,NA,1582,1528,1576,1679,1565,576,961,1423,1645,1885,1951,2057,2306,2781,2790,2982,3282,3563,3774,4244,4696,4971,5177,5254,5716,5868,6269,6822,6918,7009,7548
deu,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,95,100,105,105,120,110,120,130,135,140,155,160,175,170,185,190,185,180,185,180,190,230,230,210,190,210,230,270,310,390,420,500,540,500,460,529,592,696,813,905,988,977,1034,1184,1313,1261,1424,1828,1991,1666,1759,1615,1718,1899,1965,2468,2620,3004,3135,3235,3268,3128,3532,3813,3963,4100,4096,4351,4428,4700,4770,5564,6009,6367,7160,7550,6964,7450,8800,8860,9507,10833,11390,10505,11092,13111,13845,15600,16761,12481,10190,11327,11601,10680,6284,7044,7845,9396,4936,7812,10177,9644,13103,11804,13240,9695,6063,3932,5247,8717,12846,15302,15960,18045,17478,13955,15441,15332,15972,13369,NA,2207,2397,4937,7453,9810,11039,13537,12732,13830,17999,19151,20021,18434,23500,27734,27462,26326,25059,29442,29328,27861,29891,32633,35851,35615
dnk,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18,23,31,39,51,33,36,36,40,55,56,59,44,59,73,66,69,69,73,75,76,76,76,77,68
esp,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,67,89,98,95,92,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,118,126,142,126,NA,NA,NA,NA,NA,261,359,205,252,281,240,267,323,283,295,295,335,259,313,294,316,315,355,404,429,373,409,403,425,431,440,498,358,387,294,251,347,210,400,497,528,487,590,557,749,616,473,296,330,363,341,226,132,436,473,579,536,535,584,551,479,491,503,522,615,664,650,763,800,877,964,913,962,1302,1675,1886,2077,2101,1911,1903,2338,2107,2687,2783,3314,4165
fin,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,6,5,6,7,10,8,11,9,12,13,12,15,9,12,13,13,14,18,14,17,19,20,21,19,24,25,21,26,22,14,18,22,22,22,18,23,24,17,20,20,15,24,23,24,21,21,23,26,33,27,27,31,31,30,23,16,22,16,15,12,9,8,9,10,9,10,8,9,9,6,7,10,10,12,9,11,11,9,10,9,7,3,5,7,5,2,6,4,16,28,29,25,22,28,42,99,35,77,66,90,99,64,101,108,79,74,114,103,128,101,108,137,152,331,332,597,940,936,1025,811,1231,1222
fra,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,198,199,206,216,221,217,266,225,225,236,269,295,308,332,348,350,348,377,399,423,427,439,522,592,472,414,406,446,523,661,771,849,923,992,872,864,898,967,1091,1157,1213,1204,1260,1229,1235,1381,1178,860,1218,1382,1416,1448,1435,1507,1521,1400,1725,1886,2039,2069,1872,1631,1517,1568,1683,1734,1962,1897,2057,2003,2070,2004,2340,2484,2525,2578,2714,2389,2405,2841,2974,3077,3314,3590,3401,3574,4038,4470,4939,5207,2736,584,1311,1408,1293,2412,3434,3417,5229,5432,7693,8494,9432,9273,9981,10300,10035,8199,5537,6234,6151,5789,6230,7855,6012,7376,3683,3351,3838,4921,2893,1177,3444,4886,6559,8345,7761,8750,9769,8666,8841,10960,11480,11916,11967,12472,14145,14566,13959,14306,15863,15770,15590,15710,16450,18212,19221
