"iso","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"alb",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","15","20","25","25","30","35","40","45","50","50","50","55","40","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"dza",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.8","163.6","245.4","327.2","409","407","405","403","401","399","453","507","561","615","669","897","1069","1126","1191","1477","1262","1493","1215","1315","1054","879","930","925","919","962","850","526","757","807","767","800","960","965","994","952","1093","1193","690","680","696","360","350","300","300"
"arg",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","1.2","1.8","2.4","3","6","9","12","15","18","21.4","24.8","28.2","31.6","35","64.2","93.4","122.6","151.8","181","277.4","373.8","470.2","566.6","663","693.4","723.8","754.2","784.6","815","869.6","924.2","978.8","1033.4","1088","1077.4","1066.8","1056.2","1045.6","1035","118","974","913","902","1310","1625","1752","1596","2062","1922","1305","966","984","1410","1568","1966","2080","2122","1985","2183","1909","2174","2405","2392","2644","2481","2593","2581","2042","2532","2801","2073","2650","2766"
"aus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2","16.4","24.6","32.8","41","62.6","84.2","105.8","127.4","149","189.2","229.4","269.6","309.8","350","369.2","388.4","407.6","426.8","446","419.4","392.8","366.2","339.6","313","392.4","471.8","551.2","630.6","710","814.2","918.4","1022.6","1126.8","1231","1212","1193","1174","1155","1136","1131.8","1127.6","1123.4","1119.2","1115","1271.8","1428.6","1585.4","1742.2","1899","2058.8","2218.6","2378.4","2538.2","2698","2958.2","3218.4","3478.6","3738.8","3999","4353","4707","5061","5415","5769","6121.4","6473.8","6826.2","7178.6","7531","7420","7309","7198","7087","6976","6740","5953","5062","5324","5599","5853","5581","5723","6084","6127","5633","6384","7414","7466","7475","7381","7685","7723","7047","7049","6017","6106","6116","5735","6203","6433","6369","6057","4370","6005","5265","3710","3477","3282"
"aut","185.892084978379","190.719182803785","195.546280629191","200.373378454597","205.200476280003","210.027574105408","218.583944350442","227.140314595475","235.696684840509","244.253055085542","252.809425330576","266.938271604938","281.067117879301","295.195964153663","309.324810428025","323.453656702388","331.405151344237","339.356645986087","347.308140627937","355.259635269787","363.211129911637","348.527417434355","333.843704957072","319.159992479789","304.476280002507","289.792567525224","282.612646487435","275.432725449646","268.252804411857","261.072883374068","253.892962336279","279.114369869023","304.335777401767","329.557184934511","354.778592467256","380","363.4","346.8","330.2","313.6","297","276.2","255.4","234.6","213.8","193","290.2","387.4","484.6","581.8","679","563.6","448.2","332.8","217.4","102","258.2","414.4","570.6","726.8","883","1007.6","1132.2","1256.8","1381.4","1506","1651.2","1796.4","1941.6","2086.8","2232","2225.6","2219.2","2212.8","2206.4","2200","2352.8","2505.6","2658.4","2811.2","2964","2982.4","3000.8","3019.2","3037.6","3056","3141.8","3227.6","3313.4","3399.2","3485","3477","3115","3319","3745","3734","3349","3451","3665","3823","3452","3442","3074","3070","3320","3878","3416","3966","4021","3913","4318","4375","4669","4677","4847","5444","5547","5908","5795","4353","5621","5815","5751","6152","6029"
"bel","1244.00940026321","1276.31284702638","1308.61629378956","1340.91974055274","1373.22318731591","1405.52663407909","1462.7867644294","1520.04689477972","1577.30702513004","1634.56715548035","1691.82728583067","1786.37901234568","1880.93073886069","1975.4824653757","2070.03419189071","2164.58591840571","2217.79815754841","2271.01039669111","2324.2226358338","2377.4348749765","2430.6471141192","2332.38216456727","2234.11721501535","2135.85226546343","2037.58731591151","1939.32236635959","1891.27357899355","1843.2247916275","1795.17600426145","1747.12721689541","1699.07842952936","1867.86274362349","2036.64705771762","2205.43137181174","2374.21568590587","2543","2707.4","2871.8","3036.2","3200.6","3365","3298","3231","3164","3097","3030","2782","2534","2286","2038","1790","1579","1368","1157","946","735","1327","1919","2511","3103","3695","4033","4371","4709","5047","5385","5618.6","5852.2","6085.8","6319.4","6553","6915.8","7278.6","7641.4","8004.2","8367","8862.6","9358.2","9853.8","10349.4","10845","10492.2","10139.4","9786.6","9433.8","9081","9233.6","9386.2","9538.8","9691.4","9844","9787","7832","8033","8968","8720","8046","8239","9146","8862","9416","9353","8524","8179","8979","9199","8627","8076","8618","8430","8471","7732","7988","7813","8224","7254","7516","6577","6977","3087","4688","4725","4073","4343","4388"
"bih","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","243","483","621","685","750","759","860"
"bra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.18987341772152","6.37974683544304","9.56962025316456","12.7594936708861","15.9493670886076","18.7594936708861","21.5696202531646","24.379746835443","27.1898734177215","30","31","32","33","34","35","40.8","46.6","52.4","58.2","64","88.4","112.8","137.2","161.6","186","200.8","215.6","230.4","245.2","260","353.8","447.6","541.4","635.2","729","800.6","872.2","943.8","1015.4","1087","1226.2","1365.4","1504.6","1643.8","1783","1944.4","2105.8","2267.2","2428.6","2590","2931.2","3272.4","3613.6","3954.8","4296","4915.4","5534.8","6154.2","6773.6","7393","8451.4","9509.8","10568.2","11626.6","12685","10791","10827","12945","17230","18961","20353","21335","23454","24363","21141","22695","23152","23982","25177","25021","23978","25013","25111","24549","27723","27391","29694","32038","34558","33884","32452","35571","34925","25135","30955","33319","26900","26200","27016"
"bgr","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","1.2","1.8","2.4","3","4","5","6","7","8","44.8","81.6","118.4","155.2","192","292.6","393.2","493.8","594.4","695","806.4","917.8","1029.2","1140.6","1252","1313.6","1375.2","1436.8","1498.4","1560","1555.8","1551.6","1547.4","1543.2","1539","1515","1562","1626","1583","1712","1605","1657","1441","1487","1143","960","848","1013","1470","1607","1504","1643","1390","1152","1216","1211","1072","1386","1158","1115","1147","1069","441","0","0","0","0","0","0"
"can","20","23.8","27.6","31.4","35.2","39","49.2","59.4","69.6","79.8","90","167.4","244.8","322.2","399.6","477","526.8","576.6","626.4","676.2","726","746.6","767.2","787.8","808.4","829","866.2","903.4","940.6","977.8","1015","933.2","851.4","769.6","687.8","606","649.8","693.6","737.4","781.2","825","793.4","761.8","730.2","698.6","667","798.2","929.4","1060.6","1191.8","1323","1412.2","1501.4","1590.6","1679.8","1769","1868.4","1967.8","2067.2","2166.6","2266","2430.6","2595.2","2759.8","2924.4","3089","3276.2","3463.4","3650.6","3837.8","4025","4536.4","5047.8","5559.2","6070.6","6582","6950.4","7318.8","7687.2","8055.6","8424","8601","8778","8955","9132","9309","9625.8","9942.6","10259.4","10576.2","10893","9743","8000","8567","9643","9665","9248","9719","9498","10139","7346","8267","8621","8633","8106","8464","8638","9567","8937","8857","8904","8302","8670","8554","8828","8274","8305","8579","8770","5273","7666","7323","7654","6100","6728"
"chl",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","2.8","4.2","5.6","7","8.4","9.8","11.2","12.6","14","33.2","52.4","71.6","90.8","110","139.2","168.4","197.6","226.8","256","258","260","262","264","266","274.6","283.2","291.8","300.4","309","343.4","377.8","412.2","446.6","481","472.6","464.2","455.8","447.4","439","480.8","522.6","564.4","606.2","648","582","453","539","594","580","591","617","776","679","675","703","873","917","886","855","996","941","993","1030","1024","897","964","988","1137","1074","1115","1147","1109","923","635","1072","1068","766","584"
"chn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.8","103.6","155.4","207.2","259","245.8","232.6","219.4","206.2","193","229.6","266.2","302.8","339.4","376","430.4","484.8","539.2","593.6","648","739.6","831.2","922.8","1014.4","1106","927.4","748.8","570.2","391.6","213","350.4","487.8","625.2","762.6","900","1494.4","2088.8","2683.2","3277.6","3872","8529.6","13187.2","17844.8","22502.4","27160","23882","20604","17326","14048","10770","12028","13286","14544","15802","17060","18546","20032","21518","23004","24490","27196.8","29903.6","32610.4","35317.2","38024","34166","35510","37378","40062","43840","50639","55032","57040","58200","62380","67654","75893","87377","97409","105293","107225","115114","118521","125330","131015","155543","170792","213667","251851","344732","413641","476604","483226","568634","595601","645429","670102","748084","711600"
"col",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.8","39.6","59.4","79.2","99","135.2","171.4","207.6","243.8","280","263.8","247.6","231.4","215.2","199","205","211","217","223","229","242","255","268","281","294","291","288","285","282","279","233","207","241","252","234","317","326","309","297","323","305","308","238","245","313","286","324","256","264","285","319","311","283","312","325","360","341","308","342","327","302","345","307","234"
"cze","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5082","4655","5268","5274","4898","5195","4982","4023","4621","4671","4840","5207","5384","4627","5192","5287","4737","3483","3987","4137","3935","4040","4152"
"csk","212.452163315052","219.557586837294","226.663010359537","233.768433881779","240.873857404022","247.979280926264","263.184887263864","278.390493601463","293.596099939062","308.801706276661","324.00731261426","319.03351614869","314.05971968312","309.08592321755","304.11212675198","299.138330286411","310.649116392444","322.159902498476","333.670688604509","345.181474710542","356.692260816575","340.491895185862","324.291529555149","308.091163924436","291.890798293723","275.69043266301","387.387690432663","499.084948202316","610.782205971968","722.479463741621","834.176721511274","900.541377209019","966.906032906764","1033.27068860451","1099.63534430225","1166","1220.2","1274.4","1328.6","1382.8","1437","1311.8","1186.6","1061.4","936.2","811","965.2","1119.4","1273.6","1427.8","1582","1380.8","1179.6","978.4","777.2","576","851","1126","1401","1676","1951","2157.2","2363.4","2569.6","2775.8","2982","3324.8","3667.6","4010.4","4353.2","4696","4930.4","5164.8","5399.2","5633.6","5868","6204","6540","6876","7212","7548","7894.6","8241.2","8587.8","8934.4","9281","9388.8","9496.6","9604.4","9712.2","9820","9903","9525","9466","9561","9562","9573","9788","9706","9911","9667","8479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"egy",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.6","57.2","85.8","114.4","143","154.4","165.8","177.2","188.6","200","220","240","260","280","300","324","348","372","396","420","541.4","662.8","784.2","905.6","1027","965","1080","898","962","950","1066","1069","1112","1105","1093","1204","1062","1326","1148","1062","1235","1514","1357","1020","990","1160","1100","1080","1000","1100","1100","1000","900","800","600","600","550","550","550"
