"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PARCKUS","194913","5.484","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195013","5.473","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195113","5.482","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195213","5.478","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195313","5.454","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195413","5.464","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195513","5.469","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195613","5.464","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195713","5.45","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195813","5.454","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","195913","5.394","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196013","5.417","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196113","5.419","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196213","5.405","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196313","5.381","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196413","5.361","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196513","5.364","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196613","5.335","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196713","5.313","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196813","5.302","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","196913","5.249","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197013","5.26","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197113","5.258","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197213","5.243","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197313","5.258","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197413","5.253","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197513","5.253","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197613","5.277","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197713","5.285","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197813","5.287","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","197913","5.365","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198013","5.321","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198113","5.283","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198213","5.266","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198313","5.14","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198413","5.307","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198513","5.263","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198613","5.268","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198713","5.239","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198813","5.257","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","198913","5.194","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199013","5.145","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199113","5.094","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199213","5.124","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199313","5.102","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199413","5.095","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199513","5.06","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199613","4.995","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199713","4.986","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199813","4.972","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","199913","4.899","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200013","4.905","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200113","4.934","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200213","4.883","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200313","4.918","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200413","4.949","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200513","4.913","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200613","4.883","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200713","4.83","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200813","4.769","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","200913","4.661","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201013","4.66","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201113","4.66","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201213","4.703","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201313","4.637","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201413","4.688","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201513","4.745","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201613","4.738","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PARCKUS","201713","4.738","1","Petroleum Consumption, Residential Sector Heat Content","Million Btu per Barrel"
"PACCKUS","194913","5.813","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195013","5.817","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195113","5.808","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195213","5.801","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195313","5.794","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195413","5.779","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195513","5.781","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195613","5.775","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195713","5.757","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195813","5.745","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","195913","5.739","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196013","5.781","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196113","5.778","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196213","5.763","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196313","5.74","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196413","5.724","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196513","5.76","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196613","5.766","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196713","5.76","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
"PACCKUS","196813","5.736","2","Petroleum Consumption, Commercial Sector Heat Content","Million Btu per Barrel"
