Tech,Sector,Ext_Sector
 *LD vehicle    , Vehicle     ,Transportation
 *Heavy duty veh, Vehicle     ,Transportation
 Aircraft       , Transport   ,Transportation
 International a, Transport   ,Transportation
 *Intl shipping , Transport   ,Shipping
 Category       , Transport   ,Transportation
 Rail           , Transport   ,Transportation
 *Ships         , Transport   ,Transportation
 Aluminum       , Smelting    ,
 Lead           , Smelting    ,
 Pig iron produc, Smelting    ,
 Primary copper , Smelting    ,
 Zinc           , Smelting    ,
 Category       , Residential ,1A4b_Residential
 Commercial use , Residential ,1A4a_Commercial-institutional
 Charcoal produc, Residential ,
 Coke           , Production  ,
 Oil production , Production  ,
 Pulp           , Production  ,
 Sulfuric acid  , Production  ,
 Titanium dioxid, Production  ,
 Category       , Power       , Power       
 *Dump burning  , Open burning,
 *Open burning  , Open burning,
 Category       , Industrial  ,Industry
 *Coking        , Industrial  ,
 *Blast furnace , Industrial  ,
 Category       , Agriculture ,1A4c_Agriculture-forestry-fishing
