fuel,sector,units,iso,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
process,1B2_Fugitive-petr,kt,abw,420.78,420.78,420.78,420.78,420.78,420.78,477.61,477.61,477.61,524.48,523.48,523.48,686.01,724.89,581.31,538.44,529.46,573.33,573.33,518.49,507.53,507.53,507.53,484.59,329.04,0.00,0.00,0.00,0.00,0.00,0.00,150.56,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,302.12,344.30,285.90,299.20,266.80,190.00,61.30,322.00,99.80,79.40,75.60,58.00,46.80,35.30,21.00,25.50,22.50,9.40,22.90,15.80
process,1B2_Fugitive-petr,kt,cuw,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,139.22,128.17,123.75,144.75,148.06,149.17,155.79,152.48,177.89,185.63,185.63,186.73,186.73,175.68,184.52,162.42,164.63,180.10,145.85,138.12,151.38,145.20,140.80,149.30,132.40,83.20,62.50,131.80,78.20,82.60,78.30,99.50,51.90,48.70,19.80,24.80,7.50,12.10,19.10,2.90
process,1B2_Fugitive-petr,kt,ind,0.78,1.97,1.97,1.97,9.12,9.12,13.00,12.65,14.48,16.74,16.26,16.40,19.32,19.71,21.92,22.28,22.44,22.28,24.73,22.00,22.00,25.99,28.27,30.42,30.94,36.29,39.53,41.77,42.03,45.76,45.49,44.84,47.73,47.07,49.66,51.06,54.17,56.80,58.68,69.99,89.36,93.97,96.95,104.31,112.14,117.38,131.07,125.31,183.59,184.90,142.92,176.34,134.94,166.60,179.92,151.47,183.33,173.16,223.71,151.44,115.99,47.72,47.60,69.21
process,1B2_Fugitive-petr,kt,irn,289.21,256.62,248.48,268.84,312.63,338.09,378.83,378.83,429.74,429.74,429.74,437.89,436.87,464.37,496.95,543.80,540.74,605.92,556.02,628.32,548.89,391.05,427.71,474.55,516.30,530.56,483.72,482.70,542.78,670.07,697.57,792.27,798.38,912.44,1012.24,1041.77,1089.63,1176.19,1233.22,1297.37,1285.15,1280.06,1262.75,1262.75,1269.88,1301.33,1369.12,1321.41,1399.90,1179.43,1322.04,1350.66,727.80,540.10,666.36,814.01,1127.33,1268.85,1088.81,996.84,1111.78,1291.84,1256.62,1527.95
process,1B2_Fugitive-petr,kt,kaz,84.58,93.48,107.73,120.19,131.77,148.68,157.58,166.49,176.28,185.18,201.21,214.56,225.25,237.71,264.42,277.78,297.36,324.07,321.40,327.63,327.63,328.52,329.41,330.30,329.41,331.20,335.65,339.21,332.09,332.98,332.98,306.27,285.79,251.07,200.32,184.29,188.75,156.69,135.33,93.48,99.71,119.30,126.42,146.90,150.46,239.13,179.41,134.89,36.41,44.77,40.95,19.74,52.17,16.13,82.30,13.29,11.24,13.57,0.00,6.51,0.00,0.00,0.00,0.00
process,1B2_Fugitive-petr,kt,mex,164.75,172.74,162.76,164.75,178.73,187.72,187.72,205.69,235.65,235.65,252.62,252.62,267.60,324.51,324.51,335.50,369.44,369.44,445.33,490.26,551.17,616.07,609.08,589.11,640.04,654.02,637.04,659.01,651.02,675.98,715.92,699.95,714.92,735.89,694.95,694.95,673.99,694.95,666.00,665.00,678.98,674.98,696.95,706.94,695.95,664.82,592.46,810.80,1421.80,1113.58,949.40,883.90,989.74,1081.99,1217.27,1567.63,1543.99,1218.30,1031.65,1290.39,1443.07,1176.91,1162.48,1192.23
process,1B2_Fugitive-petr,kt,qat,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,17.41,17.41,21.77,24.67,27.57,27.57,31.93,36.28,34.83,39.18,65.30,110.29,139.31,153.82,184.30,223.48,255.40,227.83,243.80,226.38,264.11,253.95,284.43,268.47,291.68,285.88,267.01,252.50,493.40,532.58,506.46,381.04,411.08,732.73,630.68,437.25,295.14,303.48,304.57,392.17,294.88,282.78,293.47,502.44,351.04,231.05,236.45,228.72,145.52,156.01
process,1B2_Fugitive-petr,kt,rus,52.46,56.64,63.14,68.71,73.82,80.78,85.43,90.53,95.64,100.75,109.10,117.00,122.10,129.53,143.92,150.89,161.57,175.96,174.57,177.82,177.82,178.74,179.21,179.21,179.21,180.14,182.92,184.32,180.60,181.07,181.07,174.10,154.60,135.10,113.28,110.50,106.32,107.25,99.82,102.14,105.39,108.64,112.35,115.60,118.39,140.93,312.66,144.57,196.91,118.90,358.08,289.64,333.17,293.95,448.00,550.80,497.50,248.34,388.47,458.22,402.06,400.19,444.69,485.00
process,1B2_Fugitive-petr,kt,sau,47.94,63.91,110.85,122.84,102.86,99.87,109.85,109.85,113.85,113.85,222.70,222.70,222.70,222.70,222.70,231.69,231.69,231.69,212.72,226.70,230.69,246.67,280.63,321.57,322.57,383.49,413.45,504.33,563.25,546.27,571.24,561.25,620.18,611.19,619.18,596.21,671.11,609.19,617.18,610.19,630.16,627.17,614.18,675.10,729.03,751.77,824.00,662.93,846.44,756.35,947.99,745.52,733.94,742.58,630.58,835.91,1029.84,894.66,613.35,519.18,256.97,415.52,567.23,494.57
process,1B2_Fugitive-petr,kt,are,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.73,12.73,12.73,12.73,12.73,63.67,94.80,124.52,159.89,186.78,209.42,209.42,209.42,213.66,224.98,227.81,223.57,219.32,243.38,250.45,266.02,301.39,270.26,281.58,356.58,625.42,669.29,657.97,649.48,664.78,685.78,491.58,383.88,322.28,483.38,254.38,385.38,303.38,375.68,394.88,408.28,401.68,523.65,358.96,311.31,229.56,257.96,565.26
