inv,em,iso,inv_sector,ceds_sector,Notes
E.NH3_REAS_inventory,NH3,ind,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,pak,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,idn,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,vnm,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,bgd,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,tha,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,phl,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,jpn,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,mmr,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,npl,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,mys,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,twn,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,lka,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,prk,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,khm,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,lao,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,mng,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,afg,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,btn,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,uzb,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,kaz,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,kgz,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,brn,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,tjk,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,tkm,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,sgp,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,mdv,ncomb-agriculture-fertilizer,3D_Soil-emissions,
E.NH3_REAS_inventory,NH3,chn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,ind,ncomb-agriculture-manure_management,3B_Manure-management,
