iso,sector,fuel,units,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
usa,2C1_Iron-steel-alloy-prod,process,kt,5.98,7.45,8.10,9.12,10.02,11.53,12.10,12.41,12.59,13.70,14.28,13.55,13.97,16.24,17.47,17.47,17.46,21.61,24.44,27.80,29.19,30.53,37.45,41.00,39.29,39.99,39.09,42.92,41.67,50.66,56.92,60.23,67.48,73.90,77.77,78.68,81.33,86.09,104.75,93.63,112.52,120.06,127.87,129.40,120.71,136.73,136.08,141.90,155.77,179.07,175.98,211.98,237.31,239.97,219.97,306.63,337.29,335.96,211.98,343.96,361.29,286.63,359.96,374.62,282.63,361.29,477.28,466.61,471.95,374.62,446.62,201.31,329.30,487.94,379.96,443.95,475.95,442.62,461.28,515.94,369.29,217.31,103.45,157.32,189.31,251.97,365.29,437.28,225.31,375.96,498.61,650.72,680.56,682.11,667.03,567.27,465.09,587.71,588.19,506.99,594.22,646.98,562.89,686.28,530.76,702.13,684.87,713.85,520.21,546.36,602.38,574.72,568.73,609.16,707.37,712.95,720.05,667.43,665.34,693.87,648.65,505.31,593.31,674.96,619.62,620.52,598.75,585.14,554.30,578.79,509.85,482.63,315.71,288.49,347.46,172.37,161.48,152.41,161.48,165.11,188.70,160.57,159.67,156.04,156.04,153.32,111.59,118.84,118.84,100.70,103.42,108.86,105.24,98.35,91.46,84.57,77.69,70.80,63.91,57.02,50.14,43.25,45.87,43.36,42.03,36.39,31.90,32.05,34.48,31.91,26.04,31.76,28.33,28.33
can,2C1_Iron-steel-alloy-prod,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,28,34,30,34,34,36,38,42,45,130,110,80,65,70,110,120,125,150,120,195,250,230,235,215,120,185,165,150,183,150,180,230,240,280,245,225,230,225,180,150,155,135,68,77,130,117.3,104.7,92.0,79.3,66.7,54,50,40,50,40,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin,2C1_Iron-steel-alloy-prod,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.01,0.02,0.07,0.15,0.31,0.60,1.12,2.00,3.42,5.60,8.86,13.50,19.86,28.27,36.38,42.73,46.16,46.2,41.77809315,37.3933008,33.00850845,28.6237161,24.23892375,19.8541314,15.46933905,11.0845467,6.69975435,2.31,2.36,2.49,2.57,2.63,2.27,2.49,2.83,2.96,3.00,3.02,2.89,2.87,3.14,3.08,3.10,3.20,2.96,2.98,2.07,2.60,2.54,0.53,0.51,0.41,0.47,0.46,0.50,0.44,0.43,0.54,0.64,0.64,0.64
chn,2C1_Iron-steel-alloy-prod,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.7,1.8,1.5,1.2,0.9,0.6,0.3,0.6,0.8,1.0,1.2,1.5,2.4,3.4,4.4,5.3,6.3,14,21,29,37,44,39,34,28,23,18,20,22,24,26,28,30,33,35,37,40,44,49,53,58,62,56,58,61,65,71,83,90,93,95,102,110,124,142,159,172,175,188,193,204,213,253,278,348,410,562,674,777,787,823,759,643,501,484,331,275,233,142,82,85,95,91,91,91
