fuel,sector,units,iso,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022
process,1B2_Fugitive-petr,kt,omn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,38.1,51.9,52.6,46.8,45.5,47.2,46.8,52.4,58.4,58.3,49.9,38.4,12.8,13.1,1.2,17.5,9.3,3.7,4.0,0.8,6.8,5.7,4.6,3.2,3.1,4.6,0.0,0.0,0.0,8.5,4.7,12.8,11.7,10.8,15.9,16.9,22.3,10.6,19.1,17.5,15.1,12.6,15.2,10.6,42.2,47.0,51.8,36.8,24.0,51.9,47.8,50.6,48.6,30.5,19.7
process,1B2_Fugitive-petr,kt,tkm,10.7,12.1,13.6,15.2,16.4,17.8,19.5,21.3,22.9,24.4,26.2,27.6,29.2,31.2,33.4,35.8,37.7,39.5,41.2,42.1,43.7,44.1,44.3,44.5,44.1,42.8,44.0,44.6,44.5,43.2,41.8,60.9,52.1,43.6,37.5,39.0,45.0,59.9,76.4,80.2,80.1,85.5,100.7,111.7,112.3,87.1,28.6,28.6,79.4,94.0,84.6,145.8,138.2,172.8,173.8,142.7,121.9,129.7,146.1,156.0,144.6,141.0,121.9
process,1B2_Fugitive-petr,kt,tto,48.1,50.5,52.7,55.1,56.7,55.4,63.5,76.2,78.8,67.2,55.8,48.9,53.9,65.0,73.7,84.7,89.7,88.9,84.8,206.7,152.9,145.6,152.7,63.3,73.4,180.0,176.1,183.3,188.1,186.5,147.6,146.6,139.1,127.5,138.2,138.9,133.9,128.2,127.1,129.5,42.6,51.6,31.9,23.9,33.5,40.4,32.1,27.3,18.6,30.3,18.8,45.7,7.8,7.8,29.6,24.8,22.8,27.6,30.2,11.9,4.3,11.9,17.9
