Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
Emissions,SO2,abw,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,cuw,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,irn,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,kaz,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,mex,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,qat,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,rus,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,sau,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,are,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
Emissions,SO2,uzb,1B2_Fugitive-petr,1960,2019,"2005-2014 additional petr sector emissions from, (McLinden etal 2016 (Space-based detection of missing sulfur dioxide sources of global air pollution), updated with ""MEaSUREs SO2 source emission catalogue"" from https://so2.gsfc.nasa.gov/measures.html. Downloaded: 12/10/2020, extended back to 1965 using refinery throughput and capacity, and from 1965 to 1960 using CDIAC CO2"
