"iso","sector","fuel","units","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"mng","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.441","0.441","0.441","0.441","0.441"
"tza","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"zmb","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"alb","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0.0094","0.0098","0.0102","0.0106","0.011","0.0132","0.0154","0.0176","0.0198","0.022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"arg","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034","0.0694","0.1048","0.1402","0.1756","0.211","0.3956","0.5802","0.7648","0.9494","1.134","1.0724","1.0108","0.9492","0.8876","0.826","0.9204","1.0148","1.1092","1.2036","1.298","1.1944","1.0908","0.9872","0.8836","0.78","0.7782","0.7764","0.7746","0.7728","0.771","0.7226","0.6742","0.6258","0.5774","0.529","0.5284","0.5278","0.5272","0.5266","0.526","0.5622","0.5984","0.6346","0.6708","0.707","0.6398","0.5726","0.5054","0.4382","0.371","0.3672","0.3634","0.3596","0.3558","0.352","0.3812","0.4104","0.4396","0.4688","0.498","0.4854","0.4728","0.4602","0.4476","0.435","0.435","0.435","0.435","0.435"
"aus","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.263","0.3528","0.4426","0.5324","0.6222","0.712","0.8094","0.9068","1.0042","1.1016","1.199","1.1736","1.1482","1.1228","1.0974","1.072","0.9636","0.8552","0.7468","0.6384","0.53","0.5986","0.6672","0.7358","0.8044","0.873","0.9328","0.9926","1.0524","1.1122","1.172","1.118","1.064","1.01","0.956","0.902","0.882","0.862","0.842","0.822","0.802","0.8962","0.9904","1.0846","1.1788","1.273","1.3098","1.3466","1.3834","1.4202","1.457","1.5232","1.5894","1.6556","1.7218","1.788","1.9852","2.1824","2.3796","2.5768","2.774","2.917","3.06","3.203","3.346","3.489","3.28","3.071","2.862","2.653","2.444","2.335","2.226","2.117","2.008","1.899","1.9306","1.9622","1.9938","2.0254","2.057","2.053","2.049","2.045","2.041","2.037","1.9624","1.8878","1.8132","1.7386","1.664","1.6406","1.6172","1.5938","1.5704","1.547","1.5252","1.5034","1.4816","1.4598","1.438","1.438","1.438","1.438","1.438"
"aut","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.342","0.4564","0.5708","0.6852","0.7996","0.914","0.8318","0.7496","0.6674","0.5852","0.503","0.4498","0.3966","0.3434","0.2902","0.237","0.2164","0.1958","0.1752","0.1546","0.134","0.1134","0.0928","0.0722","0.0516","0.031","0.239","0.447","0.655","0.863","1.071","1.111","1.151","1.191","1.231","1.271","1.2384","1.2058","1.1732","1.1406","1.108","1.078","1.048","1.018","0.988","0.958","0.9386","0.9192","0.8998","0.8804","0.861","0.8406","0.8202","0.7998","0.7794","0.759","0.7716","0.7842","0.7968","0.8094","0.822","0.8234","0.8248","0.8262","0.8276","0.829","0.8252","0.8214","0.8176","0.8138","0.81","0.7804","0.7508","0.7212","0.6916","0.662","0.6598","0.6576","0.6554","0.6532","0.651","0.6526","0.6542","0.6558","0.6574","0.659","0.6642","0.6694","0.6746","0.6798","0.685","0.685","0.685","0.685","0.685"
"bel","1A1bc_Other-transformation","process","kt","4.033","4.7046","5.3762","6.0478","6.7194","7.391","7.3698","7.3486","7.3274","7.3062","7.285","7.7766","8.2682","8.7598","9.2514","9.743","9.932","10.121","10.31","10.499","10.688","10.2932","9.8984","9.5036","9.1088","8.714","8.6396","8.5652","8.4908","8.4164","8.342","8.526","8.71","8.894","9.078","9.262","9.3622","9.4624","9.5626","9.6628","9.763","9.7012","9.6394","9.5776","9.5158","9.454","9.6258","9.7976","9.9694","10.1412","10.313","10.4118","10.5106","10.6094","10.7082","10.807","11.0204","11.2338","11.4472","11.6606","11.874","9.5642","7.2544","4.9446","2.6348","0.325","1.0244","1.7238","2.4232","3.1226","3.822","4.2802","4.7384","5.1966","5.6548","6.113","6.03","5.947","5.864","5.781","5.698","5.3032","4.9084","4.5136","4.1188","3.724","3.32","2.916","2.512","2.108","1.704","1.48","1.256","1.032","0.808","0.584","0.9736","1.3632","1.7528","2.1424","2.532","2.7218","2.9116","3.1014","3.2912","3.481","3.5528","3.6246","3.6964","3.7682","3.84","3.8538","3.8676","3.8814","3.8952","3.909","3.818","3.727","3.636","3.545","3.454","3.2766","3.0992","2.9218","2.7444","2.567","2.6048","2.6426","2.6804","2.7182","2.756","2.744","2.732","2.72","2.708","2.696","2.6532","2.6104","2.5676","2.5248","2.482","2.313","2.144","1.975","1.806","1.637","1.577","1.517","1.457","1.397","1.337","1.3036","1.2702","1.2368","1.2034","1.17","1.1158","1.0616","1.0074","0.9532","0.899","0.899","0.899","0.899","0.899"
"bgr","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.269","0.2926","0.3162","0.3398","0.3634","0.387","0.4358","0.4846","0.5334","0.5822","0.631","0.6384","0.6458","0.6532","0.6606","0.668","0.6422","0.6164","0.5906","0.5648","0.539","0.5598","0.5806","0.6014","0.6222","0.643","0.6318","0.6206","0.6094","0.5982","0.587","0.5614","0.5358","0.5102","0.4846","0.459","0.44","0.421","0.402","0.383","0.364","0","0","0","0","0","0","0","0","0"
"bih","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.205","0.249","0.293","0.337","0.381","0.425","0.425","0.425","0.425","0.425"
