CEDS,RCP,,
1A1a_Heat-production,ENE,,                             
1A1a_Electricity-public,ENE,,
1A1a_Electricity-autoproducer,ENE,,
1A1bc_Other-transformation,ENE,,
1A2a_Ind-Comb-Iron-steel,IND,,
1A2b_Ind-Comb-Non-ferrous-metals,IND,,
1A2c_Ind-Comb-Chemicals,IND,,
1A2d_Ind-Comb-Pulp-paper,IND,,
1A2e_Ind-Comb-Food-tobacco,IND,,
1A2f_Ind-Comb-Non-metalic-minerals,IND,,
1A2g_Ind-Comb-Construction,IND,,
1A2g_Ind-Comb-transpequip,IND,,
1A2g_Ind-Comb-machinery,IND,,
1A2g_Ind-Comb-mining-quarying,IND,,
1A2g_Ind-Comb-wood-products,IND,,
1A2g_Ind-Comb-textile-leather,IND,,
1A2g_Ind-Comb-other,IND,,
1A3ai_International-aviation,,,
1A3aii_Domestic-aviation,,,
1A3b_Road,TRA,,
1A3c_Rail,TRA,,
1A3di_International-shipping,,,
1A3dii_Domestic-navigation,TRA,,
1A3eii_Other-transp,TRA,,
1A4a_Commercial-institutional,DOM,,
1A4b_Residential,DOM,,
1A4c_Agriculture-forestry-fishing,DOM,,
1A5_Other-unspecified,DOM,,
1B1_Fugitive-solid-fuels,ENE,,
1B2_Fugitive-petr-and-gas,ENE,,
1B2d_Fugitive-other-energy,ENE,,
2A1_Cement-production,IND,,
2A2_Lime-production,IND,,
2A6_Other-minerals,IND,,
2B_Chemical-industry,IND,,
2C_Metal-production,IND,,
2D_Degreasing-Cleaning,SLV,,
2D3_Other-product-use,SLV,,
2D_Paint-application,SLV,,
2D3_Chemical-products-manufacture-processing,SLV,,
2H_Pulp-and-paper-food-beverage-wood,IND,,
2L_Other-process-emissions,IND,,
2H_Pulp-and-paper-food-beverage-wood,IND,,
2L_Other-process-emissions,IND,,
3B_Manure-management,AGR,,
3D_Soil-emissions,AGR,,
3I_Agriculture-other,AGR,,
3D_Rice-Cultivation,AGR,,
3E_Enteric-fermentation,AGR,,
3F_Agricultural-residue-burning-on-fields,AWB,,
3I_Agriculture-other,AGR,,
5A_Solid-waste-disposal,WST,,
5E_Other-waste-handling,WST,,
5C_Waste-incineration,WST,,
6A_Other-in-total,WST,,
5D_Wastewater-handling,WST,,
5E_Other-waste-handling,WST,,
6A_Other-in-total,,,
6B_Other-not-in-total,,,
7A_Fossil-fuel-fires,,,
11A_Volcanoes,,,
11B_Forest-fires,,,
11C_Other-natural,,,
