Region,Country,Fuel,Tech,Sector,Year,Fuel (kt),BC (Gg),OC (Gg)
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1970,1708,0.179,0.048
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1975,2494,0.262,0.07
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1980,3301,0.347,0.092
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1985,3177,0.334,0.089
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1990,3263,0.343,0.091
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,1995,3304,0.347,0.093
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,2000,4153,0.436,0.116
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,2005,4752,0.499,0.133
Canada      , Canada         , Aviation Gasoli, Aircraft       , Transport   ,2010,3934,0.413,0.11
Canada      , Canada         , Aviation Gasoli, International a, Transport   ,1960,168,0.018,0.005
Canada      , Canada         , Aviation Gasoli, International a, Transport   ,1965,400,0.042,0.011
Canada      , Canada         , Aviation Gasoli, International a, Transport   ,1970,600,0.063,0.017
Canada      , Canada         , Aviation Gasoli, International a, Transport   ,1975,740,0.078,0.021
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1950,2929,0.012,0.024
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1955,3537,0.014,0.029
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1960,3670,0.015,0.03
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1965,4165,0.017,0.034
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1970,5046,0.021,0.041
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1975,4996,0.02,0.041
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1980,1412,0.006,0.011
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1985,1273,0.005,0.01
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1990,832,0.003,0.007
Canada      , Canada         , Briquettes     , Category       , Industrial  ,1995,1570,0.006,0.013
Canada      , Canada         , Briquettes     , Category       , Industrial  ,2000,1414,0.006,0.011
Canada      , Canada         , Briquettes     , Category       , Industrial  ,2005,1231,0.005,0.01
Canada      , Canada         , Briquettes     , Category       , Industrial  ,2010,964,0.004,0.008
Canada      , Canada         , Briquettes     , Category       , Residential ,1970,13,0.002,0.002
Canada      , Canada         , Briquettes     , Category       , Residential ,1975,13,0.002,0.002
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1935,840.4,0.063,0.794
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1940,997.1,0.069,0.859
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1945,1385.8,0.091,1.119
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1950,5012,0.321,3.901
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1955,4202,0.265,3.215
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1960,3365,0.211,2.55
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1965,4184,0.259,3.141
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1970,289,0.017,0.211
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1975,310,0.018,0.216
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1980,247,0.013,0.161
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1985,170,0.008,0.096
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1990,171,0.007,0.077
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,1995,151,0.005,0.05
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,2000,164,0.004,0.035
Canada      , Canada         , Brown Coal     , Category       , Industrial  ,2005,96,0.002,0.011
Canada      , Canada         , Brown Coal     , Category       , Power       ,1970,2546,0.002,0.019
Canada      , Canada         , Brown Coal     , Category       , Power       ,1975,3152,0.003,0.023
Canada      , Canada         , Brown Coal     , Category       , Power       ,1980,5476,0.005,0.04
Canada      , Canada         , Brown Coal     , Category       , Power       ,1985,9467,0.009,0.069
Canada      , Canada         , Brown Coal     , Category       , Power       ,1990,9084,0.008,0.067
Canada      , Canada         , Brown Coal     , Category       , Power       ,1995,10598,0.01,0.078
Canada      , Canada         , Brown Coal     , Category       , Power       ,2000,10857,0.01,0.08
Canada      , Canada         , Brown Coal     , Category       , Power       ,2005,10608,0.01,0.078
Canada      , Canada         , Brown Coal     , Category       , Power       ,2010,10102,0.009,0.074
Canada      , Canada         , Brown Coal     , Category       , Residential ,1970,53,0.009,0.145
Canada      , Canada         , Brown Coal     , Category       , Residential ,1975,2,0,0.005
Canada      , Canada         , Brown Coal     , Category       , Residential ,1980,64,0.011,0.175
Canada      , Canada         , Brown Coal     , Category       , Residential ,1985,72,0.012,0.197
Canada      , Canada         , Brown Coal     , Category       , Residential ,1990,9,0.001,0.025
Canada      , Canada         , Brown Coal     , Category       , Residential ,1995,30,0.005,0.082
Canada      , Canada         , Brown Coal     , Category       , Residential ,2000,38,0.006,0.104
Canada      , Canada         , Brown Coal     , Category       , Residential ,2005,50,0.008,0.137
Canada      , Canada         , Brown Coal     , Category       , Residential ,2010,10,0.002,0.027
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1950,4686.4,0.992,1.653
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1955,4286,0.892,1.486
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1960,5872,1.222,2.036
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1965,6664,1.387,2.311
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1970,7317,1.522,2.537
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1975,7440,1.548,2.58
Canada      , Canada         , Coking Coal    , *Coking        , Industrial  ,1980,7306,1.52,2.534
