sector,fuel,Fuel,Tech,Sector,,,
1A1a_Electricity-public,natural_gas, Natural Gas    , Category       , Power       ,,,
1A1a_Electricity-public,biomass, Waste-- Municip, Category       , Power       ,,,
1A1a_Electricity-public,biomass, Wood           , Category       , Power       ,,,
1A1a_Electricity-autoproducer,hard_coal, Briquettes     , Category       , Power       ,,,
1A1a_Electricity-autoproducer,brown_coal, Brown Coal     , Category       , Power       ,,,
1A1a_Electricity-autoproducer,hard_coal, Hard Coal      , Category       , Power       ,,,
1A1a_Electricity-autoproducer,heavy_oil, Heavy Fuel Oil , Category       , Power       ,,,
1A1a_Electricity-autoproducer,diesel_oil, Middle distilla, Category       , Power       ,,,
1A1a_Electricity-autoproducer,natural_gas, Natural Gas    , Category       , Power       ,,,
1A1a_Electricity-autoproducer,biomass, Waste-- Municip, Category       , Power       ,,,
1A1a_Electricity-autoproducer,biomass, Wood           , Category       , Power       ,,,
1A1bc_Other-transformation,process, Manufacturing  , Coke           , Production  ,,,
1A1bc_Other-transformation,process, Manufacturing  , Oil production , Production  ,,,
2H_Pulp-and-paper-food-beverage-wood,process, Manufacturing  , Pulp           , Production  ,,,
2B_Chemical-industry,process, Manufacturing  , Sulfuric acid  , Production  ,,,
2A6_Other-minerals,process, Manufacturing  , Titanium dioxid, Production  ,,,
1A4b_Residential,biomass, Agricultural Wa, Category       , Residential ,,,
1A4b_Residential,biomass, Animal wastes  , Category       , Residential ,,,
1A4b_Residential,hard_coal, Briquettes     , Category       , Residential ,,,
1A4b_Residential,brown_coal, Brown Coal     , Category       , Residential ,,,
1A4b_Residential,biomass, Charcoal       , Category       , Residential ,,,
1A4b_Residential,hard_coal, Hard Coal      , Category       , Residential ,,,
1A4b_Residential,heavy_oil, Heavy Fuel Oil , Category       , Residential ,,,
1A4b_Residential,light_oil, Kerosene       , Category       , Residential ,,,
1A4b_Residential,light_oil, Light distillat, Category       , Residential ,,,
1A4b_Residential,light_oil, Liquefied Petro, Category       , Residential ,,,
1A4b_Residential,diesel_oil, Middle distilla, Category       , Residential ,,,
1A4b_Residential,natural_gas, Natural Gas    , Category       , Residential ,,,
1A4b_Residential,coal_coke, Petroleum Coke , Category       , Residential ,,,
1A4b_Residential,biomass, Waste-- Municip, Category       , Residential ,,,
1A4b_Residential,biomass, Wood           , Category       , Residential ,,,
1A4b_Residential,biomass, Wood           , Charcoal produc, Residential ,,,
1A4a_Commercial-institutional,light_oil, Kerosene       , Commercial use , Residential ,,,
2C_Metal-production,process, Manufacturing  , Aluminum       , Smelting    ,,,
2C_Metal-production,process, Manufacturing  , Lead           , Smelting    ,,,
2C_Metal-production,process, Manufacturing  , Pig iron produc, Smelting    ,,,
2C_Metal-production,process, Manufacturing  , Primary copper , Smelting    ,,,
2C_Metal-production,process, Manufacturing  , Zinc           , Smelting    ,,,
1A3di_International-shipping,hard_coal, Hard Coal      , *Intl shipping , Transport   ,,,
1A3di_International-shipping,heavy_oil, Heavy Fuel Oil , *Intl shipping , Transport   ,,,
1A3di_International-shipping,diesel_oil, Middle distilla, *Intl shipping , Transport   ,,,
1A3dii_Domestic-naviation,heavy_oil, Heavy Fuel Oil , *Ships         , Transport   ,,,
1A3dii_Domestic-naviation,diesel_oil, Middle distilla, *Ships         , Transport   ,,,
1A3aii_Domestic-aviation,light_oil, Aviation Gasoli, Aircraft       , Transport   ,,,
1A3eii_Other-transp,hard_coal, Hard Coal      , Category       , Transport   ,,,
1A3eii_Other-transp,heavy_oil, Heavy Fuel Oil , Category       , Transport   ,,,
1A3eii_Other-transp,light_oil, Light distillat, Category       , Transport   ,,,
1A3eii_Other-transp,diesel_oil, Middle distilla, Category       , Transport   ,,,
1A3eii_Other-transp,natural_gas, Natural Gas    , Category       , Transport   ,,,
1A3ai_International-aviation,light_oil, Aviation Gasoli, International a, Transport   ,,,
1A3c_Rail,hard_coal, Hard Coal      , Rail           , Transport   ,,,
1A3c_Rail,heavy_oil, Heavy Fuel Oil , Rail           , Transport   ,,,
1A3c_Rail,diesel_oil, Middle distilla, Rail           , Transport   ,,,
1A3b_Road,diesel_oil, Middle distilla, *Heavy duty veh, Vehicle     ,,,
1A3b_Road,light_oil, Light distillat, *LD vehicle    , Vehicle     ,,,
1A1a_Heat-production,hard_coal, Briquettes     , Category       , Power       ,,,
1A1a_Heat-production,brown_coal, Brown Coal     , Category       , Power       ,,,
1A1a_Heat-production,hard_coal, Hard Coal      , Category       , Power       ,,,
1A1a_Heat-production,heavy_oil, Heavy Fuel Oil , Category       , Power       ,,,
1A1a_Heat-production,diesel_oil, Middle distilla, Category       , Power       ,,,
1A1a_Heat-production,natural_gas, Natural Gas    , Category       , Power       ,,,
1A1a_Heat-production,biomass, Waste-- Municip, Category       , Power       ,,,
1A1a_Heat-production,biomass, Wood           , Category       , Power       ,,,
