sector,fuel,Fuel,Tech,Sector,,,
1A4c_Agriculture-forestry-fishing,diesel_oil, Middle distilla, Category       , Agriculture ,,,
1A1bc_Other-transformation,coal_coke, Petroleum Coke , *Blast furnace , Industrial  ,,,
1A1bc_Other-transformation,coal_coke, Coking Coal    , *Coking        , Industrial  ,,,
1A2a_Ind-Comb-Iron-steel,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2a_Ind-Comb-Iron-steel,brown_coal, Brown Coal     , Category       , Industrial  ,,, Briquettes     
1A2a_Ind-Comb-Iron-steel,hard_coal, Hard Coal      , Category       , Industrial  ,,, Brown Coal     
1A2a_Ind-Comb-Iron-steel,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,, Hard Coal      
1A2a_Ind-Comb-Iron-steel,light_oil, Light distillat, Category       , Industrial  ,,, Heavy Fuel Oil 
1A2a_Ind-Comb-Iron-steel,diesel_oil, Middle distilla, Category       , Industrial  ,,, Light distillat
1A2a_Ind-Comb-Iron-steel,natural_gas, Natural Gas    , Category       , Industrial  ,,, Middle distilla
1A2a_Ind-Comb-Iron-steel,coal_coke, Petroleum Coke , Category       , Industrial  ,,, Natural Gas    
1A2a_Ind-Comb-Iron-steel,biomass, Waste-- Municip, Category       , Industrial  ,,, Petroleum Coke 
1A2a_Ind-Comb-Iron-steel,biomass, Wood           , Category       , Industrial  ,,, Waste-- Municip
1A2b_Ind-Comb-Non-ferrous-metals,hard_coal, Briquettes     , Category       , Industrial  ,,, Wood           
1A2b_Ind-Comb-Non-ferrous-metals,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,light_oil, Light distillat, Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,, Waste-- Municip, Category       , Industrial  ,,,
1A2b_Ind-Comb-Non-ferrous-metals,biomass, Wood           , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,light_oil, Light distillat, Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2c_Ind-Comb-Chemicals,biomass, Wood           , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,light_oil, Light distillat, Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2d_Ind-Comb-Pulp-paper,biomass, Wood           , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,light_oil, Light distillat, Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2e_Ind-Comb-Food-tobacco,biomass, Wood           , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,light_oil, Light distillat, Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,, Waste-- Municip, Category       , Industrial  ,,,
1A2f_Ind-Comb-Non-metalic-minerals,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-Construction,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-transpequip,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-machinery,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-mining-quarying,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-wood-products,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-textile-leather,biomass, Wood           , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,hard_coal, Briquettes     , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,brown_coal, Brown Coal     , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,hard_coal, Hard Coal      , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,heavy_oil, Heavy Fuel Oil , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,light_oil, Light distillat, Category       , Industrial  ,,,
1A2g_Ind-Comb-other,diesel_oil, Middle distilla, Category       , Industrial  ,,,
1A2g_Ind-Comb-other,natural_gas, Natural Gas    , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,coal_coke, Petroleum Coke , Category       , Industrial  ,,,
1A2g_Ind-Comb-other,biomass, Waste-- Municip, Category       , Industrial  ,,,
1A2g_Ind-Comb-other,biomass, Wood           , Category       , Industrial  ,,,
5C_Waste-incineration,process, Waste/open     , *Dump burning  , Open burning,,,
5C_Waste-incineration,process, Waste/open     , *Open burning  , Open burning,,,
1A1a_Electricity-public,hard_coal, Briquettes     , Category       , Power       ,,,
1A1a_Electricity-public,brown_coal, Brown Coal     , Category       , Power       ,,,
1A1a_Electricity-public,hard_coal, Hard Coal      , Category       , Power       ,,,
1A1a_Electricity-public,heavy_oil, Heavy Fuel Oil , Category       , Power       ,,,
1A1a_Electricity-public,diesel_oil, Middle distilla, Category       , Power       ,,,
