product,fuel,cdiac_fuel,biofuel_flag
Industrial waste (TJ-net),biomass,biomass,1
Municipal waste (renewable) (TJ-net),biomass,biomass,1
Municipal waste (non-renewable) (TJ-net),biomass,biomass,1
Primary solid biofuels (TJ-net),biomass,biomass,1
Non-specified primary biofuels/waste (TJ-net),biomass,biomass,1
Charcoal (kt),biomass,biomass,1
Brown coal (if no detail) (kt),brown_coal,solid_fuels,0
Lignite (kt),brown_coal,solid_fuels,0
Peat (kt),brown_coal,solid_fuels,0
Peat products (kt),brown_coal,solid_fuels,0
Coke oven coke (kt),coal_coke,solid_fuels,0
Natural gas liquids (kt),natural_gas,gas_fuels,0
Gas/diesel oil excl. biofuels (kt),diesel_oil,liquid_fuels,0
Lubricants (kt),diesel_oil,liquid_fuels,0
Biodiesels (kt),diesel_oil,liquid_fuels,1
Hard coal (if no detail) (kt),hard_coal,solid_fuels,0
Anthracite (kt),hard_coal,solid_fuels,0
Coking coal (kt),hard_coal,solid_fuels,0
Other bituminous coal (kt),hard_coal,solid_fuels,0
Sub-bituminous coal (kt),hard_coal,solid_fuels,0
Patent fuel (kt),hard_coal,solid_fuels,0
Gas coke (kt),hard_coal,solid_fuels,0
Coal tar (kt),hard_coal,solid_fuels,0
BKB (kt),hard_coal,solid_fuels,0
Oil shale and oil sands (kt),heavy_oil,liquid_fuels,0
Crude/NGL/feedstocks (if no detail) (kt),heavy_oil,liquid_fuels,0
Crude oil (kt),heavy_oil,liquid_fuels,0
Fuel oil (kt),heavy_oil,liquid_fuels,0
Bitumen (kt),heavy_oil,liquid_fuels,0
Paraffin waxes (kt),heavy_oil,liquid_fuels,0
Petroleum coke (kt),heavy_oil,liquid_fuels,0
Other oil products (kt),heavy_oil,liquid_fuels,0
Refinery feedstocks (kt),light_oil,liquid_fuels,0
Additives/blending components (kt),light_oil,liquid_fuels,0
Other hydrocarbons (kt),light_oil,liquid_fuels,0
Ethane (kt),light_oil,liquid_fuels,0
Liquefied petroleum gases (LPG) (kt),light_oil,liquid_fuels,0
Motor gasoline excl. biofuels (kt),light_oil,liquid_fuels,0
Aviation gasoline (kt),light_oil,liquid_fuels,0
Gasoline type jet fuel (kt),light_oil,liquid_fuels,0
Kerosene type jet fuel excl. biofuels (kt),light_oil,liquid_fuels,0
Other kerosene (kt),light_oil,liquid_fuels,0
Other Kerosene (kt),light_oil,liquid_fuels,0
Naphtha (kt),light_oil,liquid_fuels,0
White spirit & SBP (kt),light_oil,liquid_fuels,0
Biogasoline (kt),light_oil,liquid_fuels,1
Other liquid biofuels (kt),light_oil,liquid_fuels,1
Gas works gas (TJ-gross),natural_gas,gas_fuels,0
Coke oven gas (TJ-gross),natural_gas,gas_fuels,0
Blast furnace gas (TJ-gross),natural_gas,gas_fuels,0
Other recovered gases (TJ-gross),natural_gas,gas_fuels,0
Natural gas (TJ-gross),natural_gas,gas_fuels,0
Natural Gas (TJ-gross),natural_gas,gas_fuels,0
Refinery gas (kt),natural_gas,gas_fuels,0
Biogases (TJ-net),natural_gas,gas_fuels,1
Elec/heat output from non-specified manufactured gases,,,
Heat output from non-specified combustible fuels,,,
Nuclear,,,
Hydro,,,
Geothermal (direct use in TJ-net),,,
Solar photovoltaics,,,
Solar thermal (direct use in TJ-net),,,
"Tide, wave and ocean",,,
Wind,,,
Other sources,,,
Electricity (GWh),,,
Heat (TJ),,,
Total,,,
Total of all energy sources,,,
Memo: Renewables,,,
Heat from chemical sources,,,
Electric boilers,,,
Heat pumps,,,
