FLOW,PRODUCT,activity,fuel,comment,Detailed_activity
INDPROD,Brown coal (if no detail) (kt),coal-production,process,,
INDPROD,Lignite (kt),coal-production,process,,
INDPROD,Peat (kt),coal-production,process,,
INDPROD,Hard coal (if no detail) (kt),coal-production,process,,
INDPROD,Anthracite (kt),coal-production,process,,
INDPROD,Coking coal (kt),coal-production,process,,
INDPROD,Other bituminous coal (kt),coal-production,process,,
INDPROD,Sub-bituminous coal (kt),coal-production,process,,
INDPROD,Natural gas (TJ-gross),natural_gas-production,process,,
INDPROD,Natural Gas (TJ-gross),natural_gas-production,process,,
INDPROD,Crude oil (kt),crude-oil-production,process,,
INDPROD,Oil shale and oil sands (kt),crude-oil-production,process,,
,,,,,
DOMSUP,Crude oil (kt),refinery-and-natural-gas,process,Include primary fuel only,crude_oil-dom-supply
DOMSUP,Oil shale and oil sands (kt),refinery-and-natural-gas,process,Include primary fuel only,crude_oil-dom-supply
DOMSUP,Industrial waste (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Municipal waste (renewable) (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Municipal waste (non-renewable) (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Primary solid biofuels (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Non-specified primary biofuels/waste (TJ-net),biomass-dom-supply,process,Include primary fuel only,
DOMSUP,Brown coal (if no detail) (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Lignite (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Peat (kt),coal-dom-supply,process,Include primary fuel only,brown_coal-dom-supply
DOMSUP,Coke oven coke (kt),coal-coke-dom-supply,process,,coal-coke-dom-supply
DOMSUP,Hard coal (if no detail) (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Anthracite (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
DOMSUP,Coking coal (kt),coal-dom-supply,process,Include primary fuel only,hard_coal-dom-supply
