iso,sector,fuel,Unit,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
usa,Electric Power,biomass,kt,382.6353125,360.414375,351.5128125,424.3078125,330.9403125,211.5934375,213.241875,114.599375,132.4025,127.91875,110.5771875,99.43375,88.2903125,88.9496875,88.4221875,102.1371875,185.284375,229.330625,217.1321875,257.15625,220.363125,246.60625,215.0221875,226.2315625,224.9128125,172.624375,131.1496875,182.25125,330.874375,230.649375,339.97375,296.71875,253.5296875,221.2203125,262.6290625,609.8559375,952.5990625,810.50375,1014.712188,1139.729688,15266.50938,20869.68031,23365.01906,26537.00844,27338.94031,28609.55594,27803.47,28898.62594,29406.34469,29308.955,29884.4575,29853.46688,22230.03688,25054.53563,26188.33094,25588.10188,26750.51406,27198.03188,27921.03656,28700.87938,29079.22875,30289.84125,28796.68656,29846.21375,30964.97531,34956.30406,34609.20906,33582.56219
usa,Electric Power,coal,kt,92552.27895,101268.5029,116587.331,118023.8736,127752.6685,130494.5868,158464.7122,174469.7927,177214.7535,171653.6039,185651.6922,194759.0127,200821.3354,213090.6963,232950.298,248484.8463,269828.1517,293735.4793,302231.6453,328239.7044,342417.2408,352933.9964,360781.1004,387751.0908,429025.1197,431890.2099,447489.4556,494236.0649,525932.488,530461.6729,580964.7866,627506.312,657844.8219,654393.3643,689165.9262,732362.3023,764815.6794,755132.0292,791329.5432,835947.5077,851179.1568,862617.5372,864058.6941,876426.0131,916716.4476,924111.7926,937202.9234,988669.0612,1015612.415,1032428.705,1037171.26,1086663.17,1063087.472,1077498.589,1107932.29,1120224.888,1143611.707,1131653.488,1152051.911,1147023.891,1029130.253,1074793.308,1027870.482,907794.871,945725.0564,938714.5792,813981.5492,746555.0234
usa,Electric Power,gas,kt,12882.33985,14727.57737,17888.43692,21312.47518,24219.86232,27292.82217,27006.67868,29021.3126,31288.80804,32148.50554,38135.27815,40389.26623,42739.29915,46037.78904,50023.68397,54238.25388,54196.35163,60999.83347,64125.73677,73430.6155,81355.50291,91717.6668,92747.75622,92408.69191,84800.37916,79622.96253,73301.08505,71309.12179,74296.05986,74590.68788,81738.59626,85481.3586,84402.73767,74934.00577,67250.75768,72368.98625,70919.44444,60416.39216,65973.75721,60921.61745,71780.63523,74857.01152,76414.1145,79449.15417,80037.39207,89987.99985,97333.83527,87389.47211,93341.37897,105771.5049,110913.0828,119764.7521,123491.7445,130476.4559,118698.5073,126587.6692,136081.5831,144240.1005,158496.2549,154507.1698,158884.4164,170315.9247,174491.76,210117.4508,189516.1374,189186.4174,224590.2888,233016.985
usa,Electric Power,oil,kt,9044.841588,10288.9894,8723.43201,9169.945696,11218.99174,9105.419462,10268.9422,9919.305124,10871.79785,10595.41266,12040.92682,12031.99331,12129.38932,12181.5456,12730.45506,13798.90899,15717.18378,19230.0072,22001.86894,25735.28371,34249.04972,46202.66672,54504.70062,67787.91929,76783.17279,73593.54517,69100.68213,75887.07771,85156.8502,87011.73706,71578.0336,57448.87528,47996.69247,34175.14803,33668.73759,28068.98236,23814.08287,31655.52535,27439.23885,34126.603,37234.82265,28172.92322,26172.51576,21666.85548,24608.93139,23246.59666,16637.09344,18000.56473,20397.94556,28693.21365,26634.35903,25224.63493,28090.08274,21245.99587,26588.1936,26711.2478,27215.31334,14391.75355,14574.66425,10421.59904,8713.080251,8482.509755,6822.230444,4932.161339,5908.142842,6825.186217,6364.954177,5573.422383
usa,Industry,biomass,kt,30877.67406,35094.37719,36458.69,36374.8175,37313.83344,37993.1875,41615.59594,43611.65594,40645.91906,40857.97406,45626.96969,44828.5325,45853.79469,48014.30281,51091.21031,54512.83906,56372.80406,59470.08625,58991.51188,64747.19625,66875.9225,67184.44406,68574.86813,73366.54625,76807.49469,76426.44188,70109.36563,80435.57375,84482.09219,92340.4575,92633.08813,105500,111736.2369,108762.3897,123575.5788,126450.3219,126390.7144,126204.5069,126130.1294,131094.4978,121309.6366,110996.6819,108861.4938,112318.0694,114699.4681,122707.8413,127439.4503,129761.3734,131516.1681,123318.6203,123988.6113,123976.6106,110698.1828,110302.4259,110363.2203,119260.4309,120484.5606,124116.0684,127054.3753,131917.8594,127610.8878,142967.4019,146994.9963,145667.015,145617.2322,149816.1322,149823.4513,149351.3388
usa,Industry,coal,kt,160404.9735,162391.4414,175665.0222,157209.0506,161129.5088,132643.3787,151818.3904,156839.4197,148621.7298,133352.2559,125488.9794,129670.7774,127543.1728,129017.981,135590.7465,140356.6454,145293.7397,149822.944,142030.8823,140019.1257,134163.9299,135789.5754,116259.6219,115603.4439,112617.2828,108467.6745,104315.832,102249.4573,100057.0839,99704.24538,106207.8544,92801.09742,98726.27496,86744.92,87342.68196,99037.83637,100912.1168,98529.60838,98116.70631,101390.7916,100722.9698,100008.4106,96932.0618,95224.67084,95963.07296,96563.4973,95008.69045,92630.55864,91671.71772,85554.03108,83645.75251,84624.07637,83135.67469,77197.48007,78155.35663,78925.09157,75860.47075,74878.55008,71268.10872,68600.27635,56431.99791,63180.22069,60331.41107,58932.53039,59434.65845,59055.14107,53665.29568,47523.05608
usa,Industry,gas,kt,72140.92217,80224.59467,91672.48386,94590.9122,97381.55225,97724.73439,106360.4215,110275.4763,115554.4584,117824.3295,127755.7736,135148.4888,139593.227,145955.5813,152677.7927,160955.3197,166052.6876,176367.8133,181984.932,195177.5567,208918.2365,215759.2539,223801.3635,223635.7682,235039.0853,226336.1329,193036.2205,198234.0905,195380.5066,193198.8971,193427.097,188526.8868,185178.5532,159913.103,153315.9196,167541.0094,159092.7285,150374.3681,164777.1352,173207.8587,182984.1604,191208.7892,193952.1647,201768.767,205223.4174,206480.4849,217018.9233,224004.336,224736.6978,220900.0852,212120.0254,214936.6621,196305.7499,199817.8462,192052.1059,193443.4099,178906.8588,177858.8727,182667.7894,182890.3102,172156.0715,187292.7615,191875.492,199524.6436,206806.4943,213607.6232,213589.6586,217425.1398
usa,Industry,oil,kt,79575.29187,90751.72526,98526.07342,100772.8329,103662.3246,107400.4322,118847.6174,124352.1293,122304.7663,126510.441,134746.0535,135204.1249,135458.8441,141416.0672,147492.4116,155926.4948,161694.773,169488.7352,170941.505,178548.0638,187397.1751,189612.3146,191461.717,209261.9822,222995.2709,214173.6001,201100.1158,222063.5571,240069.9295,242362.1845,266041.0356,241769.7402,212785.3411,202074.8815,191889.3732,209254.6475,202424.304,203512.5009,209655.3538,217046.343,211682.6518,214290.5152,210112.6865,225752.7169,220983.4084,232374.5826,228711.9911,240583.4291,246616.7159,241207.027,250687.7423,244828.0756,243523.1519,245593.6552,244808.9418,260582.7476,253781.5246,258280.2224,251479.7202,227306.6789,212390.1099,223595.0937,223783.116,226400.2944,233056.0662,228208.7772,233207.8153,229546.5695
usa,Transportation,biomass,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68E-14,0,0,0,0,4.55E-13,0,0,9.09E-13,0,0,0,0,0,0,0,9.09E-13,0,0,0,86.378125,137.6775,113.67625,225.8359375,764.215625,2195.257188,2975.825313,2553.89125,2709.108125,2197.630937,7456.278437,7749.76625,13587.67469,13084.04406,14234.65344,19023.95781
usa,Transportation,coal,kt,77357.82448,69456.56878,61976.40082,43872.35789,32599.22458,20518.08507,18708.11234,15187.40801,10763.89536,5158.726575,3934.104348,3357.583147,848.7833701,757.2709137,738.534806,783.7235388,721.993853,671.3129494,514.7853959,459.6635208,345.0356644,328.4864106,228.1896764,179.6908301,127.8671325,88.20702206,26.43222989,13.20990003,9.925671829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
