CEDS_sector,sector
1A4a_Commercial-institutional,Commercial
1A4b_Residential,Residential
1A1a_Electricity-public,Electric Power
1A1a_Electricity-autoproducer,Industry
1A1a_Heat-production,Industry
1A1bc_Other-transformation,Industry
1A1bc_Other-feedstocks,Industry
1A2a_Ind-Comb-Iron-steel,Industry
1A2b_Ind-Comb-Non-ferrous-metals,Industry
1A2c_Ind-Comb-Chemicals,Industry
1A2d_Ind-Comb-Pulp-paper,Industry
1A2e_Ind-Comb-Food-tobacco,Industry
1A2f_Ind-Comb-Non-metalic-minerals,Industry
1A2g_Ind-Comb-Construction,Industry
1A2g_Ind-Comb-transpequip,Industry
1A2g_Ind-Comb-machinery,Industry
1A2g_Ind-Comb-mining-quarying,Industry
1A2g_Ind-Comb-wood-products,Industry
1A2g_Ind-Comb-textile-leather,Industry
1A2g_Ind-Comb-other,Industry
1A3ai_International-aviation,
1A3aii_Domestic-aviation,Transportation
1A3b_Road,Transportation
1A3c_Rail,Transportation
1A3di_Oil_Tanker_Loading,
1A3di_International-shipping,
1A3dii_Domestic-navigation,Transportation
1A3eii_Other-transp,Transportation
1A4c_Agriculture-forestry-fishing,Industry
1A5_Other-unspecified,Industry
