iso,agg_fuel,agg_sector,start_year,end_year,priority,override_normalization,start_continuity,end_continuity,method
usa,biomass,1A1_Energy-transformation,1949,2014,,,,,linear
usa,coal,1A1_Energy-transformation,1949,2014,,,,,linear
usa,gas,1A1_Energy-transformation,1949,2014,,,,,linear
usa,oil,1A1_Energy-transformation,1949,2014,,,,,linear
usa,biomass,1A2_Industry-combustion,1949,2014,,,,,linear
usa,coal,1A2_Industry-combustion,1949,2014,,,,,linear
usa,gas,1A2_Industry-combustion,1949,2014,,,,,linear
usa,oil,1A2_Industry-combustion,1949,2014,,,,,linear
usa,biomass,1A3_Transportation,1981,2014,,,,,linear
usa,coal,1A3_Transportation,1949,2014,,,,,linear
usa,gas,1A3_Transportation,1950,2014,,,,,linear
usa,oil,1A3_Transportation,1949,2014,,,,,linear
