"iso","CEDS_fuel","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974"
"deu","brown_coal",4384.61538461538,4623.07692307692,5084.61538461538,5457.69230769231,6203.84615384615,6757.69230769231,6865.38461538462,7442.30769230769,7773.07692307692,8165.38461538462,8361.53846153846,9353.84615384615,10015.3846153846,11223.0769230769,11965.3846153846,12773.0769230769,13511.5384615385,13153.8461538462,13519.2307692308,14300,15203.8461538462,15892.3076923077,16246.1538461538,17773.0769230769,18288.4615384615,18988.4615384615,19696.1538461538,20307.6923076923,21765.3846153846,23265.3846153846,25542.3076923077,27323.0769230769,27857.6923076923,28257.6923076923,28911.5384615385,31950,34403.8461538462,37511.5384615385,40076.9230769231,42800,48403.8461538462,52569.2307692308,50988.4615384615,53757.6923076923,56280.7692307692,60438.4615384615,64830.7692307692,71488.4615384615,73303.8461538462,74811.5384615385,74896.1538461538,78630.7692307692,88142.3076923077,94161.5384615385,89273.0769230769,93038.4615384615,99438.4615384615,99434.6153846154,103584.615384615,95546.1538461538,114153.846153846,130769.230769231,139184.615384615,120173.076923077,126684.615384615,141988.461538462,140657.692307692,152857.692307692,168323.076923077,177215.384615385,147800,133557.692307692,122657.692307692,127869.230769231,139161.538461538,148957.692307692,163130.769230769,182565.384615385,192134.615384615,202438.461538462,212023.076923077,227053.846153846,234803.846153846,237715.384615385,215876.923076923,107692.307692308,156600,161988.461538462,177692.307692308,194119.230769231,75219.2307692308,79915.3846153846,82900,87115.3846153846,94761.5384615385,100226.923076923,103888.461538462,106450,105934.615384615,103776.923076923,107496.153846154,107911.538461538,113003.846153846,119419.230769231,121930.769230769,111180.769230769,105134.615384615,102330.769230769,107619.230769231,112750,115965.384615385,112353.846153846,119061.538461538,127180.769230769,135288.461538462
"deu","hard_coal",11477,12929,14364,15754,17704,19923,19473,21306,23584,24645,24072,28068,31754,33828,33531,34789,35271,34547,35696,37908,41796,43189,46846,49419,50714,51740,51962,54257,59178,63051,65257,69212,66838,68839,71808,73926,79568,84737,88141,93917,101398,99570,97799,106015,110118,112542,126821,136847,136565,135812,138012,142089,154110,166052,140603,132488,151375,153023,148013,111790,115755,123000,127886,43232,112969,117757,110026,132055,134374,144575,114323,92873,83855,88719,99981,111972,124574,150790,162244,180813,208941,218105,219514,226031,215170,45000,68860,95495,110149,94335,98648,111233,118375,114285,120177,131453,137840,137008,124624,121740,128352,123409,125195,126866,121805,114441,102207,96642,98045,101690,97303,90978,83926,84167,82675
