iso,agg_fuel,agg_sector,start_year,end_year,priority,override_normalization,start_continuity,end_continuity,method,sector_map
usa,biomass,Electric Power,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,coal,Electric Power,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,gas,Electric Power,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,oil,Electric Power,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,biomass,Industry,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,coal,Industry,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,gas,Industry,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,oil,Industry,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,biomass,Transportation,1981,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,coal,Transportation,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,gas,Transportation,1950,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
usa,oil,Transportation,1949,2014,,,,,linear,E.US-EIA_inventory_aggsec_sector_map.csv
