"file","description","input_files","output_files","output_description"
"E.Argentina_emissions.R","NA","../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/common_data.R
../code/parameters/data_functions.R
../code/parameters/emissions_scaling_functions.R
../code/parameters/analysis_functions.R
../input/emissions-inventories/Argentina/Argentina_Translation.xlsx
../input/emissions-inventories/Argentina/Argentina Inventario 1990-2012-ipcc1996.xlsx","E.BCOC_ARG_inventory.csv","NA"
"E.CAN_emissions_newerData2014.R","NA","../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/common_data.R
../code/parameters/data_functions.R
../code/parameters/emissions_scaling_functions.R
../code/parameters/analysis_functions.R
../code/parameters/interpolation_extention_functions.R","E.BCOC_CAN_inventory.csv","NA"
"E.CAN_emissions_olderData.R","NA","../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/common_data.R
../code/parameters/data_functions.R
../code/parameters/emissions_scaling_functions.R
../code/parameters/analysis_functions.R
../code/parameters/interpolation_extention_functions.R
../input/emissions-inventories/Canada/1985-2011_CAC_Trends_Feb2013_ENG.xlsx","E.BCOC_CAN_to2011_inventory.csv","NA"
"E.China_emissions.R","NA","../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/common_data.R
../code/parameters/data_functions.R
../code/parameters/emissions_scaling_functions.R
../code/parameters/analysis_functions.R
../input/emissions-inventories/China/CEDS_MEIC_Emissions_2rdLevel_20160226_plus.xlsx","E.BCOC_CHN_inventory.csv","NA"
"E.EMEP_emissions.R","NA","../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/data_functions.R
../code/parameters/analysis_functions.R
../code/parameters/interpolation_extention_functions.R
../code/parameters/common_data.R
../input/mappings/Master_Country_List.csv","E.BCOC_EMEP_NFR14_inventory.csv
E.BCOC_EMEP_NFR14_inventory_Russia.csv","NA"
"E.Japan_emissions.R",NA,"../code/parameters/global_settings.R
../code/parameters/IO_functions.R
../code/parameters/common_data.R
../code/parameters/data_functions.R
../code/parameters/emissions_scaling_functions.R
../code/parameters/analysis_functions.R
../input/emissions-inventories/Japan/CEDS_REAS_JAPAN.xlsx","E.BCOC_Japan_inventory.csv",NA
