iso,region,lon,lat,row,col,index
usa,east,-80.25,38.75,103,200,1
ind,north,82.25,24.25,132,525,2
chn,central,111.25,31.25,118,583,3
rus,south,88.75,57.75,65,538,4
swe,central,15.25,61.25,58,391,5
bra,east,-37.25,-6.75,194,286,6
can,east,-78.25,44.25,92,204,7
mex,central,-101.25,22.75,135,158,8
zaf,central,28.25,-26.25,233,417,9
rus,west,41.25,53.75,73,443,10
