"Source","Sector","SubSector","2015","2016","2017","2018","2019","2020","2021"
"Ore and Mineral Industries","","","11980.14","11112.179999999997","11717.189999999999","12757.42","12514.519999999997","12278.380000000001","12055.670000000002"
"Ore and Mineral Industries","Aluminium Industry","","930.6800000000001","947.8599999999999","953.9300000000001","1657.05","1850.82","2010.09","2021.89"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","24.58","24.31","23.95","20.08","17.02","17.01","17.88"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","906.1","923.55","929.98","1636.97","1833.8","1993.08","2004.01"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","6636.19","6280.09","6440.52","6371.2","6164.28","5766.04","5699.14"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","6636.19","6280.09","6440.52","6371.2","6164.28","5766.04","5699.14"
"Ore and Mineral Industries","Cement and Concrete Industry","","403.47","435.89000000000004","689.23","763.5300000000001","760.58","585.1899999999999","552.37"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","374.61","404.93","615.72","675.08","686.94","517.27","423.27"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","26.93","29.28","47.3","79.71","62.88","56.07","115.85"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","1.93","1.68","1.71","1.64","2.16","1.67","1.49"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","0","0","24.5","7.1","8.6","10.18","11.76"
"Ore and Mineral Industries","Foundries","","643.8199999999999","627.01","977.82","1112.3899999999999","1053.57","1364.26","1200.49"
"Ore and Mineral Industries","Foundries","Die Casting","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","591.63","568.58","927.5","1048.8","991.3","1286.76","1143.78"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","52.19","58.43","50.32","63.59","62.27","77.5","56.71"
"Ore and Mineral Industries","Iron and Steel Industry","","970.75","820.8","919.1","1003.81","844.25","642.06","692.93"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","647.91","622.64","595.71","703.62","619.91","466.02","486.9"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","322.84","198.16","323.39","300.19","224.34","176.04","206.03"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","285.66","401.89","236.88","241.19","306.37","293.27","222.85"
