cou_abb,reg_abb,sector/activity,BC1,BC2,HC1,HC2,HC3,DC,OS1,OS2,HF,MD,GSL,LPG,GAS,H2,REN,HYD,NUC,ELE,HT,Sum
INDI,ANPR,CON_COMB,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,15.09206214,6.371044939,n.a,n.a,n.a,n.a,n.a,n.a,21.46310707
INDI,ANPR,CON_LOSS,2.780552923,n.a,n.a,154.9893644,n.a,n.a,n.a,n.a,6.594683116,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,69.2650348,33.07963259,266.7092678
INDI,ANPR,DOM,0.232300185,n.a,n.a,68.9115917,n.a,n.a,442.5151738,n.a,14.95976275,n.a,10.02901268,70.24106668,42.65766229,n.a,n.a,n.a,n.a,124.4591881,n.a,774.0057582
INDI,ANPR,DOM_LIGHT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,10.97,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,10.97
INDI,ANPR,IN_BO,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,IN_BO_CHEM,0.469125589,n.a,n.a,3.66606,n.a,n.a,2.99E-09,n.a,6.962929648,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,-7.80902578,3.28908946
INDI,ANPR,IN_BO_CON,n.a,n.a,3.043432951,n.a,n.a,n.a,n.a,n.a,6.85179029,n.a,n.a,0.104290108,33.97123094,n.a,n.a,n.a,n.a,n.a,-33.00469177,10.96605251
INDI,ANPR,IN_BO_OTH,n.a,n.a,n.a,n.a,n.a,n.a,79.60786582,n.a,14.97699854,3.957046413,n.a,n.a,2.315118514,n.a,n.a,n.a,n.a,n.a,-85.78464668,15.07238261
INDI,ANPR,IN_BO_OTH_L,0.769171715,n.a,n.a,40.36690183,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,41.13607354
INDI,ANPR,IN_BO_OTH_S,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,IN_BO_PAP,n.a,n.a,n.a,n.a,n.a,n.a,0.66170233,0.66170233,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,-4.750922607,-3.427517948
INDI,ANPR,IN_OCTOT,0.571677269,n.a,n.a,105.5962908,n.a,0.261252332,10.43873934,0.505489702,20.6883934,8.839379763,10.89616664,0.156826326,15.26727161,n.a,n.a,n.a,n.a,79.99231531,154.0832089,407.2970114
INDI,ANPR,NONEN,n.a,n.a,n.a,n.a,n.a,57.42452748,n.a,n.a,108.6301765,n.a,30.79734091,n.a,30.47248201,n.a,n.a,n.a,n.a,n.a,n.a,227.3245269
INDI,ANPR,PP_ENG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.058071299,14.09,n.a,n.a,0.072609854,n.a,n.a,n.a,n.a,n.a,n.a,14.22068115
INDI,ANPR,PP_EX_OTH,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,1.59310902,n.a,n.a,n.a,17.63509332,n.a,n.a,n.a,n.a,n.a,n.a,19.22820234
INDI,ANPR,PP_EX_L,12.15197779,n.a,n.a,219.2632492,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,231.415227
INDI,ANPR,PP_EX_S,0.247999547,n.a,n.a,4.736942687,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,4.984942233
INDI,ANPR,PP_EX_WB,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,PP_IGCC,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,PP_IGCC_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,PP_MOD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,127.7162618,n.a,n.a,n.a,n.a,n.a,n.a,127.7162618
INDI,ANPR,PP_MOD_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,PP_NEW,n.a,n.a,n.a,n.a,n.a,n.a,39.58244943,n.a,n.a,0.212190138,0.578340567,n.a,20.38838821,n.a,n.a,n.a,n.a,n.a,n.a,60.76136834
INDI,ANPR,PP_NEW_L,6.009346443,n.a,n.a,316.5527097,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,322.5620562
INDI,ANPR,PP_TOTAL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,1.601890045,38.10191019,18.5026913,-261.7821758,-38.81112069,-242.386805
INDI,ANPR,TRA_OT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,TRA_OTS_L,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,TRA_OTS_M,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
INDI,ANPR,TRA_OT_AGR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,4.97661756,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,4.97661756
