"FAOST_CODE","Year","sulfateB","sulfateUn","SulfiteB","SulfiteUn"
"1","2005","0","0","0","0"
"1","2006","0","0","0","0"
"1","2007","0","0","0","0"
"1","2008","0","0","0","0"
"1","2009","0","0","0","0"
"1","2010","0","0","0","0"
"1","2011","0","0","0","0"
"1","2012","0","0","0","0"
"1","2013","0","0","0","0"
"1","2014","0","0","0","0"
"3","1990","","13500","",""
"3","1991","","13500","",""
"3","1992","","13500","",""
"3","1993","","13500","",""
"3","1994","","13500","",""
"3","1995","","13500","",""
"3","1996","","13500","",""
"3","1997","","13500","",""
"3","1998","","13500","",""
"3","1999","","0","",""
"3","2000","","0","",""
"3","2001","0","0","0","0"
"3","2002","0","0","0","0"
"3","2003","0","0","0","0"
"3","2004","0","0","0","0"
"3","2005","0","0","0","0"
"3","2006","0","0","0","0"
"3","2007","0","0","0","0"
"3","2008","0","0","0","0"
"3","2009","0","0","0","0"
"3","2010","0","0","0","0"
"3","2011","0","0","0","0"
"3","2012","0","0","0","0"
"3","2013","0","0","0","0"
"3","2014","0","0","0","0"
"7","1962","14600","","",""
"7","1963","21000","","",""
"7","1964","24500","","",""
"7","1965","23900","","",""
"7","1966","26000","","",""
"7","1967","25000","","",""
"7","1968","25000","4000","",""
"7","1969","31500","3600","",""
"7","1970","35000","1600","",""
"7","1971","32000","1200","",""
"7","1972","34200","1200","",""
"7","1973","39000","2000","",""
"7","1974","33000","2000","",""
"7","1975","33000","2000","",""
"7","1976","33000","2000","",""
"7","1977","33000","2000","",""
"7","1978","33000","2000","",""
"7","1979","33000","2000","",""
"7","1980","33000","2000","",""
"7","1981","33000","2000","",""
"7","1986","13000","2000","",""
"7","1987","13000","2000","",""
"7","1988","13000","2000","",""
"7","1989","13000","2000","",""
"7","1990","13000","2000","",""
"7","1991","13000","2000","",""
"7","1992","13000","2000","",""
"7","1993","13000","2000","",""
"7","1994","13000","2000","",""
"7","1995","13000","2000","",""
"7","1996","13000","2000","",""
"7","1997","13000","2000","",""
"7","1998","13000","2000","",""
"7","1999","13000","2000","",""
"7","2000","13000","2000","",""
"7","2001","13000","2000","",""
"7","2002","13000","2000","",""
"7","2003","13000","2000","",""
"7","2004","13000","2000","",""
"7","2005","13000","2000","",""
"7","2006","13000","2000","",""
"7","2007","13000","2000","",""
"7","2008","13000","2000","",""
"7","2009","13000","2000","",""
"7","2010","13000","2000","",""
"7","2011","13000","2000","",""
"7","2012","13000","2000","",""
"7","2013","13000","2000","",""
"7","2014","13000","2000","",""
"9","1970","40000","30000","25000",""
"9","1971","48000","42000","35000",""
"9","1972","52000","49000","35000",""
"9","1973","55000","50000","40000",""
"9","1974","68000","57000","40000","2000"
"9","1975","67000","60000","25000","3000"
"9","1976","80000","65000","30000","6000"
"9","1977","50000","88000","31000","2000"
"9","1978","68600","106000","39000","2400"
"9","1979","95800","142000","52000","3200"
"9","1980","53000","80000","29000","1800"
"9","1981","35000","51000","18000",""
"9","1982","61000","90000","32000",""
"9","1983","159000","123000","28000",""
"9","1984","2e+05","152000","28000",""
"9","1985","222000","148000","26000",""
"9","1986","230000","162000","36000","1000"
"9","1987","238000","153000","35000","1000"
"9","1988","239000","153000","35000","1000"
"9","1989","243000","152000","29000",""
"9","1990","259000","134000","26000",""
"9","1991","241000","121000","29000",""
"9","1992","289000","90000","31000",""
"9","1993","393000","122000","42000",""
"9","1994","364000","113000","38000","0"
"9","1995","353000","84000","30000","1000"
"9","1996","381000","91000","32000","1000"
"9","1997","370000","79000","0","0"
"9","1998","347000","76000","18000","0"
"9","1999","332000","78000","0","0"
"9","2000","398000","78000","33000","0"
"9","2001","393000","92000","24000","0"
"9","2002","437000","92000","24000","0"
"9","2003","467000","95000","30000","0"
"9","2004","477000","98000","29000","19000"
"9","2005","418000","94000","25000","30000"
"9","2006","460000","1e+05","22000","0"
