sector_fuel,units,year,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
Elec_Coal                       ,kt,1996,838065.78,46620.28,501963.1,52311.53,98452,265921.46,309660.64,565099.73,222202,31609,21462,8231,96433,4237,630.27,3725.35,8984
Elec_Gas                        ,kt,1996,73647.14,2201.64,38001.8,24080.91,2765.81,148771.22,9980.71,1447.93,4163.48,17418.97,3225.51,22177.87,10203.15,5310.17,4337.51,132.17,2726.08
Elec_Petroleum                  ,kt,1996,15089,963,42833,38200,87,51718,10022,13572,2398,23774,7246,31799,8337,10190,785,1433,17887
Elec_Gasoline                   ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Elec_Diesel                     ,kt,1996,2508,246,2474,1763,618,1235,317,3017,4289,4699,1388,8467,2514,2964,208,858,220
Elec_Biomass                    ,kt,1996,105203.38,1449.07,29484.39,10351.21,2338.76,5834,1428.61,0,0,1852.6,0,0,0,3817.3,416.29,4055.72,0
OtherTransf_Coal                ,kt,1996,49427.18,6913,105223.73,111898.81,9615.12,112849,43050.68,288891.51,30897,1562,29833.19,2300,10668.35,2778.57,1307,19607.35,2791
OtherTransf_Gas                 ,kt,1996,10757.03,878.31,1329.87,1.31,284.99,680.36,596.4,891.42,0,576.12,0,2988.01,328.77,1307.31,1028.82,0,0
OtherTransf_Petroleum           ,kt,1996,759033,72031,667366,214589,36705,236612,67157,157476,65208,185718,105137,285259,119701,122399,25341,69685,72079
OtherTransf_Gasoline            ,kt,1996,14,4,509,0,0,0,1,0,0,117,0,0,0,24,0,0,534
OtherTransf_Diesel              ,kt,1996,287,19,1236,15,0,3,133,1046,0,66,26,361,20,197,21,164,901
OtherTransf_Biomass             ,kt,1996,0,0,578.89,0,0,204.73,263.8,3141.4,0,32226.6,0,742.13,93678.53,6626.4,1522.47,24980.4,0
Industry_Coal                   ,kt,1996,35727,3147.77,51185.81,23169.69,7606.37,39818.68,35919.79,512622.48,49931,17731.96,9492,540,15283.5,4622.9,220.56,5676.51,3145
Industry_Gas                    ,kt,1996,76674.42,11826.85,53326.16,3697.82,4071.81,37737.86,11543.93,2597.99,4390.44,5618.65,447.06,26995.58,2883.31,7785.91,3066.54,1420.94,7740.87
Industry_Petroleum              ,kt,1996,11619,3766,40514,23533,1397,19052,5445,18205,8775,14363,13889,20090,10311,12194,894,11693,5878
Industry_Gasoline               ,kt,1996,4451,0,432,0,44,233,136,1867,0,347,41,49,204,491,0,0,0
Industry_Diesel                 ,kt,1996,26218,5200,29753,16991,3388,23201,6620,20290,9237,15172,4982,18522,11876,7340,2693,4726,3176
Industry_Biomass                ,kt,1996,32208.67,24542.87,41903.62,11706.17,7316.9,3835.45,4603.23,2858.72,60579.33,37853.13,0,2378.04,108939.71,32415.27,5779.76,54595.96,5549.8
Industry_BioLiquid              ,kt,1996,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Gas                ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Petroleum          ,kt,1996,75018,4609,36793,9142,4557,10153,1265,6236,2158,10051,2627,6968,6034,3439,1323,3220,2068
AirTransport_Gasoline           ,kt,1996,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AirTransport_Diesel             ,kt,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Gas               ,kt,1996,40.73,28.51,158.82,0,25.73,192.49,0.41,0,0,12.18,0,0,0,3.65,543.63,17.89,0
RoadTransport_Petroleum         ,kt,1996,335,609,2610,1554,1186,170,291,352,87,169,1564,55,72,13,0,0,405
RoadTransport_Gasoline          ,kt,1996,331734,26089,127106,40143,15073,36985,12976,31376,4955,22583,7996,31621,21344,23874,4703,12213,21081
RoadTransport_Diesel            ,kt,1996,86927,7577,116512,31664,5236,7163,10516,8460,19120,33713,11566,21691,14922,12241,6226,19424,7512
RoadTransport_BioLiquid         ,kt,1996,1807.18,0,13.96,0,0,0,0.78,0,0,0,0,0,0,120.78,0,12675.43,0
RailTransport_Coal              ,kt,1996,0,0,16,0,5,38,22,11216,140,0,0,0,54,1,0,0,0
RailTransport_Gas               ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Petroleum         ,kt,1996,0,0,39,0,0,108,5,154,12,19,5,0,3,2,0,0,0
RailTransport_Gasoline          ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Diesel            ,kt,1996,10534,1759,2893,260,487,4715,834,3452,1022,481,291,0,300,40,0,391,569
RailTransport_Biomass           ,kt,1996,0,0,0,0,0,58.2,14.73,0,0,0,0,0,0,0,0,0,0
OtherTransport_Coal             ,kt,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Gas              ,kt,1996,9883.51,3099.2,85.4,0,106.49,17786.87,25.1,70.33,0,6,0,0,338.36,43.77,451.77,0,0
OtherTransport_Petroleum        ,kt,1996,0,0,189,0,80,125,1,88,6,0,58,5,31,94,0,0,0
OtherTransport_Gasoline         ,kt,1996,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Diesel           ,kt,1996,1197,49,17,0,1079,582,28,9,7,0,201,0,0,464,0,0,0
ShipTransport_Coal              ,kt,1996,0,0,0,0,191,0,1,1,0,0,0,0,0,0,0,0,0
ShipTransport_Gas               ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Petroleum         ,kt,1996,197,483,1337,3124,340,199,98,638,249,613,3071,0,24,52,95,1045,0
ShipTransport_Gasoline          ,kt,1996,2724,0,448,0,0,0,1,0,0,21,0,0,24,82,0,0,0
ShipTransport_Diesel            ,kt,1996,0,817,5469,1579,270,1093,105,3248,193,1743,557,0,261,820,0,366,0
InterBunkers_Coal               ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Gas                ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Petroleum          ,kt,1996,20753,770,30268,3662,989,192,389,4218,88,13661,4396,13419,6945,3290,374,1073,39
InterBunkers_Gasoline           ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Diesel             ,kt,1996,6950,185,9341,130,220,35,104,939,33,1694,952,314,1324,770,205,279,528
CommBuildings_Coal              ,kt,1996,2629,0,2426.31,462.87,391.99,1642,3637.58,12619.05,8936,0,0,0,1543.94,12.36,0,17.47,0
CommBuildings_Gas               ,kt,1996,43874.79,5784.85,18119.65,2099.39,645.77,7952.28,2432.05,156.71,0,1068.74,580.42,857.26,20.14,373.15,707.36,24.35,0
CommBuildings_Petroleum         ,kt,1996,4789,1001,3524,11396,223,350,188,3206,0,1114,10789,3229,73,338,100,790,1867
CommBuildings_Gasoline          ,kt,1996,593,0,121,0,12,28,22,0,0,0,0,82,17,135,0,0,0
CommBuildings_Diesel            ,kt,1996,11071,3211,25598,10872,120,150,584,9819,0,864,3982,944,443,690,85,146,39
CommBuildings_Biomass           ,kt,1996,3007.07,0,788.62,0,42.41,365.13,1600.28,0,0,426.07,0,0,2224.5,210.67,0,372.03,0
Residential_Coal                ,kt,1996,2820,109,22075.77,849.28,94.86,22845,25414.04,147233.76,17022,415.91,1960,30,2319.9,339.63,0,43.14,0
Residential_Gas                 ,kt,1996,72814.51,8922.64,60814.45,4071.92,1486.55,45121.14,7378.24,1216.63,90.87,2047.06,2155.18,6442.85,1640.68,379.29,3455.44,35.77,512.08
Residential_Petroleum           ,kt,1996,7979,541,16028,15180,331,3752,1293,7961,14145,12987,1940,15873,9308,6280,1080,5557,6682
Residential_Gasoline            ,kt,1996,0,0,139,0,0,73,0,0,0,0,0,0,0,76,0,0,0
Residential_Diesel              ,kt,1996,21629,3265,52685,0,43,1838,935,244,2369,394,686,2423,155,81,0,0,0
Residential_Biomass             ,kt,1996,39759.67,4874.8,70035.94,219.21,5527.6,11126.53,24056.58,692083.79,491429.95,291003.39,0,37.73,477602.16,59105.8,879.9,17432.84,16353.13
UrbanBurn_OpenWaste             ,kt,1996,1402.96,159.32,1425.77,587.9,84.41,1487.44,298.41,8018.23,3540.76,2615.05,236.51,647.48,4580,1138.47,202.72,805.87,386.69
UrbanBurn_OpenBiomass           ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenWaste             ,kt,1996,1203.92,131.63,1789.12,0,0,1267.4,730.09,0,0,0,0,1.13,0,0.13,0,0,0
RuralBurn_OpenBiomass           ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenWaste           ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenBiomass         ,kt,1996,0,0,1750,0,269390,10,0,100310,8560,38200,0,10,2337335.4,260070,9020,547500,0
ForestBurn_OpenWaste            ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestBurn_OpenBiomass          ,kt,1996,102660,71490,75500,560,20610,145020,2170,74745,37440,231860,80,4810,443975.6,311700,7370,359270,49470
AgResidueBurn_OpenWaste         ,kt,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
