sector_fuel,units,year,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
Elec_Coal                       ,kt,1990,709036,42153.79,559388.59,34115.01,82702,364051,270790.92,320098.51,128989,20015,7706,4005,78999,3939.59,236.08,2843.14,3078
Elec_Gas                        ,kt,1990,53534.85,1127.06,21127.36,19821.91,2804.4,136518.31,9651.96,612.4,2065.1,6904.5,1215.08,13387.88,6642.79,4949.58,3117.13,47.88,2047
Elec_Petroleum                  ,kt,1990,26450,3433,43538,47236,302,70600,13180,15107,2366,17283,4198,18878,9172,9245,1221,755,16405
Elec_Gasoline                   ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elec_Diesel                     ,kt,1990,1969,256,2029,1249,565,0,432,1416,1277,3107,236,6925,2226,2052,472,548,360
Elec_Biomass                    ,kt,1990,90627.4,981.8,11439.26,9257.91,2215.46,0,1044.96,0,0,0,0,0,0,3239.43,336.9,2357.14,0
OtherTransf_Coal                ,kt,1990,56355.96,7760,139218.08,119148.46,9370.48,186589,55009.46,160539.65,26084,1971,21407.69,1615,13088.51,2802.98,1859,16859.25,2947
OtherTransf_Gas                 ,kt,1990,9380.67,828.73,1008.1,3.04,271.41,775.33,296.35,137.33,0,501.94,0,2251.88,346.76,1136.74,734.15,0,0
OtherTransf_Petroleum           ,kt,1990,718041,71977,585689,182076,31280,440583,69765,115301,53588,123361,42633,208854,109581,111555,25018,61959,73063
OtherTransf_Gasoline            ,kt,1990,32,2,369,0,0,0,0,0,0,0,0,0,0,12,22,0,1664
OtherTransf_Diesel              ,kt,1990,87,27,1309,17,0,0,34,508,0,1,10,1,0,182,214,411,1014
OtherTransf_Biomass             ,kt,1990,0,0,226.91,0,0,0,0.4,2642.2,0,34315.53,0,663.73,78322,5365.6,1321.15,35685.53,0
Industry_Coal                   ,kt,1990,69839.49,2489.89,92344.49,21711.13,7973.35,99094,48098.83,410728.22,49713,10677.23,4589,349,19162.27,4017.61,258.33,4431.55,2418
Industry_Gas                    ,kt,1990,73839.63,10349.81,45472.27,2228.28,3648.65,96085.21,17824.86,2333.19,3136.08,2668.84,43.47,18788.9,2828.35,5586.85,2479.39,777.1,6457.59
Industry_Petroleum              ,kt,1990,27622,5087,43282,24079,1471,56642,6358,14701,7299,8947,9407,17574,10553,9573,1232,8642,8477
Industry_Gasoline               ,kt,1990,4635,0,581,0,82,29500,78,1502,0,82,16,183,78,325,0,0,0
Industry_Diesel                 ,kt,1990,27007,4303,26407,16518,2843,45000,9324,15470,1537,11796,3763,18214,8235,6394,1535,3418,2501
Industry_Biomass                ,kt,1990,26056.02,20480.38,38676.67,12573.25,4802,0,1426.83,2684.61,55899.33,27291.2,0,2027.47,96973.57,33946.25,3376.58,48743.37,4855.13
Industry_BioLiquid              ,kt,1990,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Gas                ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Petroleum          ,kt,1990,71918,4120,29611,7196,3034,21585,1076,2716,1677,6647,2077,7129,4590,2774,666,2316,1697
