"Data.Type","Emission","Region","Sector","Start.Year","End.Year","Source.Comment"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file Master_Country_List"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.A_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.A.1_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.A.3_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.A.4_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.A.5_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.1.A_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.1.B_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.1.C_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.2.A_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.2.B_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.2.D_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.2.E_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.2.F_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.3.A_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.3.B_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.3.C_netEmission"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Metadata input file missing for data file SO2_1.AA.3.D_netEmission"
