cou_abb,reg_abb,Sector/Activity,BC1,BC2,HC1,HC2,HC3,DC,OS1,OS2,HF,MD,GSL,GAS,REN,NOF,Sum
AUST,WHOL,CON_COMB,n.a,n.a,0.003647724,n.a,n.a,0.600637185,n.a,n.a,1.513594074,n.a,0.008909754,n.a,n.a,n.a,2.126788738
AUST,WHOL,CON_LOSS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,DOM,0.055940882,n.a,0.549677399,n.a,n.a,0.608344326,0.575932963,n.a,2.101208634,1.660798447,0.000753078,n.a,n.a,n.a,5.552655728
AUST,WHOL,DOM_LIGHT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_CHEM,n.a,n.a,n.a,n.a,n.a,n.a,0.006197525,0.545983228,0.064573122,n.a,n.a,n.a,n.a,n.a,0.616753875
AUST,WHOL,IN_BO_CON,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,1.211265942,n.a,0.006018918,n.a,n.a,n.a,1.21728486
AUST,WHOL,IN_BO_OTH,n.a,n.a,n.a,n.a,n.a,n.a,0.035777822,0.053684876,0.651931661,n.a,n.a,n.a,n.a,n.a,0.74139436
AUST,WHOL,IN_BO_OTH_L,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_OTH_S,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_PAP,n.a,n.a,n.a,n.a,n.a,n.a,0.008789801,0.939667042,0.193719365,n.a,n.a,n.a,n.a,n.a,1.142176207
AUST,WHOL,IN_OC,0.001196717,n.a,0.532815868,n.a,n.a,0.17326013,n.a,0.025589904,0.238295919,0.422778378,n.a,n.a,n.a,n.a,1.393936916
AUST,WHOL,NONEN,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,OTHER_SO2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_ENG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.153744578,0.000393047,n.a,n.a,n.a,n.a,0.154137626
AUST,WHOL,PP_EX_L,1.38547642,n.a,1.825808866,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,3.211285286
AUST,WHOL,PP_EX_OTH,n.a,n.a,n.a,n.a,n.a,n.a,0.341523318,0.263250992,0.801642054,1.96E-05,0.002370361,n.a,n.a,n.a,1.408806375
AUST,WHOL,PP_EX_S,0.042849786,n.a,0.056468315,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.099318102
AUST,WHOL,PP_IGCC,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_IGCC_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_MOD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_MOD_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_NEW,n.a,n.a,n.a,n.a,n.a,n.a,0.010176928,0.341349559,0.013832357,0.00980899,5.73E-05,n.a,n.a,n.a,0.375225093
AUST,WHOL,PP_NEW_L,n.a,n.a,0.032971531,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.032971531
AUST,WHOL,PP_TOTAL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PR_BRICK,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PR_CEM,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.67545,0.67545
AUST,WHOL,PR_COKE,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.199822882,0.199822882
AUST,WHOL,PR_GLASS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.4176,0.4176
AUST,WHOL,PR_LIME,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.0380232,0.0380232
AUST,WHOL,PR_NIAC,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PR_OT_NFME,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.600264059,0.600264059
AUST,WHOL,PR_PIGI,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,2.878839648,2.878839648
