sector_fuel,units,year,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
Elec_Coal                       ,Gg,1996,0.7,0.07,3.84,0.02,0.3,3.56,0.89,19.7,1.11,1.14,0.01,0.04,0.14,0.01,0,0.01,0.01
Elec_Gas                        ,Gg,1996,0.07,0,0.04,0.02,0,0.15,0.01,0,0,0.02,0,0.02,0.01,0.01,0,0,0
Elec_Petroleum                  ,Gg,1996,0.22,0.01,0.64,0.55,0,0.76,0.15,0.2,0.04,0.36,0.11,0.48,0.13,0.15,0.01,0.02,0.27
Elec_Gasoline                   ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elec_Diesel                     ,Gg,1996,0,0,0.11,0,0,0.04,0.19,0.28,0,0.01,0.01,0.01,0,0,0,0,0
Elec_Biomass                    ,Gg,1996,8.86,0.26,2.39,0.28,0.39,1.71,0.16,0,0,0.33,0,0,0,0.67,0.07,0.47,0
OtherTransf_Coal                ,Gg,1996,6.66,1.03,14.68,16.17,1.31,15.98,11.59,167.47,8.36,0.46,3.54,0.77,3.66,0.78,0.39,5.99,1.5
OtherTransf_Gas                 ,Gg,1996,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransf_Petroleum           ,Gg,1996,66.04,6.1,57.34,18.66,3.09,20.98,5.81,13.91,5.75,16.42,9.28,25.15,10.59,11.07,2.23,6.05,6.16
OtherTransf_Gasoline            ,Gg,1996,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02
OtherTransf_Diesel              ,Gg,1996,0.23,0.02,0.97,0.01,0,0,0.08,0.3,0,0.06,0.02,0.34,0,0.19,0.02,0.15,0.84
OtherTransf_Biomass             ,Gg,1996,0,0,0.3,0,0,0.26,0.3,3.96,0,40.68,0,0.94,118.25,8.36,1.82,31.53,0
Industry_Coal                   ,Gg,1996,0.19,0.02,4.82,0.08,0.12,4.28,5.63,193.13,13.87,12.25,0.03,0.01,3.27,0.38,0,0.06,0.03
Industry_Gas                    ,Gg,1996,0.08,0.01,0.06,0,0,0.04,0.01,0,0,0.01,0,0.03,0,0.01,0,0,0.01
Industry_Petroleum              ,Gg,1996,0.2,0.08,0.62,2.47,0.02,0.36,0.08,0.29,0.12,0.25,0.6,0.57,0.24,0.2,0.01,0.17,0.16
Industry_Gasoline               ,Gg,1996,2.08,0,0.2,0,0.03,0.09,0.05,1.89,0,0.19,0,0.01,0.09,0.07,0,0,0
Industry_Diesel                 ,Gg,1996,20.75,4.12,23.88,10.94,2.68,15.15,5.49,19.69,8.55,14.56,3.48,7.34,12.1,6.58,2.72,4.75,3.08
Industry_Biomass                ,Gg,1996,6.82,2.18,7.3,0.17,2.06,19.59,17.07,6.78,164.66,100.66,0,4.94,268.42,95.01,18.32,148.57,15.01
Industry_BioLiquid              ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Gas                ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Petroleum          ,Gg,1996,2.1,0.13,1.03,0.26,0.13,0.28,0.04,0.18,0.06,0.28,0.07,0.21,0.17,0.1,0.04,0.09,0.06
AirTransport_Gasoline           ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Diesel             ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Gas               ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Petroleum         ,Gg,1996,0,0,0.01,0,0,0,0.01,0.11,0.03,0.01,0.02,0,0,0,0,0,0
RoadTransport_Gasoline          ,Gg,1996,61.8,4.86,41.44,7.48,2.81,30.37,10.66,40.51,26.82,122.23,1.49,128.02,115.53,97.86,19.28,50.06,86.42
RoadTransport_Diesel            ,Gg,1996,31.79,2.77,45.97,29.74,4.92,5.68,8.35,7.94,17.96,31.66,10.86,20.2,14.01,11.49,5.85,18.24,7.05
RoadTransport_BioLiquid         ,Gg,1996,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,51.96,0
