cou_abb,reg_abb,sector/activity,BC1,BC2,HC1,HC2,HC3,DC,OS1,OS2,HF,MD,GSL,LPG,GAS,H2,REN,HYD,NUC,ELE,HT,Sum
AUST,WHOL,CON_COMB,n.a,n.a,0.028847052,n.a,n.a,1.852491528,n.a,n.a,5.82151567,n.a,2.049243482,6.459424685,14.23063759,n.a,n.a,n.a,n.a,n.a,n.a,30.44216001
AUST,WHOL,CON_LOSS,n.a,n.a,4.920411096,n.a,n.a,n.a,1.881045504,n.a,0.538087536,n.a,n.a,n.a,1.360375056,n.a,n.a,n.a,n.a,30.35526296,19.87258822,58.92777038
AUST,WHOL,DOM,0.127864872,n.a,1.491254424,n.a,n.a,3.300831252,76.79106176,n.a,8.720015832,78.42659332,0.173207916,5.382005796,86.66278254,n.a,4.085981856,n.a,n.a,105.5771958,48.80498332,419.5437787
AUST,WHOL,DOM_LIGHT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_CHEM,n.a,n.a,n.a,n.a,n.a,n.a,0.826336683,4.747680246,0.209652992,n.a,n.a,0.043297901,2.979164788,n.a,n.a,n.a,n.a,n.a,-3.567808564,5.238324046
AUST,WHOL,IN_BO_CON,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,3.93268163,n.a,1.384351198,4.363616322,4.276104444,n.a,n.a,n.a,n.a,n.a,-12.27367986,1.683073735
AUST,WHOL,IN_BO_OTH,n.a,n.a,n.a,n.a,n.a,n.a,4.770376325,0.466825008,2.116661239,n.a,n.a,0.445099042,5.384804183,n.a,n.a,n.a,n.a,n.a,-7.745954125,5.437811671
AUST,WHOL,IN_BO_OTH_L,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_OTH_S,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,IN_BO_PAP,n.a,n.a,n.a,n.a,n.a,n.a,1.171973412,8.171017758,0.628958976,n.a,n.a,0.01855142,2.447385475,n.a,n.a,n.a,n.a,n.a,-3.722057443,8.715829598
AUST,WHOL,IN_OCTOT,0.06973805,n.a,4.911032664,n.a,n.a,46.2380981,3.724891128,3.693397034,18.41128998,8.981795094,n.a,1.072438202,97.60775443,n.a,n.a,n.a,n.a,91.93693637,78.10827073,354.7556418
AUST,WHOL,NONEN,n.a,n.a,0.028847052,n.a,n.a,0.455984388,n.a,n.a,32.49752292,n.a,25.65918061,n.a,13.20031051,n.a,n.a,n.a,n.a,n.a,n.a,71.84184548
AUST,WHOL,PP_ENG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.312764706,0.004176128,n.a,n.a,0.070613302,n.a,n.a,n.a,n.a,n.a,n.a,0.387554136
AUST,WHOL,PP_EX_OTH,n.a,n.a,n.a,n.a,n.a,n.a,45.5364424,8.775033053,15.26937246,0.000417449,0.545183131,n.a,39.7,n.a,n.a,n.a,n.a,n.a,n.a,109.8264485
AUST,WHOL,PP_EX_L,10.82366952,n.a,52.6278404,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,63.45150993
AUST,WHOL,PP_EX_S,0.334752666,n.a,1.627665167,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,1.962417833
AUST,WHOL,PP_EX_WB,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_IGCC,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_IGCC_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_MOD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,46.52660472,n.a,n.a,n.a,n.a,n.a,n.a,46.52660472
AUST,WHOL,PP_MOD_CCS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
AUST,WHOL,PP_NEW,n.a,n.a,n.a,n.a,n.a,n.a,1.356923775,11.37831862,0.368862851,0.20838894,0.013169643,n.a,55,n.a,n.a,n.a,n.a,n.a,n.a,68.32566383
AUST,WHOL,PP_NEW_L,n.a,n.a,1.016911441,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,1.016911441
AUST,WHOL,PP_TOTAL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,5.843265552,132.0371857,n.a,-230.6376654,-119.4755049,-212.2327191
AUST,WHOL,TRA_OT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0
