Palette1,Palette1_names,Palette2,Palette2_names
#73e600,yellow-green,#73e600,yellow-green
#00BE67,green,#00BE67,green
#80d4ff,light blue,#80d4ff,light blue
#026fff,blue,,
#d966ff,light purple,,
#f75555,red,,
#ff8c1a,orange,,
#ffe11a,yellow,,
#999999,light grey,,
#990033,wine,,
#333333,dark grey,,
#fcde1e,gold,,
#1de0cc,teal,,
#ff8484,pink,,
#1d3d84,deep blue,,
#990606,brick red,,
