iso,sector,fuel,units,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
ind,1A3b_Road,diesel_oil,kt/kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.98,0.9604,0.941192
uzb,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
tkm,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
tjk,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
kgz,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
kaz,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
prk,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
mng,1A3b_Road,diesel_oil,kt/kt,1,0.984529156,0.969297659,0.954301806,0.939537951,0.925002506,0.910691936,0.896602763,0.882731561,0.869074959,0.855629636,0.842392323,0.829359802,0.816528906,0.803896515,0.791459557,0.779215009,0.767159895,0.755291284
pak,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
npl,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
mdv,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
lka,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
btn,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
bgd,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
afg,1A3b_Road,diesel_oil,kt/kt,1,0.952034715,0.906370099,0.862895799,0.821506757,0.782102951,0.744589161,0.708874729,0.674873351,0.642502859,0.611685026,0.58234538,0.554413018,0.52782044,0.502503382,0.478400664,0.45545404,0.433608058,0.412809924
mex,1A3b_Road,diesel_oil,kt/kt,1,1,1,1,1,1,1,1,1,1,1,0.96,0.9216,0.884736,0.84934656,0.815372698,0.78275779,0.751447478,0.721389579
ind,1A1a_Electricity-public,hard_coal,kt/kt,0,0,0,0,0,0,0,0,0,0,1,0.995,0.990025,0.985074875,0.980149501,0.975248753,0.970372509,0.965520647,0.960693044
