iso,sector,fuel,units,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
zaf,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.995,0.990025,0.985074875,0.980149501,0.975248753,0.970372509,0.965520647,0.960693044
uzb,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
tkm,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
tjk,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
kgz,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
kaz,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
prk,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
mng,1A2a_Ind-Comb-Iron-steel,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
zaf,1A1a_Electricity-public,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.995,0.990025,0.985074875,0.980149501,0.975248753,0.970372509,0.965520647,0.960693044
ind,1A1a_Electricity-public,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
png,1A1a_Electricity-public,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
idn,1A1a_Electricity-public,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
tls,1A1a_Electricity-public,hard_coal,none,0,0,0,0,0,0,0,0,0,0,1,0.99,0.9801,0.970299,0.96059601,0.95099005,0.941480149,0.932065348,0.922744694
