"year","iso","EDGAR_HTAPv3"
2000,"kor",1221331470.0679
2001,"kor",1129551349.28259
2002,"kor",1112091735.14594
2003,"kor",1090191561.6274
2004,"kor",1107545766.36109
2005,"kor",1080569318.01098
2006,"kor",1114515152.62141
2007,"kor",1043749030.82617
2008,"kor",976497326.60043
2009,"kor",1077490526.9917
2010,"kor",1027025129.38602
2011,"kor",978053710.28709
2012,"kor",963039543.98573
2013,"kor",949274628.92654
2014,"kor",797403337.76915
2015,"kor",762801658.47574
2016,"kor",764186304.91045
2017,"kor",783976220.85898
