"year","iso","EDGAR_HTAPv3"
2000,"kor",490892079.81108
2001,"kor",492671485.74965
2002,"kor",483682429.79795
2003,"kor",475343660.97175
2004,"kor",456680278.8627
2005,"kor",417796634.66801
2006,"kor",449041251.48006
2007,"kor",404110751.10255
2008,"kor",410109857.22365
2009,"kor",389384802.90393
2010,"kor",402633935.41934
2011,"kor",434727801.16048
2012,"kor",420012491.86009
2013,"kor",407164931.19187
2014,"kor",328586513.24266
2015,"kor",337967326.34884
2016,"kor",344105087.1827
2017,"kor",301483565.93233
