"year","iso","EDGAR_HTAPv3"
2000,"kor",224683365.03987
2001,"kor",222852536.30677
2002,"kor",216572831.78301
2003,"kor",225918634.35845
2004,"kor",232047878.64104
2005,"kor",235163293.25139
2006,"kor",223810443.43965
2007,"kor",267769156.2312
2008,"kor",253400312.04132
2009,"kor",265555758.14893
2010,"kor",276972032.73392
2011,"kor",263537426.4134
2012,"kor",290569872.03386
2013,"kor",279990064.12975
2014,"kor",279430118.55842
2015,"kor",284013589.68128
2016,"kor",287988428.13304
2017,"kor",294954676.06318
