"year","iso","EDGAR_HTAPv3"
2000,"kor",80193154.616427
2001,"kor",86801190.4637652
2002,"kor",89109885.7370601
2003,"kor",92605711.6007083
2004,"kor",90871527.9589981
2005,"kor",93058593.9353338
2006,"kor",92571494.7813056
2007,"kor",90424793.5512443
2008,"kor",95228144.3131486
2009,"kor",91368923.7630101
2010,"kor",98015815.5440355
2011,"kor",106060489.46963
2012,"kor",100546579.01015
2013,"kor",100975348.54128
2014,"kor",84594793.09111
2015,"kor",90768081.91172
2016,"kor",92702998.83879
2017,"kor",84114409.46041
