"year","iso","EDGAR_HTAPv3"
2000,"kor",928403023.106671
2001,"kor",945381633.187912
2002,"kor",947303221.538029
2003,"kor",961882369.019697
2004,"kor",1003516193.75504
2005,"kor",962205979.572557
2006,"kor",999515779.720515
2007,"kor",971916175.41639
2008,"kor",959406206.25557
2009,"kor",950635624.13258
2010,"kor",966242775.92891
2011,"kor",972975240.01671
2012,"kor",1009701099.07513
2013,"kor",1010508549.04046
2014,"kor",986334523.00664
2015,"kor",1005260968.71104
2016,"kor",1018469593.92783
2017,"kor",1041821266.35517
