"year","iso","EDGAR_HTAPv3"
2000,"kor",1364011118.57732
2001,"kor",1467020862.3088
2002,"kor",1483755496.49642
2003,"kor",1596966964.8043
2004,"kor",1617206640.69286
2005,"kor",1525607918.30591
2006,"kor",1484820168.8668
2007,"kor",1360356485.72836
2008,"kor",1220612984.5253
2009,"kor",1184768676.52434
2010,"kor",1216591038.35747
2011,"kor",1177626003.94466
2012,"kor",1205624052.47257
2013,"kor",1207292640.64906
2014,"kor",1225667064.63159
2015,"kor",1218573158.82694
2016,"kor",1213807498.80929
2017,"kor",1152751819.60778
