"year","iso","EDGAR_HTAPv3"
2000,"kor",150041348.944972
2001,"kor",160228986.245288
2002,"kor",163059458.36228
2003,"kor",168781766.145464
2004,"kor",163584507.916248
2005,"kor",170219424.375955
2006,"kor",170080958.198315
2007,"kor",170054735.36778
2008,"kor",184194089.24415
2009,"kor",176063633.82967
2010,"kor",188810446.37654
2011,"kor",203320097.32632
2012,"kor",192132929.62738
2013,"kor",193571689.55512
2014,"kor",166816489.08353
2015,"kor",177873015.61751
2016,"kor",181810810.79851
2017,"kor",166850268.83896
