JAHR,STEINKOHLE,BRAUNKOHLE,GESAMT,ERDOEL,ERDGAS,WASSERKRAFT UND KERNENERGIE
1860,11.477,1.14,12.617,0,0,0
1861,12.929,1.202,14.131,0,0,0
1862,14.364,1.322,15.686,0,0,0
1863,15.754,1.419,17.173,0,0,0
1864,17.704,1.613,19.317,0,0,0
1865,19.923,1.757,21.68,0.021,0,0
1866,19.473,1.785,21.258,0.057,0,0
1867,21.306,1.935,23.241,0.106,0,0
1868,23.584,2.021,25.605,0.126,0,0
1869,24.645,2.123,26.768,0.16,0,0
1870,24.072,2.174,26.246,0.168,0,0
1871,28.068,2.432,30.5,0.218,0,0
1872,31.754,2.604,34.358,0.211,0,0
1873,33.828,2.918,36.746,0.301,0,0
1874,33.531,3.111,36.642,0.271,0,0
1875,34.789,3.321,38.11,0.351,0,0
1876,35.271,3.513,38.784,0.371,0,0
1877,34.547,3.42,37.967,0.437,0,0
1878,35.696,3.515,39.211,0.438,0,0
1879,37.908,3.718,41.626,0.441,0,0
1880,41.796,3.953,45.749,0.375,0,0
1881,43.189,4.132,47.321,0.517,0,0
1882,46.846,4.224,51.07,0.491,0,0
1883,49.419,4.621,54.04,0.523,0,0
1884,50.714,4.755,55.469,0.656,0,0
1885,51.74,4.937,56.677,0.683,0,0
1886,51.962,5.121,57.083,0.627,0,0
1887,54.257,5.28,59.537,0.127,0,0
1888,59.178,5.659,64.837,0.805,0,0
1889,63.051,6.049,69.1,0.888,0,0
1890,65.257,6.641,71.898,0.926,0,0
1891,69.212,7.104,76.316,0.966,0,0
1892,66.838,7.243,74.081,1.061,0,0
1893,68.839,7.347,76.186,1.09,0,0
1894,71.808,7.517,79.325,1.123,0,0
1895,73.926,8.307,82.233,1.159,0,0
1896,79.568,8.945,88.513,1.223,0,0
1897,84.737,9.753,94.49,1.277,0,0
1898,88.141,10.42,98.561,1.2,0,0
1899,93.917,11.128,105.045,1.1,0,0
1900,101.398,12.585,113.983,1.052,0,-0.115
1901,99.57,13.668,113.238,1.038,0,-0.114
1902,97.799,13.257,111.056,1.054,0,-0.112
1903,106.015,13.977,119.992,1.101,0,-0.182
1904,110.118,14.633,124.751,1.105,0,-0.189
1905,112.542,15.714,128.256,1.075,0,-0.259
1906,126.821,16.856,143.677,1.097,0,-0.29
1907,136.847,18.587,155.434,1.128,0,-0.314
1908,136.565,19.059,155.624,1.139,0,-0.393
1909,135.812,19.451,155.263,1.08,0,-0.302
1910,138.012,19.473,157.485,1.103,0,-0.477
1911,142.089,20.444,162.533,1.365,0,-0.493
1912,154.11,22.917,177.027,1.516,0,-0.627
1913,166.052,24.482,190.534,2.757,0,-0.776
1914,140.603,23.211,163.814,1.829,0,-0.832
1915,132.488,24.19,156.678,0.629,0,-0.87
1916,151.375,25.854,177.229,0.8,0,-1.165
1917,153.023,25.853,178.876,0.757,0,-1.357
1918,148.013,26.932,174.945,1.214,0,-1.51
1919,111.79,24.842,136.632,1,0,-1.32
1920,115.755,29.68,145.435,0.285,,
1921,123,34,157,0.45,,
1922,127.886,36.188,164.074,0.57,,
1923,43.232,31.245,74.477,0.261,,
1924,112.969,32.938,145.907,0.333,,
1925,117.757,36.917,154.674,0.643,,
1926,110.026,36.571,146.597,1.11,,
1927,132.055,39.743,171.798,1.523,,
1928,134.374,43.764,178.138,1.677,,
1929,144.575,46.076,190.651,2.015,,
1930,114.323,38.428,152.751,4.635,,
1931,92.873,34.725,127.598,4.208,,
1932,83.855,31.891,115.746,3.574,,
1933,88.719,33.246,121.965,3.746,,
1934,99.981,36.182,136.163,4.322,,
1935,111.972,38.729,150.701,5.263,,
1936,124.574,42.414,166.988,5.816,,
1937,150.79,47.467,198.257,5.379,,
1938,162.244,49.955,212.199,6.758,,
1939,180.813,52.634,233.447,7.109,,
1940,208.941,55.126,264.067,3.779,,
1941,218.105,59.034,277.139,3.906,,
1942,219.514,61.049,280.563,2.266,,
1943,226.031,61.806,287.837,2.218,,
1944,215.17,56.128,271.298,1.64,,
1945,45,28,73,1.4,,
1946,68.86,40.716,109.576,0.909,,
1947,95.495,42.117,137.612,0.808,,
1948,110.149,46.2,156.349,1.232,,
1949,94.335,50.471,144.806,2.699,,
1950,98.648,19.557,118.205,6.31,,
1951,111.233,20.778,132.011,7.058,,
1952,118.375,21.554,139.929,7.717,,
1953,114.285,22.65,136.935,9.277,,
1954,120.177,24.638,144.815,11.839,,
1955,131.453,26.059,157.512,15.484,,
1956,137.84,27.011,164.851,19.87,,
1957,137.008,27.677,164.685,21.586,,
1958,124.624,27.543,152.167,27.932,,
1959,121.74,26.982,148.722,35.407,,
1960,128.352,27.949,156.301,44.367,,
1961,123.409,28.057,151.466,53.727,,
1962,125.195,29.381,154.576,66,,
1963,126.866,31.049,157.915,80,,
1964,121.805,31.702,153.507,93,,
1965,114.441,28.907,143.348,107,,
1966,102.207,27.335,129.542,121,,
1967,96.642,26.606,123.248,127,,
1968,98.045,27.981,126.026,142,,
1969,101.69,29.315,131.005,160,,
1970,97.303,30.151,127.454,178,,
1971,90.978,29.212,120.19,185,,
1972,83.926,30.956,114.882,196,,
1973,84.167,33.067,117.234,208,,
1974,82.675,35.175,117.85,188,,
