iso,fuel,sector,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948
usa,hard_coal,1A1a_Electricity-public,38485,48968,55047,63819,64168,63468,76217,80710
usa,hard_coal,1A1a_Heat-production,4419,5155,5375,5836,5537,5200,5961,6052
usa,hard_coal,1A2a_Ind-Comb-Iron-steel,20368,22089,21404,21576,18989,16523,17523,16431
usa,hard_coal,1A2g_Ind-Comb-other,155925,168509,162668,163301,143069,123873,130643,121753
usa,hard_coal,1A3c_Rail,91333,101051,100021,103133,92981,83022,90511,87430
usa,hard_coal,1A4a_Commercial-institutional,41537,49765,53179,59041,57182,54737,63862,65913
usa,hard_coal,1A4b_Residential,40071,46856,48974,53283,50654,47664,54735,55669
