"fao_code","iso","year","value","flow"
"1","arm","2005","0","production"
"1","arm","2008","0","production"
"1","arm","2007","0","production"
"1","arm","2012","0","production"
"1","arm","2013","0","production"
"1","arm","2006","0","production"
"1","arm","2011","0","production"
"1","arm","2009","0","production"
"1","arm","2014","0","production"
"1","arm","2010","0","production"
"3","alb","1974","8000","production"
"3","alb","1984","8000","production"
"3","alb","1978","8000","production"
"3","alb","2002","0","production"
"3","alb","1983","8000","production"
"3","alb","1996","15500","production"
"3","alb","1967","8000","production"
"3","alb","1977","8000","production"
"3","alb","2001","0","production"
"3","alb","1998","15500","production"
"3","alb","1990","15500","production"
"3","alb","1991","15500","production"
"3","alb","1989","15500","production"
"3","alb","2014","0","production"
"3","alb","2003","0","production"
"3","alb","1980","8000","production"
"3","alb","1979","8000","production"
"3","alb","2012","0","production"
"3","alb","2005","0","production"
"3","alb","1987","8000","production"
"3","alb","2008","0","production"
"3","alb","1993","15500","production"
"3","alb","2011","0","production"
"3","alb","1982","8000","production"
"3","alb","2000","0","production"
"3","alb","2009","0","production"
"3","alb","1992","15500","production"
"3","alb","1970","8100","production"
"3","alb","1966","7000","production"
"3","alb","2006","0","production"
"3","alb","2013","0","production"
"3","alb","1971","8100","production"
"3","alb","1995","15500","production"
"3","alb","1972","8000","production"
"3","alb","1999","0","production"
"3","alb","1968","8200","production"
"3","alb","2007","0","production"
"3","alb","1975","8000","production"
"3","alb","2010","0","production"
"3","alb","1969","8200","production"
"3","alb","1997","15500","production"
"3","alb","1973","8000","production"
"3","alb","1976","8000","production"
"3","alb","1994","15500","production"
"3","alb","1985","8000","production"
"3","alb","1988","15500","production"
"3","alb","2004","0","production"
"3","alb","1986","8000","production"
"3","alb","1981","8000","production"
"7","ago","1977","35000","production"
"7","ago","1991","15000","production"
"7","ago","1978","35000","production"
"7","ago","1990","15000","production"
"7","ago","2007","15000","production"
"7","ago","2002","15000","production"
"7","ago","1975","35000","production"
"7","ago","1979","35000","production"
"7","ago","1964","24500","production"
"7","ago","1997","15000","production"
"7","ago","1996","15000","production"
"7","ago","1974","35000","production"
"7","ago","1986","15000","production"
"7","ago","1962","14600","production"
"7","ago","2011","15000","production"
"7","ago","1967","25000","production"
"7","ago","1998","15000","production"
"7","ago","2014","15000","production"
"7","ago","1987","15000","production"
"7","ago","2006","15000","production"
"7","ago","2012","15000","production"
"7","ago","1965","23900","production"
"7","ago","1989","15000","production"
"7","ago","1972","35400","production"
"7","ago","2010","15000","production"
"7","ago","1985","15000","production"
"7","ago","1993","15000","production"
"7","ago","1995","15000","production"
"7","ago","1994","15000","production"
"7","ago","2000","15000","production"
"7","ago","1968","29000","production"
"7","ago","1976","35000","production"
"7","ago","2003","15000","production"
"7","ago","1999","15000","production"
"7","ago","1992","15000","production"
"7","ago","1971","33200","production"
"7","ago","1981","35000","production"
"7","ago","1966","26000","production"
"7","ago","2001","15000","production"
"7","ago","2009","15000","production"
"7","ago","1963","21000","production"
"7","ago","2013","15000","production"
"7","ago","1970","36600","production"
"7","ago","1988","15000","production"
"7","ago","2005","15000","production"
"7","ago","1980","35000","production"
"7","ago","1973","41000","production"
"7","ago","2004","15000","production"
"7","ago","2008","15000","production"
"7","ago","1969","35100","production"
"9","arg","1990","605000","production"
"9","arg","1984","559000","production"
"9","arg","2012","710000","production"
"9","arg","1970","166000","production"
"9","arg","1971","206000","production"
"9","arg","1978","287000","production"
"9","arg","2005","755000","production"
"9","arg","1985","575000","production"
"9","arg","1991","579000","production"
"9","arg","1961","51000","production"
"9","arg","1980","308800","production"
"9","arg","1973","238000","production"
"9","arg","1993","678000","production"
"9","arg","1995","657000","production"
"9","arg","1965","86000","production"
"9","arg","2010","711000","production"
"9","arg","1988","617000","production"
"9","arg","2011","637000","production"
"9","arg","1998","616000","production"
"9","arg","2002","722000","production"
"9","arg","1981","252000","production"
"9","arg","2000","681000","production"
"9","arg","1972","239000","production"
"9","arg","2003","782000","production"
"9","arg","1989","614000","production"
"9","arg","1979","387000","production"
"9","arg","1992","591700","production"
"9","arg","1997","789000","production"
"9","arg","2006","794000","production"
"9","arg","2013","749000","production"
"9","arg","1974","272000","production"
"9","arg","2014","749000","production"
"9","arg","1968","108000","production"
"9","arg","1962","60000","production"
"9","arg","1976","275000","production"
"9","arg","1994","697000","production"
"9","arg","1967","79000","production"
"9","arg","1986","622000","production"
"9","arg","1987","615000","production"
"9","arg","2009","715000","production"
"9","arg","2001","678000","production"
"9","arg","1996","625000","production"
"9","arg","1999","564000","production"
"9","arg","1969","123000","production"
"9","arg","1963","72000","production"
"9","arg","1982","333000","production"
"9","arg","1977","265000","production"
"9","arg","1975","259000","production"
"9","arg","1966","91000","production"
"9","arg","2004","874000","production"
"9","arg","2008","860000","production"
"9","arg","1964","71000","production"
"9","arg","2007","684000","production"
"9","arg","1983","496000","production"
"10","aus","1972","526800","production"
"10","aus","1980","697000","production"
"10","aus","1985","887000","production"
"10","aus","1984","823000","production"
"10","aus","1996","954000","production"
"10","aus","1989","1036000","production"
"10","aus","1966","336000","production"
"10","aus","2011","1417000","production"
"10","aus","1971","506400","production"
"10","aus","2005","1159000","production"
"10","aus","1965","570600","production"
"10","aus","1973","510000","production"
"10","aus","1974","612000","production"
"10","aus","2004","1107000","production"
"10","aus","1979","650000","production"
"10","aus","2007","1182000","production"
"10","aus","1978","598000","production"
"10","aus","1988","994000","production"
"10","aus","2002","1267000","production"
"10","aus","1969","431200","production"
"10","aus","2012","1431000","production"
"10","aus","1987","919000","production"
"10","aus","1981","703000","production"
"10","aus","1995","1003000","production"
"10","aus","2013","1431000","production"
"10","aus","1968","372700","production"
"10","aus","1962","380000","production"
"10","aus","1998","936000","production"
"10","aus","2003","1170000","production"
"10","aus","2014","1431000","production"
"10","aus","2010","1304000","production"
"10","aus","1982","753000","production"
"10","aus","2008","1445000","production"
"10","aus","2009","1226000","production"
"10","aus","1997","945000","production"
"10","aus","1970","496400","production"
"10","aus","1975","571000","production"
"10","aus","1963","457000","production"
"10","aus","1991","1037000","production"
"10","aus","1976","557000","production"
"10","aus","2001","1074000","production"
"10","aus","1990","1035000","production"
"10","aus","1999","882000","production"
"10","aus","1961","368100","production"
"10","aus","1986","910000","production"
"10","aus","1992","1019000","production"
"10","aus","1994","997000","production"
"10","aus","1993","996000","production"
"10","aus","1983","751000","production"
"10","aus","1964","509700","production"
"10","aus","1967","360900","production"
"10","aus","2000","894000","production"
"10","aus","2006","1153000","production"
"10","aus","1977","579000","production"
"11","aut","1993","1492000","production"
"11","aut","1962","658600","production"
"11","aut","2012","2026910","production"
"11","aut","1972","939400","production"
"11","aut","1981","1255000","production"
"11","aut","1984","1268000","production"
"11","aut","1980","1281000","production"
"11","aut","1974","1035000","production"
"11","aut","1965","742200","production"
"11","aut","2014","1943780","production"
"11","aut","1978","1151000","production"
"11","aut","2011","2005465","production"
"11","aut","1971","929800","production"
"11","aut","1961","688900","production"
"11","aut","1989","1541000","production"
"11","aut","1973","983400","production"
"11","aut","1966","744500","production"
"11","aut","1997","1629000","production"
"11","aut","1998","1650000","production"
"11","aut","2007","1989000","production"
"11","aut","2010","1984491","production"
"11","aut","1991","1521000","production"
"11","aut","1986","1384000","production"
"11","aut","2002","1754000","production"
"11","aut","1985","1325000","production"
"11","aut","1994","1634000","production"
"11","aut","2009","1817083","production"
"11","aut","2003","1823000","production"
"11","aut","2004","1934354","production"
"11","aut","1990","1498000","production"
"11","aut","1963","684400","production"
"11","aut","1995","1619000","production"
"11","aut","1987","1371000","production"
"11","aut","1969","891500","production"
"11","aut","1996","1550000","production"
"11","aut","2013","1987355","production"
"11","aut","1979","1266000","production"
"11","aut","1982","1228000","production"
"11","aut","2005","1932000","production"
"11","aut","1976","1047000","production"
"11","aut","1999","1688000","production"
"11","aut","1964","720800","production"
"11","aut","2006","1928000","production"
"11","aut","1970","933300","production"
"11","aut","2001","1728000","production"
"11","aut","1977","1134000","production"
"11","aut","1983","1208000","production"
"11","aut","1988","1493000","production"
"11","aut","2000","1760000","production"
