iso,emission,fuel,changed_sector,source_sector
arm,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
arm,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
arm,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
arm,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
arm,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
