iso,emission,fuel,changed_sector,source_sector
arm,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ltu,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,diesel_oil,1A4b_Residential,1A2g_Ind-Comb-other
arm,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ltu,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,brown_coal,1A4b_Residential,1A2g_Ind-Comb-other
arm,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ltu,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,coal_coke,1A4b_Residential,1A2g_Ind-Comb-other
arm,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ltu,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,hard_coal,1A4b_Residential,1A2g_Ind-Comb-other
arm,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
