Table A-94:  Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007a,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Motor Gasolineb,c","107,477","105,786","108,770","110,901","112,793","114,277","116,795","118,253","121,694","125,767","125,385","126,286","128,810","129,185","130,865","129,772","127,760","127,130","121,360","120,441","119,372","116,631","116,105","116,145","120,861","120,685","123,603"
Passenger Cars,"67,879","63,359","63,983","64,807","65,608","65,702","66,737","66,742","68,969","70,771","70,468","71,038","72,401","70,056","69,636","71,882","68,842","86,114","82,186","81,357","80,632","79,941","79,735","79,693","81,785","82,447","83,948"
  Light-Duty Trucks,"33,762","36,619","39,049","40,454","41,480","42,903","44,450","45,949","47,075","49,250","49,107","49,558","50,684","53,973","56,036","52,297","53,289","33,950","32,087","32,452","32,224","30,587","30,235","30,254","32,722","31,926","33,202"
  Motorcycles,189,183,189,194,201,194,191,194,199,206,203,187,184,179,188,177,204,459,472,453,398,388,444,423,422,412,430
  Buses,38,37,37,39,40,40,40,40,40,43,42,39,37,35,48,40,40,77,79,81,79,77,89,92,101,102,102
  Medium- and Heavy-Duty Trucks,"4,232","4,185","4,081","3,957","3,986","3,937","3,846","3,772","3,827","3,888","3,961","3,858","3,903","3,356","3,385","3,817","3,851","5,018","5,064","4,652","4,624","4,241","4,214","4,305","4,456","4,428","4,554"
  Recreational Boatsd,"1,377","1,404","1,431","1,451","1,477","1,501","1,531","1,556","1,583","1,609","1,604","1,605","1,600","1,587","1,573","1,559","1,535","1,513","1,471","1,446","1,414","1,398","1,388","1,379","1,375","1,370","1,367"
"Distillate Fuel Oil (Diesel Fuel) b,c","25,631","24,873","26,431","28,044","30,188","31,604","33,159","34,624","35,727","37,863","39,241","39,057","40,347","41,176","42,667","44,658","45,844","46,427","44,026","39,873","41,477","42,280","42,045","42,672","43,900","45,231","46,695"
  Passenger Cars,771,678,712,812,831,765,657,593,546,427,356,357,364,412,419,414,403,403,363,354,367,399,401,399,406,422,427
  Light-Duty Trucks,"1,119","1,108","1,225","1,317","1,365","1,452","1,529","1,586","1,682","1,847","1,961","2,029","2,133","2,652","2,822","2,518","2,611","1,327","1,184","1,180","1,227","1,277","1,271","1,265","1,360","1,368","1,412"
  Buses,781,717,752,818,857,851,884,901,922,"1,034",997,906,860,930,"1,316","1,030","1,034","1,520","1,436","1,335","1,326","1,419","1,515","1,525","1,653","1,681","1,670"
  Medium- and Heavy-Duty Trucks,"18,574","18,147","19,225","20,554","22,104","23,240","24,488","25,929","27,152","28,833","30,179","30,124","31,417","31,539","32,598","35,159","36,089","37,517","35,726","32,364","33,683","33,859","33,877","34,426","35,418","36,281","37,031"
  Recreational Boats,194,201,209,217,224,232,240,247,255,263,270,278,286,294,302,311,319,327,335,343,351,357,364,368,375,383,"1,565"
  Ships and Non-Recreational Boats,732,768,957,881,"1,091","1,200","1,428","1,422","1,195","1,338","1,372","1,244","1,197","1,173",802,780,724,794,767,768,726,993,733,741,605,"1,181",977
  Raile,"3,461","3,254","3,351","3,445","3,716","3,863","3,934","3,947","3,974","4,122","4,106","4,119","4,089","4,176","4,407","4,446","4,664","4,538","4,215","3,529","3,798","3,975","3,884","3,948","4,083","3,915","3,615"
Jet Fuelf,"19,186","17,582","17,361","17,544","18,324","17,991","18,933","18,917","19,318","19,740","20,002","19,454","19,004","18,389","19,147","19,420","18,695","18,407","17,749","15,809","15,537","15,036","14,705","15,088","15,217","16,162","17,028"
  Commercial Aircraft,"11,569","10,761","10,986","11,329","11,841","12,136","12,492","12,937","12,602","13,726","14,672","13,121","12,774","12,943","13,147","13,976","14,426","14,708","13,400","12,588","11,931","12,067","11,932","12,031","12,131","12,534","12,674"
