Table A-110:  Emission Factors for N2O for Alternative Fuel Vehicles (g/mi) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Light-Duty Cars ,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Methanol-Flex Fuel ICE,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   Ethanol-Flex Fuel ICE,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   CNG ICE,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   CNG Bi-fuel,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   LPG ICE,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   LPG Bi-fuel,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007
   Biodiesel (BD100),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Light-Duty Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Ethanol-Flex Fuel ICE,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.070,0.071,0.072,0.072,0.069,0.065,0.061,0.058,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.015,0.015,0.014
   CNG ICE,0.041,0.041,0.041,0.041,0.041,0.041,0.044,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.055,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.015,0.015,0.014
