Table A-100:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (10^6 Miles) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Light-Duty Cars,4,14.1,29.4,43.3,62,56,53,52.5,50,58.8,78.1,101.6,137.1,157.5,190,195.1,230.5,252.3,260.5,295.9,344.6,559.7,998.1,2120.9,3491.1,4484,6267.5
   Methanol-Flex Fuel ICE,+ ,10.1,24.6,37.3,55.7,48.9,43.6,38.8,30.8,27.7,15.2,11.5,8.8,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
   Ethanol-Flex Fuel ICE,+ ,+ ,+ ,0.1,0.1,0.3,1.1,2.1,2.9,6.7,20.9,25.4,31,35.2,42.2,51,59.2,72.8,84.2,96.2,122.2,118.5,148.9,173.5,135.4,117.7,82
   CNG ICE,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.7,1.5,3.1,5.5,9.1,12.3,14.5,17.3,15.9,14.5,14.1,12.5,11.5,10.8,11.5,11.9,12.9,12.4,12.5,11.8
   CNG Bi-fuel,+ ,+ ,+ ,+ ,+ ,0.2,0.7,2.3,5,10,18,29.5,40.3,47.6,53.5,40.6,25.3,19.1,12.8,10,7.9,7,4.4,3.4,2.5,1.8,1.3
   LPG ICE,1.1,1.2,1,1.3,1.3,1.2,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,0.3,0.1,0.2,1.6,1.7,1.7,+ ,0.2,0.2,0.4,3.5,17,28.8
   LPG Bi-fuel,2.8,2.9,2.6,3.3,3.2,3,3.2,3.2,3.3,2.9,3,3,3.2,3.3,7.9,3.3,3.8,1.7,1.6,1.8,1.2,0.3,0.3,0.2,0.1,0.1,0.1
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,2,3,2.3,4.4,14.6,41.4,50.2,39.1,46.4,39.4,149.5,180.7,311.4,334.8,374.9,563.7
   NEVs,+ ,+ ,1.1,1.2,1.5,2,2.5,3.7,4.6,6.6,11.9,18,33.6,48.6,61.8,67.5,81.7,82.8,87.7,83.7,68.5,97.1,83.5,72.9,63.9,45.4,28.5
   Electric Vehicle,+ ,+ ,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.5,1.9,3.5,4.6,2.5,2.1,4.5,9.7,20.7,44.1,94.3,169,531.3,1474.8,2820.7,3703.8,5269.1
