inv_sector,scaling_sector,ceds_sector,MEIC_Source,Notes,
Power,power,1A1a_Electricity-public,power,,
Industry,industry,,,,
Residential,residential,,,,
Transportation,transportation,,,,
Solvent Use,solvents,,,,
Agriculture,agriculture,,,,
,industry,1A1a_Electricity-autoproducer,power,,
,power,1A1a_Heat-production,power,,"In IEA data, these are all CHP plants, so should be treated as electricity plants"
,industry,1A1bc_Other-transformation,heating (residential & industrial),,
,industry,1A2a_Ind-Comb-Iron-steel,industrial boiler/iron&steel,,
,industry,1A2b_Ind-Comb-Non-ferrous-metals,industrial broiler,,
,industry,1A2c_Ind-Comb-Chemicals,industrial broiler,,
,industry,1A2d_Ind-Comb-Pulp-paper,industrial broiler,,
,industry,1A2e_Ind-Comb-Food-tobacco,industrial broiler,,
,industry,1A2f_Ind-Comb-Non-metalic-minerals,industrial broiler,,
,industry,1A2g_Ind-Comb-Construction,industrial broiler,,
,industry,1A2g_Ind-Comb-transpequip,industrial broiler,,
,industry,1A2g_Ind-Comb-machinery,industrial broiler,,
,industry,1A2g_Ind-Comb-mining-quarying,industrial broiler,,
,industry,1A2g_Ind-Comb-wood-products,industrial broiler,,
,industry,1A2g_Ind-Comb-textile-leather,industrial broiler,,
,industry,1A2g_Ind-Comb-other,industrial broiler,,
,,1A3ai_International-aviation,,,
,,1A3aii_Domestic-aviation,,,
,transportation,1A3b_Road,onroad/motorcyle,,
,transportation,1A3c_Rail,off-road,,
,,1A3di_International-shipping,,,
,,1A3di_Oil_Tanker_Loading,,,
,transportation,1A3dii_Domestic-navigation,off-road,,
,transportation,1A3eii_Other-transp,off-road,,
,residential,1A4a_Commercial-institutional,residential combustion,,
,residential,1A4b_Residential,residential combustion,,
,transportation,1A4c_Agriculture-forestry-fishing,residential combustion,,
,industry,1A5_Other-unspecified,,,
,,1B1_Fugitive-solid-fuels,other industry,Included in industry only for NMVOC,
,,1B2_Fugitive-petr,other industry,Included in industry only for NMVOC,
,,1B2b_Fugitive-NG-prod,other industry,Included in industry only for NMVOC,
,,1B2b_Fugitive-NG-distr,other industry,Included in industry only for NMVOC,
,,1B2d_Fugitive-other-energy,other industry,Included in industry only for NMVOC,
,industry,2A1_Cement-production,other industry,,
,industry,2A2_Lime-production,other industry,,
,industry,2A6_Other-minerals,other industry,,
,industry,2B_Chemical-industry,other industry,,
,,2C_Metal-production,other industry/iron & steel,Leave out since MEIC doesn't contain metal smeting emissions for SO2 (Bo Zheng pers com.),
,solvents,2D_Degreasing-Cleaning,solvents (residential & industrial),,
,solvents,2D3_Chemical-products-manufacture-processing,solvents (residential & industrial),,
,solvents,2D_Paint-application,solvents (residential & industrial),,
,solvents,2D3_Other-product-use,solvents (residential & industrial),,
,industry,2H_Pulp-and-paper-food-beverage-wood,other industry,,
,industry,2L_Other-process-emissions,,,
,agriculture,3B_Manure-management,agriculture,,
,agriculture,3D_Soil-emissions,agriculture,,
,,3I_Agriculture-other,,,
,,3D_Rice-Cultivation,,,
,,3E_Enteric-fermentation,,,
,,5A_Solid-waste-disposal,waste,,
,,5E_Other-waste-handling,,,
,,5C_Waste-incineration,waste,,
,,5D_Wastewater-handling,,,
,,6A_Other-in-total,,,
,,6B_Other-not-in-total,,,
,,7A_Fossil-fuel-fires,,,
,,11A_Volcanoes,,,
,,11B_Forest-fires,,,
,,11C_Other-natural,,,
