inv_sector,scaling_sector,ceds_sector,road_flag,,
Electricity-public,Electricity-and-Heat,1A1a_Electricity-public,,,"Note: The modE script uses this file to determine which inventory sectors correspond to the Road scaling sector (""1A3b_Road"")."
Electricity-private,industry,1A1a_Electricity-autoproducer,,,
District heating,Electricity-and-Heat,1A1a_Heat-production,,,
Petroleum refining,industry,1A1bc_Other-transformation,,,
,industry,1A2a_Ind-Comb-Iron-steel,,,
,industry,1A2b_Ind-Comb-Non-ferrous-metals,,,
,industry,1A2c_Ind-Comb-Chemicals,,,
,industry,1A2d_Ind-Comb-Pulp-paper,,,
,industry,1A2e_Ind-Comb-Food-tobacco,,,
,industry,1A2f_Ind-Comb-Non-metalic-minerals,,,
,industry,1A2g_Ind-Comb-transpequip,,,
,industry,1A2g_Ind-Comb-machinery,,,
,industry,1A2g_Ind-Comb-mining-quarying,,,
Combustion,industry,1A2g_Ind-Comb-wood-products,,,
Other,industry,1A2g_Ind-Comb-textile-leather,,,
Process furnace,industry,1A2g_Ind-Comb-other,,,
Aviation,,1A3aii_Domestic-aviation,,,
Truck,On_Road_and_Off_Road,1A3b_Road,Road,,
RV,On_Road_and_Off_Road,,Road,,
Passenger car,On_Road_and_Off_Road,,Road,,
Special purpose vehicle,On_Road_and_Off_Road,,Road,,
Taxi,On_Road_and_Off_Road,,Road,,
Van,On_Road_and_Off_Road,,Road,,
Bus,On_Road_and_Off_Road,,Road,,
Motorcycle,On_Road_and_Off_Road,,Road,,
Rail,1A3c_Rail,1A3c_Rail,,,
Ship,,1A3dii_Domestic-navigation,,,
Commercial and public,Residential-Commercial,1A4a_Commercial-institutional,,,
Residential,Residential-Commercial,1A4b_Residential,,,
Agriculture-livestock-fishing,On_Road_and_Off_Road,1A4c_Agriculture-forestry-fishing,,,
Agricultural machinery,On_Road_and_Off_Road,,,,
Construction facilities,On_Road_and_Off_Road,1A2g_Ind-Comb-Construction,,,
Petroleum product,industry,1B2_Fugitive-petr,,,
,,1B2b_Fugitive-NG-prod,,,
,,1B2b_Fugitive-NG-distr,,,
,,1A5_Other-unspecified,,,
,,1B1_Fugitive-solid-fuels,,,
,,,,,
,industry,2A1_Cement-production,,,
,industry,2A2_Lime-production,,,
,industry,2A6_Other-minerals,,,
,,,,,
Organic chemical manufacturing,industry,2B_Chemical-industry,,,
,industry,2B2_Chemicals-Nitric-acid,,,
,industry,2B3_Chemicals-Adipic-acid,,,
Inorganic chemical manufacturing,industry,,,,
Consumption of ammonia,industry,,,,
Other manufacturing,industry,2L_Other-process-emissions,,,
Iron and steel,industry,2C_Metal-production,,,
,,,,,
Provision of gasoline,On_Road_and_Off_Road,2D3_Other-product-use,,,
Painting facilities,solvents,2D_Paint-application,,,
Cleaning facilities,solvents,2D_Degreasing-Cleaning,,,
Washing facilities,solvents,,,,
Other use of organic solvent,solvents,2D3_Chemical-products-manufacture-processing,,,
Consumption of ammonia,solvents,,,,
,,,,,
Food and beverage processing,industry,2H_Pulp-and-paper-food-beverage-wood,,,
Wood products,industry,,,,
,,,,,
Manure management,Manure-management and soil,3B_Manure-management,,,
Farmland using fertilizer,Manure-management and soil,3D_Soil-emissions,,,
,,,,,
,,3D_Rice-Cultivation,,,
,,3E_Enteric-fermentation,,,
,,,,,
Waste incineration,waste,5C_Waste-incineration,,,
Other waste processing,waste,5E_Other-waste-handling,,,
,,,,,
,waste,5D_Wastewater-handling,,,
,waste,5A_Solid-waste-disposal,,,
,,7BC_Indirect-N2O-non-agricultural-N,,,
,,,,,
,,,,,
Agricultural activity,,,,,
Animal,Manure-management and soil,,,,
charcoal burner,Residential-Commercial,,,,
Construction work,,,,,
Dirt roads,,,,,
Forest fire and fire,,,,,
furnace,Residential-Commercial,,,,
Grilled meat and fish,Residential-Commercial,,,,
Ground,,,,,
Incineration of agricultural residues,,,,,
Livestock activities,,,,,
Open-air incineration,,,,,
Road re-scattering dust,,,,,
Unloading and loading,,,,,
Waste treatment,,,,,
Wood stove and boiler,Residential-Commercial,,,,
