inv_sector,description,scaling_sector,ceds_sector,""
1,Energy,,,
2,industrial processes,,,
2.1,,,,
3,,,,
4,,,,
7,,,,
1.A,fuel combustion,,,
1.A.1,energy indistries,,,
1.A.2,Industry Combustion,industry_combustion,1A1a_Electricity-autoproducer,
,,,,
1.A.4,Other Sectors,,,
1.A.5,Non Specified,,,
1.AA.1.A,main activity electric and heat,electric_heat,1A1a_Electricity-public,
,,electric_heat,1A1a_Heat-production,
,,,,
1.AA.1.B,petroleum refining,other_transformation,1A1bc_Other-transformation,
1.AA.1.C,manufacture of solid fuels and other energy industries,other_transformation,,
,,,,
1.AA.2.A,iron and steal,,,
1.AA.2.B,non ferrous metal,,,
1.AA.2.D,pulp paper and print,,,
1.AA.2.E,food processing,,,
1.AA.2.F,non metallic minerals,,,
1.AA.3.A,civil aviation,,,
1.AA.3.B,road transportation,1A3b_Road,1A3b_Road,
1.AA.3.C,railways,1A3c_Rail,1A3c_Rail,
1.AA.3.D,waterbourne navigation,,1A3dii_Domestic-navigation,
1.AA.3.E,other transportation,other_transport,1A3eii_Other-transp,
1.AA.4.A,comercial_institutional,RCO,1A4a_Commercial-institutional,
1.AA.4.B,residential,RCO,1A4b_Residential,
1.AA.4.C,agriculture/forestry,RCO,1A4c_Agriculture-forestry-fishing,
1.AA.5.B,mobile,RCO,1A5_Other-unspecified,
1.B,Fugitive Emissions from Fuels,,,
1.B.1.A,coal mining and handling,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels,
1.B.1.B,uncontrolled combustion and burning coal dumps,1B1_Fugitive-solid-fuels,,
1.B.1.C,solid fuel transformation,1B1_Fugitive-solid-fuels,,
1.B.2,oil and nat gas,1B2_Fugitive-petr-and-gas,1B2_Fugitive-petr-and-gas,
,,1B2_Fugitive-petr-and-gas,1B2d_Fugitive-other-energy,
1.B.2.A,fugitive emissions - oil,,,
1.B.2.B,fugitive emissions - natural gas,,,
1.B.2.C,venting and flaring,,,
1.B.2.C.1,venting and flaring,,,
1.B.2.C.2,venting and flaring,,,
1.B.2.D,other fugitive,,,
2.A.1,Cement,Minerals,2A1_Cement-production,
,,Minerals,2A2_Lime-production,
,,Minerals,2A6_Other-minerals,
2.A.6,road paving asphalt,Minerals,,
2.A.7,quarrying and mining not coal,Minerals,,
,,,,
2.B.1,ammonia production,2B_Chemical-industry,2B_Chemical-industry,
2.B.4,"Caprolactam, Glyoxal and Glyoxylic Acid",2B_Chemical-industry,,
2.B.5,carbide production,2B_Chemical-industry,,
2.C,metal industry,2C_Metal-production,2C_Metal-production,
2.C.1,Iron and Steel Production,,,
2.C.2,Ferroalloys Production,,,
2.C.3,Aluminium Production,,,
2.C.5,Other,,,
2.D,non energy products from fuels and solvent,Chemical-products,2D3_Chemical-products-manufacture-processing,
2.D.1,Pulp and Paper,,,
2.D.2,Food and Drink,,,
2.G,other product manufacturing,2B_Chemical-industry,,
,,,,
,3 Solvent and Other Product Use,,,
3.A,3.A Paint Application,Paint-application,2D_Paint-application,
3.B,3.B Degreasing and Dry Cleaning,Degreasing-Cleaning,2D_Degreasing-Cleaning,
3.C,"3.C Chemical Products, Manufacture and Processing",Chemical-products,,
3.D.5,3.D.5 Other,Other-product-use,2D3_Other-product-use,
,,,,
4.D,wastewater treatment and discharge,Wastewater-handling,5D_Wastewater-handling,
6.C,other,,,
6.C.2,Waste incineration - Other (non-biogenic),Waste-incineration,5C_Waste-incineration,
6.D,other,,,
Aviation,,,,
International Bunkers,,,,
Marine,,,,
Memo Items,,,,
Multilateral Operations,,,,
,,,,
,,,2H_Pulp-and-paper-food-beverage-wood,
,,,,
,,,,
,,,1A3ai_International-aviation,
,,,,
,,industry_combustion,1A2a_Ind-Comb-Iron-steel,
,,industry_combustion,1A2b_Ind-Comb-Non-ferrous-metals,
,,industry_combustion,1A2c_Ind-Comb-Chemicals,
,,industry_combustion,1A2d_Ind-Comb-Pulp-paper,
,,industry_combustion,1A2e_Ind-Comb-Food-tobacco,
,,industry_combustion,1A2f_Ind-Comb-Non-metalic-minerals,
,,industry_combustion,1A2g_Ind-Comb-Construction,
,,industry_combustion,1A2g_Ind-Comb-transpequip,
,,industry_combustion,1A2g_Ind-Comb-machinery,
,,industry_combustion,1A2g_Ind-Comb-mining-quarying,
,,industry_combustion,1A2g_Ind-Comb-wood-products,
,,industry_combustion,1A2g_Ind-Comb-textile-leather,
,,industry_combustion,1A2g_Ind-Comb-other,
,,,,
,,,3B_Manure-management,
,,,3D_Soil-emissions,
,,,3I_Agriculture-other,
,,,3D_Rice-Cultivation,
,,,3E_Enteric-fermentation,
,,,,
,,,5A_Solid-waste-disposal,
,,,5E_Other-waste-handling,
,,,5C_Waste-incineration,
,,,6A_Other-in-total,
,,,,
,,,6B_Other-not-in-total,
,,,7A_Fossil-fuel-fires,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,3F_Agricultural-residue-burning-on-fields,Not in CEDS
,,,11A_Volcanoes,Not in CEDS
,,,11B_Forest-fires,Not in CEDS
,,,11C_Other-natural,Not in CEDS
