inv_sector,scaling_sector,ceds_sector,,Notes,
FUEL COMB. INDUSTRIAL,industry-comb,,,,
OFF-HIGHWAY,off-highway,,,,
FUEL COMB. ELEC. UTIL.,1A1a-Electricity-public,1A1a_Electricity-public,,,
HIGHWAY VEHICLES,1A3b-Road,1A3b_Road,,,
FUEL COMB. OTHER,other-end-use-sectors,,,,
MISCELLANEOUS,Miscellaneous,,,,
OTHER INDUSTRIAL PROCESSES,other-industrial-process,,,,
PETROLEUM & RELATED INDUSTRIES,general-fugitive-emissions,,,,
METALS PROCESSING,2C-Metal-production,2C_Metal-production,,,
STORAGE & TRANSPORT,general-fugitive-emissions,,,,
CHEMICAL & ALLIED PRODUCT MFG,2B-Chemical-industry,2B_Chemical-industry,,,
,,2B2_Chemicals-Nitric-acid,,,
,,2B3_Chemicals-Adipic-acid,,,
,,,,,
SOLVENT UTILIZATION,solvents,,,,
WASTE DISPOSAL & RECYCLING,waste,,,,
,,,,,
Wildfires,,,,,
,industry-comb,1A2a_Ind-Comb-Iron-steel,,,
,industry-comb,1A2b_Ind-Comb-Non-ferrous-metals,,,
,industry-comb,1A2c_Ind-Comb-Chemicals,,,
,industry-comb,1A2d_Ind-Comb-Pulp-paper,,,
,industry-comb,1A2e_Ind-Comb-Food-tobacco,,,
,industry-comb,1A2f_Ind-Comb-Non-metalic-minerals,,,
,industry-comb,1A2g_Ind-Comb-transpequip,,,
,industry-comb,1A2g_Ind-Comb-machinery,,,
,industry-comb,1A2g_Ind-Comb-mining-quarying,,,
,industry-comb,1A2g_Ind-Comb-wood-products,,,
,industry-comb,1A2g_Ind-Comb-textile-leather,,,
,industry-comb,1A2g_Ind-Comb-other,,,
,industry-comb,1A1a_Electricity-autoproducer,,,
,industry-comb,1A1a_Heat-production,,,
,waste,5A_Solid-waste-disposal,,,
,waste,5E_Other-waste-handling,,,
,waste,5D_Wastewater-handling,,,
,waste,5C_Waste-incineration,,,
,solvents,2D3_Other-product-use,,,
,solvents,2D_Paint-application,,,
,solvents,2D_Degreasing-Cleaning,,,
,solvents,2D3_Chemical-products-manufacture-processing,,,
,solvents,2D3_Other-product-use,,,
,,1A2g_Ind-Comb-Construction,,Not scaled - now Efs from MOVES are put in directly,
,,1A3c_Rail,,,
,,1A3eii_Other-transp,,Not scaled - now Efs from MOVES are put in directly,
,,1A4c_Agriculture-forestry-fishing,,Not scaled - now Efs from MOVES are put in directly,
,,1A3aii_Domestic-aviation,,,
,other-end-use-sectors,1A4a_Commercial-institutional,,,
,other-end-use-sectors,1A4b_Residential,,,
,other-end-use-sectors,1A5_Other-unspecified,,,
,,,,,
,Miscellaneous,3B_Manure-management,,,"Note: NEI trends ""Miscellaneous"" category includes wildfires and ag res burning. Data has been adjusted in inventory file so that this will only be used for NH3."
,Miscellaneous,3D_Soil-emissions,,,
,Miscellaneous,3I_Agriculture-other,,,
,Miscellaneous,3D_Rice-Cultivation,,,
,Miscellaneous,3E_Enteric-fermentation,,,
,Miscellaneous,3F_Agricultural-residue-burning-on-fields,,,
,Miscellaneous,3I_Agriculture-other,,,
,,,,,
,other-industrial-process,2A1_Cement-production,,,
,other-industrial-process,2A2_Lime-production,,,
,other-industrial-process,2A2_Lime-production,,,
,other-industrial-process,2A6_Other-minerals,,,
,other-industrial-process,2H_Pulp-and-paper-food-beverage-wood,,,
,other-industrial-process,2L_Other-process-emissions,,,
,,,,,
,general-fugitive-emissions,1A1bc_Other-transformation,,,
,general-fugitive-emissions,1B1_Fugitive-solid-fuels,,,
,general-fugitive-emissions,1B2_Fugitive-petr,,,
,general-fugitive-emissions,1B2b_Fugitive-NG-prod,,,
,general-fugitive-emissions,1B2b_Fugitive-NG-distr,,,
,general-fugitive-emissions,1B2d_Fugitive-other-energy,,,
,,,,,
,,7BC_Indirect-N2O-non-agricultural-N,,,
