inv_sector,scaling_sector,ceds_sector,MEIC_Source
1A1a_Electricity-public,Electricity_Heat,1A1a_Electricity-public,power
1A1a_Electricity-autoproducer,Industrial_Combustion,1A1a_Electricity-autoproducer,power
1A1a_Heat-production,Electricity_Heat,1A1a_Heat-production,heating
1A1bc_Other-transformation,1A1bc_Other-transformation,1A1bc_Other-transformation,
1A2a_Ind-Comb-Iron-steel,Industrial_Combustion,1A2a_Ind-Comb-Iron-steel,industrial boiler
1A2b_Ind-Comb-Non-ferrous-metals,Industrial_Combustion,1A2b_Ind-Comb-Non-ferrous-metals,
1A2c_Ind-Comb-Chemicals,Industrial_Combustion,1A2c_Ind-Comb-Chemicals,
1A2d_Ind-Comb-Pulp-paper,Industrial_Combustion,1A2d_Ind-Comb-Pulp-paper,
1A2e_Ind-Comb-Food-tobacco,Industrial_Combustion,1A2e_Ind-Comb-Food-tobacco,
1A2f_Ind-Comb-Non-metalic-minerals,Industrial_Combustion,1A2f_Ind-Comb-Non-metalic-minerals,
1A2g_Ind-Comb-Construction,Industrial_Combustion,1A2g_Ind-Comb-Construction,
1A2g_Ind-Comb-transpequip,Industrial_Combustion,1A2g_Ind-Comb-transpequip,
1A2g_Ind-Comb-machinery,Industrial_Combustion,1A2g_Ind-Comb-machinery,
1A2g_Ind-Comb-mining-quarying,Industrial_Combustion,1A2g_Ind-Comb-mining-quarying,
1A2g_Ind-Comb-wood-products,Industrial_Combustion,1A2g_Ind-Comb-wood-products,
1A2g_Ind-Comb-textile-leather,Industrial_Combustion,1A2g_Ind-Comb-textile-leather,
1A2g_Ind-Comb-other,Industrial_Combustion,1A2g_Ind-Comb-other,
1A3ai_International-aviation,,1A3ai_International-aviation,
1A3aii_Domestic-aviation,,1A3aii_Domestic-aviation,
1A3b_Road,1A3b_Road,1A3b_Road,onroad
1A3c_Rail,1A3c_Rail,1A3c_Rail,rail
1A3di_International-shipping,,1A3di_International-shipping,
1A3dii_Domestic-navigation,,1A3dii_Domestic-navigation,inland waterway
1A3eii_Other-transp,1A3b_Road,1A3eii_Other-transp,other offroad
,1A4b_Residential_Commertial,1A4a_Commercial-institutional,
1A4b_Residential,1A4b_Residential_Commertial,1A4b_Residential,residential
,,,
1B2ai_Fugitive-petr-prod,Fugutive,1B1_Fugitive-solid-fuels,
1B2aiv_Fugitive-petr-refining,Fugutive,1B2_Fugitive-petr-and-gas,
1B2av_Fugitive-petr-distr,Fugutive,1B2d_Fugitive-other-energy,
1B2b_Fugitive-NG-prod-distr,Fugutive,,
,,,
2A1_Cement-production,2A1_Cement-production,2A1_Cement-production,cement
2A2_Lime-production,2A2_Lime-production,2A2_Lime-production,lime
2A6_Other-minerals,2A6_Other-minerals,2A6_Other-minerals,brick and glass
2B_Chemical-industry,2B_Chemical-industry,2B_Chemical-industry,inorganic / organic chemicals production
2C_Iron-steel-alloy-prod,2C_Metal-production,2C_Metal-production,iron and steel
2C3_Aluminum-production,2C_Metal-production,,aluminum
2C4_Non-Ferrous-other-metals,2C_Metal-production,,other non-ferrous
2D_Degreasing-Cleaning,2D_Degreasing-Cleaning,2D_Degreasing-Cleaning,"domestic solvent use, dry clean, priting gasoline cleaning"
2D3_Chemical-product-use,2D3_Chemical-product-use,2D3_Chemical-products-manufacture-processing,"printing ink, passenger vehicle treated, pesticle use, glue use"
2D_Paint-application,2D_Paint-application,2D_Paint-application,paint application
2D3_Other-product-use,Other_Product,2D3_Other-product-use,
2H_Pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood,"pulp, food, beverage, wood"
2L_Other-process-emissions,2H3_Other-industrial-processes,2L_Other-process-emissions,
3B_Manure-management,3B_Manure-management,3B_Manure-management,manure management
3D_Soil-emissions,3D_Soil-emissions,3D_Soil-emissions,fertilizer
3I_Agriculture-other,3I_Agriculture-other,3I_Agriculture-other,
3D_Rice-Cultivation,3D_Rice-Cultivation,3D_Rice-Cultivation,fertilizer
3E_Enteric-fermentation,3E_Enteric-fermentation,3E_Enteric-fermentation,
5A_Solid-waste-disposal,5A_Solid-waste-disposal,5A_Solid-waste-disposal,waste disposal
5E_Other-waste-handling,5E_Other-waste-handling,5E_Other-waste-handling,
5C_Waste-incineration,5C_Waste-incineration,5C_Waste-incineration,waste incineration
5D_Wastewater-handling,5D_Wastewater-handling,5D_Wastewater-handling,
6A_Other-in-total,6A_Other-in-total,6A_Other-in-total,
6B_Other-not-in-total,6B_Other-not-in-total,6B_Other-not-in-total,
7A_Fossil-fuel-fires,7A_Fossil-fuel-fires,7A_Fossil-fuel-fires,
