inv_sector,scaling_sector,ceds_sector,,Notes
Accommodation [*],,,,"[*] sectors have duplicated data across years, so CEDS doesn't scale to it"
Accommodation [440],,,,
Bakeries [*],,,,
Bakery Product Manufacturing [117],,,,
Barbeques [*],,,,
Cafes and Restaurants [*],,,,
"Pubs, Taverns and Bars [*]",,,,
"Data Processing, Web Hosting and Electronic Information Storage Services [592]",,,,
Recreational Boating [*],,,,
Agriculture (Machinery) [*],,,,
Motor Vehicle and Motor Vehicle Parts Wholesaling [350],,,,
Lawn Mowing (public open spaces) [*],,,,
Lawn Mowing [*],,,,
Other Personal Services [953],,,,
Warehousing and Storage Services [530],,,,
"Mineral, Metal and Chemical Wholesaling [332]",,,,
"Funeral, Crematorium and Cemetery Services [952]",,,,
"Funeral Directors, Crematoria and Cemeteries [*]",,,,
Technical and Further Education [*],,,,
Hospitals [840],,,,
Scientific Research Services [691],,,,
Central Government Administration [751],,,,
Service stations [*],,,,
Other Transport Support Services [529],,,,
Airport Operations and Other Air Transport Support Services [522],,,,
Tertiary Education [810],,,,
Waste Collection Services [291],,,,
Port Operators [*],,,,
Water Transport Support Services [521],,,,
Gas Supply [270],,,,
Liquid fuel burning (domestic) [*],,,,
Solid fuel burning (domestic) [*],,,,
Gaseous fuel burning (domestic) [*],,,,
,,,,
Rail Freight Transport [471],,,,
Rail Transport [*],,,,
Railways [*],,,,
Rail Passenger Transport [472],,,,
,,,,
"Pulp, Paper and Paperboard Manufacturing [151]",,,,
Milk and Cream Processing [*],,,,
Food Manufacturing n.e.c. [*],,,,
Meat and Meat Product Manufacturing [111],,,,
Textile Manufacturing [131],,,,
Textile Product Manufacturing [133],,,,
Timber and Hardware Goods Wholesaling [333],,,,
Seafood Processing [112],,,,
Grain Mill and Cereal Product Manufacturing [116],,,,
Sugar and Confectionery Manufacturing [118],,,,
Dairy Product Manufacturing [113],,,,
Other Wood Product Manufacturing [149],,,,
Beverage Manufacturing [121],,,,
"Newspaper, Periodical, Book and Directory Publishing [541]",,,,
Converted Paper Product Manufacturing [152],,,,
"Leather Tanning, Fur Dressing and Leather Product Manufacturing [132]",,,,
Clothing and Footwear Manufacturing [135],,,,
Fruit and Vegetable Processing [114],,,,
Other Food Product Manufacturing [119],,,,
Log Sawmilling and Timber Dressing [141],,,,
,,,,
,,,,
Print Shops / Graphic Arts [*],,,,
Printing and Printing Support Services [161],,,,
Cutback Bitumen [*],,,,
Solvent Use - Sub-threshold facilities [*],,,,
Motor Vehicle Refinishing [*],,,,
Domestic/Commercial solvents/ aerosols [*],,,,
,,,,
Traffic (Road Line) Marking [*],,,,
Architectural Surface Coatings [*],,,,
,,,,
Dry Cleaning [*],,,,
,,,,
Road Passenger Transport [462],,,,
Road Freight Transport [461],,,,
Motor Vehicles [*],,,,
,,,,
Pipeline and Other Transport [502],,,,
Water Passenger Transport [482],,,,
,,,,
Services to Air Transport [*],,,,
Aeroplanes [*],,,,
,,,,
Basic Non-Ferrous Metal Manufacturing [213],metal_production,2C_Metal-production,,
Basic Non-Ferrous Metal Product Manufacturing [214],metal_production,1A2b_Ind-Comb-Non-ferrous-metals,,
Structural Metal Product Manufacturing [222],metal_production,1A2a_Ind-Comb-Iron-steel,,
Structural Metal Product Manufacturing n.e.c. [*],metal_production,,,
Basic Ferrous Metal Manufacturing [211],metal_production,,,
Basic Ferrous Metal Product Manufacturing [212],metal_production,,,
Other Fabricated Metal Product Manufacturing [229],metal_production,,,
Metal Ore Mining [080],,,,
,,,,
Basic Chemical Manufacturing [181],,,,
,,,,
,,,,
Natural Rubber Product Manufacturing [192],,,,
Cleaning Compound and Toiletry Preparation Manufacturing [185],,,,
Fertiliser and Pesticide Manufacturing [183],,,,
Polymer Product Manufacturing [191],,,,
Basic Polymer Manufacturing [182],,,,
Other Basic Chemical Product Manufacturing [189],,,,
Pharmaceutical and Medicinal Product Manufacturing [184],,,,
,,,,
Glass and Glass Product Manufacturing [201],,,,
Other Non-Metallic Mineral Mining and Quarrying [099],,,,
Other Non-Metallic Mineral Product Manufacturing [209],,,,
Ceramic Product Manufacturing [202],,,,
"Cement, Lime, Plaster and Concrete Product Manufacturing [203]",,,,
Concrete Product Manufacturing n.e.c. [*],,,,
,,,,
Commercial Shipping/Boating [*],,,,
Commercial Shipping/Boating and Recreational Boating [*],,,,
Water Freight Transport [481],,,,
,,,,
Other Mining Support Services [109],,,,
Motor Vehicle and Motor Vehicle Part Manufacturing [231],,,,
Metal Container Manufacturing [223],,,,
Heavy and Civil Engineering Construction [310],,,,
Furniture Manufacturing [251],,,,
Professional and Scientific Equipment Manufacturing [241],,,,
Other Transport Equipment Manufacturing [239],,,,
Construction Material Mining [091],,,,
Cigarette and Tobacco Product Manufacturing [122],,,,
Cigarettes [*],,,,
Domestic Appliance Manufacturing [244],,,,
Electrical Equipment Manufacturing [243],,,,
Oil and Fat Manufacturing [115],,,,
Specialised Machinery and Equipment Manufacturing [246],,,,
Fuel Combustion - sub reporting threshold facilities [*],,,,
,,,,
Electricity Generation [261],power_plants,1A1a_Electricity-public,,
,,,,
,,,,
Petroleum and Coal Product Manufacturing [170],,,,
Petroleum and Coal Product Manufacturing n.e.c. [*],,,,
,,,,
Coal Mining [060],,,,
Oil and Gas Extraction [070],,,,
,,,,
Natural/Town Gas Leakage [*],,,,
,,,,
,,,,
Poultry Farming [017],,,,
"Sheep, Beef Cattle and Grain Farming [014]",,,,
Other Livestock Farming [019],,,,
,,,,
,,,,
Defence [760],,,,
Exploration [101],,,,
,,,,
"Water Supply, Sewerage and Drainage Services [281]",,,,
Landfill [*],,,,
"Waste Treatment, Disposal and Remediation Services [292]",,,,
Backyard Incinerators [*],,,,
,,,,
Biogenics [*],,,,Not included in CEDS
"Burning(fuel red., regen., agric.)/ Wildfires [*]",,,,Not included in CEDS
,,,,
,,,,
Other Administrative Services [729],,,,
Iron and Steel Forging [221],metal_production,,,
Agriculture (Livestock) [*],,,,
Pets and Humans [*],,,,
"Agriculture (Fertilisers and Crops, Tilling) [*]",,,,
Dairy Cattle Farming [016],,,,
