inv_sector,scaling_sector,ceds_sector
1A1a,1A1a,1A1a_Electricity-autoproducer
,1A1a,1A1a_Heat-production
1A1b,1A1bc_Other-transformation,1A1bc_Other-transformation
1A1c,1A1bc_Other-transformation,1A1bc_Other-transformation
1A2a,1A2a_Ind-Comb-Iron-steel,1A2a_Ind-Comb-Iron-steel
1A2b,1A2b_Ind-Comb-Non-ferrous-metals,1A2b_Ind-Comb-Non-ferrous-metals
1A2c,1A2c_Ind-Comb-Chemicals,1A2c_Ind-Comb-Chemicals
1A2d,1A2d_Ind-Comb-Pulp-paper,1A2d_Ind-Comb-Pulp-paper
1A2e,1A2e_Ind-Comb-Food-tobacco,1A2e_Ind-Comb-Food-tobacco
1A2f,1A2f_Ind-Comb-Non-metalic-minerals,1A2f_Ind-Comb-Non-metalic-minerals
1A2gvii,1A2g_Ind-Comb-machinery,1A2g_Ind-Comb-machinery
1A2gviii,1A2g_Ind-Comb-Construction,1A2g_Ind-Comb-Construction
1A3,,
1A3ai(i),1A3ai_International-aviation,1A3ai_International-aviation
1A3ai(ii),1A3ai_International-aviation,
1A3aii(i),1A3aii_Domestic-aviation,1A3aii_Domestic-aviation
1A3aii(ii),1A3aii_Domestic-aviation,
1A3bi,1A3b_Road,1A3b_Road
1A3bii,1A3b_Road,
1A3biii,1A3b_Road,
1A3biv,1A3b_Road,
1A3bvii,1A3b_Road,
1A3c,1A3c_Rail,1A3c_Rail
1A3di(i),1A3di_International-shipping,1A3di_International-shipping
1A3di(ii),1A3di_International-shipping,
1A3dii,1A3dii_Domestic-navigation,1A3dii_Domestic-navigation
1A3ei,1A3eii_Other-transp,
1A3eii,1A3eii_Other-transp,1A3eii_Other-transp
1A4ai,1A4a_Commercial-institutional,
1A4aii,1A4a_Commercial-institutional,1A4a_Commercial-institutional
1A4bi,1A4b_Residential,
1A4bii,1A4b_Residential,1A4b_Residential
1A4ci,1A4c_Agriculture-forestry-fishing,
1A4cii,1A4c_Agriculture-forestry-fishing,
1A4ciii,1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing
1A5a,1A5_Other-unspecified,
1A5b,1A5_Other-unspecified,
1A5c,1A5_Other-unspecified,1A5_Other-unspecified
1B1a,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels
1B1b,1B1_Fugitive-solid-fuels,
1B1c,,
1B2ai,1B2_Fugitive-petr-and-gas,1B2_Fugitive-petr
1B2aiv,1B2_Fugitive-petr-and-gas,1B2b_Fugitive-NG-prod
1B2av,1B2_Fugitive-petr-and-gas,1B2b_Fugitive-NG-distr
1B2b,1B2_Fugitive-petr-and-gas,
1B2c,1B2_Fugitive-petr-and-gas,
1B2d,1B2_Fugitive-petr-and-gas,
2A1,2A1_Cement-production,2A1_Cement-production
2A2,2A2_Lime-production,2A2_Lime-production
2A3,,
2A5a,,
2A6,2A6_Other-minerals,2A6_Other-minerals
,2B_Chemical-industry,2B_Chemical-industry
2B1,2B_Chemical-industry,
2B10a,2B_Chemical-industry,
2B10b,2B_Chemical-industry,
2B2,2B_Chemical-industry,2B2_Chemicals-Nitric-acid
,2B_Chemical-industry,2B3_Chemicals-Adipic-acid
2B5,2B_Chemical-industry,
2B6,2B_Chemical-industry,
2B7,2B_Chemical-industry,
2C1,2C_Metal-production,2C_Metal-production
2C2,2C_Metal-production,
2C3,2C_Metal-production,
2C4,2C_Metal-production,
2C5,2C_Metal-production,
2C6,2C_Metal-production,
2C7a,2C_Metal-production,
2C7b,2C_Metal-production,
2C7c,2C_Metal-production,
2C7d,2C_Metal-production,
2D3b,2D3_Other-product-use,
2D3c,2D3_Other-product-use,
2D3d,2D3_Other-product-use,
2D3e,2D3_Other-product-use,
2D3g,2D3_Other-product-use,
2D3h,2D3_Other-product-use,
2D3i,2D3_Other-product-use,
2G,2D3_Other-product-use,2D3_Other-product-use
2H1,2H_Pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood
2H2,2H_Pulp-and-paper-food-beverage-wood,
2H3,2H_Pulp-and-paper-food-beverage-wood,
2I,2H_Pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood
2L,2L_Other-process-emissions,2L_Other-process-emissions
3B3,3B_Manure-management,
3B4giv,3B_Manure-management,3B_Manure-management
3Da1,3D_Soil-emissions,
3Da4,3D_Soil-emissions,
3Dd,3D_Soil-emissions,3D_Soil-emissions
3F,3F_Agricultural-residue-burning-on-fields,3F_Agricultural-residue-burning-on-fields
5A,5A_Solid-waste-disposal,5A_Solid-waste-disposal
5B1,5E_Other-waste-handling,
5B2,5E_Other-waste-handling,5E_Other-waste-handling
5C1a,5C_Waste-incineration,
5C1bi,5C_Waste-incineration,
5C1bii,5C_Waste-incineration,
5C1biii,5C_Waste-incineration,
5C1biv,5C_Waste-incineration,
5C1bv,5C_Waste-incineration,5C_Waste-incineration
5C2,5C_Waste-incineration,
5D1,5D_Wastewater-handling,
5D2,5D_Wastewater-handling,5D_Wastewater-handling
5E,5E_Other-waste-handling,5E_Other-waste-handling
6A,6A_Other-in-total,6A_Other-in-total
6B,6B_Other-not-in-total,6B_Other-not-in-total
11A,11A_Volcanoes,11A_Volcanoes
11B,11B_Forest-fires,11B_Forest-fires
11C,11C_Other-natural,11C_Other-natural
,,7BC_Indirect-N2O-non-agricultural-N
