iso,scaling_sector,other,pre_ext_method,interp_method,post_ext_method
aut,Road,1980,linear_1,linear,constant
aut,Road,1980,linear_2,linear,constant
bel,Road,1985,linear_1,linear,constant
blr,Road,1980,linear_3,linear,constant
can,Road,1980,linear_4,linear,constant
che,Road,1970,linear_1,linear,constant
cyp,Road,1985,linear_1,linear,constant
cze,Road,1980,linear_1,linear,constant
deu,Road,1985,linear_1,linear,constant
dnk,Road,1980,linear_1,linear,constant
esp,Road,1985,linear_1,linear,constant
est,Road,1980,linear_1,linear,constant
fin,Road,1970,linear_1,linear,constant
fra,Road,1980,linear_1,linear,constant
gbr,Road,1980,linear_1,linear,constant
geo,Road,1980,linear_1,linear,constant
grc,Road,1980,linear_5,linear,constant
hrv,Road,1980,linear_1,linear,constant
hun,Road,1980,linear_6,linear,constant
irl,Road,1985,linear_1,linear,constant
isl,Road,1980,linear_1,linear,constant
ita,Road,1980,linear_1,linear,constant
kgz,Road,1985,linear_7,linear,constant
lie,Road,1985,linear_8,linear,constant
ltu,Road,1980,linear_1,linear,constant
lux,Road,1980,linear_1,linear,constant
lva,Road,1980,linear_1,linear,constant
mda,Road,1980,linear_9,linear,constant
mkd,Road,1980,linear_1,linear,constant
mlt,Road,1985,linear_10,linear,constant
mne,Road,1980,linear_11,linear,constant
nld,Road,1980,linear_1,linear,constant
nor,Road,1980,linear_1,linear,constant
pol,Road,1980,linear_1,linear,constant
prt,Road,1980,linear_1,linear,constant
rou,Road,1980,linear_1,linear,constant
srb,Road,1980,linear_12,linear,constant
svk,Road,1980,linear_1,linear,constant
svn,Road,1985,linear_1,linear,constant
swe,Road,1980,linear_1,linear,constant
tur,Road,1985,linear_13,linear,constant
ukr,Road,1985,linear_14,linear,constant
