inv_sector,scaling_sector,ceds_sector,Notes
comb-power_plants,power_plants,1A1a_Electricity-public,
comb-energy,power_plants,1A1a_Heat-production,
,,,
ncomb-industry-coke_ovens,other-transformation,1A1bc_Other-transformation,
ncomb-industry-oil_refinery,other-transformation,,
ncomb-industry-oth_transformation,other-transformation,,
ncomb-industry-power_plants,other-transformation,,
,,,
,industry,1A1a_Electricity-autoproducer,
comb-iron_steel,industry,1A2a_Ind-Comb-Iron-steel,
comb-non_ferr_met,industry,1A2b_Ind-Comb-Non-ferrous-metals,
comb-chem_petrchem,industry,1A2c_Ind-Comb-Chemicals,
,industry,1A2d_Ind-Comb-Pulp-paper,
,industry,1A2e_Ind-Comb-Food-tobacco,
comb-non_met_mine,industry,1A2f_Ind-Comb-Non-metalic-minerals,
,industry,1A2g_Ind-Comb-Construction,
,industry,1A2g_Ind-Comb-transpequip,
,industry,1A2g_Ind-Comb-machinery,
,industry,1A2g_Ind-Comb-mining-quarying,
,industry,1A2g_Ind-Comb-wood-products,
,industry,1A2g_Ind-Comb-textile-leather,
comb-others_ind,industry,1A2g_Ind-Comb-other,
comb-mining,industry,,
comb-construction,industry,,
comb-manufacturing,industry,,
comb-others,industry,1A2g_Ind-Comb-other,
,,,
comb-road,road,,
comb-road_cars,road,,
comb-road_buses,road,,
comb-road_l_trucks,road,,
comb-road_h_trucks,road,,
comb-road_mc,road,,
comb-road_others,road,1A3b_Road,
comb-railway_etc,railway_etc,1A3c_Rail,
comb-dom_navi,,1A3dii_Domestic-navigation,
,railway_etc,1A3eii_Other-transp,
comb-resident,RCO,1A4a_Commercial-institutional,
comb-comm_pub,RCO,1A4b_Residential,
comb-agr_fore_fish,RCO,1A4c_Agriculture-forestry-fishing,
comb-agr_fore,RCO,,
comb-fishing,RCO,,
comb-commercial,RCO,,
comb-agricult,RCO,,
,,,
,,,
ncomb-fugitive_emissions-fugitive_coal,fugitive_coal,1B1_Fugitive-solid-fuels,
ncomb-fugitive_emissions-fugitive_oil,fugitive_oil_gas,1B2_Fugitive-petr,
ncomb-fugitive_emissions-fugitive_gas,fugitive_oil_gas,,
,fugitive_oil_gas,1B2b_Fugitive-NG-prod,
ncomb-industry-gas_prod,fugitive_oil_gas,,
ncomb-industry-gasprod,fugitive_oil_gas,,
comb-gas_prod,fugitive_oil_gas,,
comb-gasprod,fugitive_oil_gas,,
,fugitive_oil_gas,1B2b_Fugitive-NG-distr,
ncomb-evaporative_emissions_from_vehicles-car_evap,fugitive_other,1B2d_Fugitive-other-energy,
,,,
ncomb-industry-glass,non_metalic_minerals,,
ncomb-industry-brick,non_metalic_minerals,,
ncomb-industry-ceramics,non_metalic_minerals,,
ncomb-industry-cement,non_metalic_minerals,2A1_Cement-production,
ncomb-industry-cment,non_metalic_minerals,,
ncomb-industry-bricks,non_metalic_minerals,,
ncomb-industry-lime,non_metalic_minerals,2A2_Lime-production,
,non_metalic_minerals,2A6_Other-minerals,
ncomb-industry-miming,non_metalic_minerals,,
ncomb-industry-mining,non_metalic_minerals,,
,,,
ncomb-industry-pig_iron,metal_production,2C_Metal-production,
ncomb-industry-crude_steel,metal_production,,
ncomb-industry-iron_and_steel,metal_production,,
ncomb-industry-iron_steel_others,metal_production,,
ncomb-industry-aluminum_alumina,metal_production,,
ncomb-industry-copper,metal_production,,
ncomb-industry-zinc,metal_production,,
ncomb-industry-lead,metal_production,,
ncomb-industry-non_ferrous_metal,metal_production,,
ncomb-industry-steel,metal_production,,
ncomb-industry-chemical_material,chemical-industry,2B_Chemical-industry,
,chemical-industry,2B2_Chemicals-Nitric-acid,
,chemical-industry,2B3_Chemicals-Adipic-acid,
ncomb-industry-chemical_product,chemical-industry,,
ncomb-industry-sulphric_acid,chemical-industry,,
ncomb-industry-paper,pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood,
ncomb-industry-wood,pulp-and-paper-food-beverage-wood,,
ncomb-industry-leather,pulp-and-paper-food-beverage-wood,,
ncomb-industry-textile,pulp-and-paper-food-beverage-wood,,
ncomb-industry-food,pulp-and-paper-food-beverage-wood,,
,chemical-industry,,
,chemical-industry,,
,chemical-industry,,
,chemical-industry,,
ncomb-industry-ammonia,chemical-industry,,
ncomb-industry-ammonium_nitrate,chemical-industry,,
ncomb-industry-fert_prod,chemical-industry,,
ncomb-industry-fertprod,chemical-industry,,
comb-fert_prod,chemical-industry,,
comb-fertprod,chemical-industry,,
ncomb-industry-nitric_acid,chemical-industry,,
ncomb-industry-plastic,chemical-industry,,
ncomb-industry-rubber,chemical-industry,,
ncomb-industry-adipic_acid,chemical-industry,,
ncomb-industry-chemical_ind,chemical-industry,,
,,,
ncomb-agriculture-enteric_fermentati,enteric-fermentation,3E_Enteric-fermentation,
ncomb-agriculture-manure_management,manure-management,3B_Manure-management,
ncomb-agriculture-rice_cultivation,rice-cultivation,3D_Rice-Cultivation,
ncomb-industry-urea,soil-emissions,3D_Soil-emissions,
ncomb-agriculture-fertilizer,soil-emissions,,
ncomb-soil-soil,soil-emissions,,
ncomb-agriculture-direct_soil,soil-emissions,,
ncomb-agriculture-indirect_soil,soil-emissions,,
,,,
solid_waste,solid_waste,,
ncomb-others-waste,solid_waste,5A_Solid-waste-disposal,
ncomb-others-waste_water,waste_water,5D_Wastewater-handling,
ncomb-others-human,waste_water,,
comb-waste_incin,waste-incineration,5C_Waste-incineration,
comb-wasteincin,waste-incineration,,
comb-small_incin,waste-incineration,,
comb-smallincin,waste-incineration,,
,,,
,,1A3aii_Domestic-aviation,
,,1A3ai_International-aviation,
,,1A3di_International-shipping,
,,,
ncomb-solvent_use-degreasing,Degreasing-Cleaning,2D_Degreasing-Cleaning,
ncomb-solvent_use-dry_cleaning,Degreasing-Cleaning,,
ncomb-solvent_use-other_prod,Other-product-use,2D3_Other-product-use,
ncomb-solvent_use-dom,Other-product-use,,
ncomb-solvent_use-other_usage,Other-product-use,,
ncomb-solvent_use-vehicle,Other-product-use,,
ncomb-solvent_use-printing,Chemical-products,2D3_Chemical-products-manufacture-processing,
ncomb-solvent_use-ink_prod,Chemical-products,,
ncomb-paint_use-architectural,Paint-application,2D_Paint-application,
ncomb-paint_use-dom,Paint-application,,
ncomb-paint_use-other_usage,Paint-application,,
ncomb-paint_use-vehicle,Paint-application,,
ncomb-solvent_use-paint_prod,Paint-application,,
,,,
ncomb-others-pet_dog,Other-process,2L_Other-process-emissions,
ncomb-others-extract_proc,Other-process,,
,,,
ncomb-industry-construction,Other-process,,
ncomb-industry-manufacturing,Other-process,,
,,,
ncomb-industry-non_specified,Other-process,,
ncomb-industry-others,Other-process,,
,,7BC_Indirect-N2O-non-agricultural-N,
