inv_sector,scaling_sector,ceds_sector,Notes
Abrasives Manufacture,Other-Industrial,,
Aluminum Industry,Metals,,
Asbestos Industry,Other-Industrial,,
Asphalt Paving Industry,2D3-Other-product-use,2D3_Other-product-use,
Bakeries,Other-Industrial,,
Cement and Concrete Industry,minerals,1A2f_Ind-Comb-Non-metalic-minerals,
,minerals,2A1_Cement-production,
,minerals,2A2_Lime-production,
,minerals,2A6_Other-minerals,
Chemicals Industry,Chemical-Industry,1A2c_Ind-Comb-Chemicals,
,Chemical-Industry,2B_Chemical-industry,
Mineral Products Industry,minerals,,
Foundries,other-transformation,1A1bc_Other-transformation,
Grain Industries,Other-Industrial,,
Iron and Steel Industries,Metals,1A2a_Ind-Comb-Iron-steel,
,Metals,1A2b_Ind-Comb-Non-ferrous-metals,
Iron Ore Mining Industry,Mining,1A2g_Ind-Comb-mining-quarying,
Mining and Rock Quarrying,Mining,,
Non-Ferrous Smelting and Refining Industry,Metals,2C_Metal-production,
Pulp and Paper Industry,Pulp-Paper-Wood,1A2d_Ind-Comb-Pulp-paper,
,Pulp-Paper-Wood,2H_Pulp-and-paper-food-beverage-wood,
Wood Industry,Pulp-Paper-Wood,,
,Pulp-Paper-Wood,1A2g_Ind-Comb-wood-products,
Upstream Petroleum Industry,other-transformation,,
Downstream Petroleum Industry,other-transformation,,
Petroleum Product Transportation and Distribution,other-transformation,,
,other-transformation,1B1_Fugitive-solid-fuels,
,other-transformation,1B2_Fugitive-petr-and-gas,
,other-transformation,1B2d_Fugitive-other-energy,
Other Industries,Other-Industrial,,
Commercial Fuel Combustion,Commercial,1A4a_Commercial-institutional,
Electric Power Generation (Utilities),1A1a-Electricity-public,1A1a_Electricity-public,
Residential Fuel Combustion,Residential,,
Residential Fuel Wood Combustion,Residential,1A4b_Residential,
Air Transportation,,1A3ai_International-aviation,
,,1A3aii_Domestic-aviation,
Heavy-duty diesel vehicles,Road,1A3b_Road,
Heavy-duty gasoline trucks,Road,,
Light-duty diesel trucks,Road,,
Light-duty diesel vehicles,Road,,
Light-duty gasoline trucks,Road,,
Light-duty gasoline vehicles,Road,,
Marine Transportation,,,
Motorcycles,Road,,
Off-road use of diesel,off-road,1A4c_Agriculture-forestry-fishing,
Off-road use of gasoline/LPG/CNG,off-road,,
,off-road,1A2g_Ind-Comb-Construction,
Rail Transportation,Rail,1A3c_Rail,
Tire wear & Brake Lining,1A3eii-Other-transp,,
Crematorium,5C-Waste-incineration,5C_Waste-incineration,
Industrial & Commercial Incineration,5C-Waste-incineration,,
Municipal Incineration,5C-Waste-incineration,,
Other Incineration & Utilities,5C-Waste-incineration,,
Cigarette Smoking,6A-Other-in-total,6A_Other-in-total,
Dry Cleaning,2D-Degreasing-Cleaning,,
General Solvent Use,2D-Degreasing-Cleaning,2D_Degreasing-Cleaning,
Marine Cargo Handling Industry,6A-Other-in-total,,
Meat Cooking,6A-Other-in-total,,
Refined Petroleum Products Retail,other-transformation,,
Printing,2D3-Chemical-product-use,2D3_Chemical-products-manufacture-processing,
Structural Fires,6A-Other-in-total,,
Surface Coatings,Paint,2D_Paint-application,
Human,6A-Other-in-total,,
Other Miscellaneous Sources,6A-Other-in-total,,
Agriculture,Agriculture,,
Construction Operations,off-road,,
Construction Operation,off-road,,
Dust from Paved Roads,1A3eii-Other-transp,,
Dust from Unpaved Roads,1A3eii-Other-transp,,
Dust from Coal Mining,1A3eii-Other-transp,,
Waste,Other-Waste,5E_Other-waste-handling,
Mine Tailings,6A-Other-in-total,,
Prescribed Burning,,,Does this include Ag waste on fields?
Natural Sources,,,
"Biogenics (Vegetation,soils)",,,
Forest Fires,,,
,Agriculture,3B_Manure-management,
,Agriculture,3D_Rice-Cultivation,
,Agriculture,3D_Soil-emissions,
,Agriculture,3E_Enteric-fermentation,
,Agriculture,3I_Agriculture-other,
,,,
,Other-Industrial,1A1a_Electricity-autoproducer,
,Other-Industrial,1A1a_Heat-production,
,Other-Industrial,1A2e_Ind-Comb-Food-tobacco,
,Other-Industrial,1A2g_Ind-Comb-machinery,
,Other-Industrial,1A2g_Ind-Comb-other,
,Other-Industrial,1A2g_Ind-Comb-textile-leather,
,Other-Industrial,1A2g_Ind-Comb-transpequip,
,,,
,,1A3di_International-shipping,
,,,
,,1A5_Other-unspecified,
,,,
,,5A_Solid-waste-disposal,
,,5D_Wastewater-handling,
,,,
,,2L_Other-process-emissions,
,,,
,,3F_Agricultural-residue-burning-on-fields,
,,,
,,6B_Other-not-in-total,
,,7A_Fossil-fuel-fires,
,,11A_Volcanoes,
,,11B_Forest-fires,
,,11C_Other-natural,
