inv_sector,scaling_sector,ceds_sector,Notes
PP,Heat_and_Power,1A1a_Electricity-public,
,Heat_and_Power,1A1a_Electricity-autoproducer,
,Heat_and_Power,1A1a_Heat-production,
IND,Industry,1A1bc_Other-transformation,
,Industry,1A2a_Ind-Comb-Iron-steel,
,Industry,1A2b_Ind-Comb-Non-ferrous-metals,
,Industry,1A2c_Ind-Comb-Chemicals,
,Industry,1A2d_Ind-Comb-Pulp-paper,
,Industry,1A2e_Ind-Comb-Food-tobacco,
,Industry,1A2f_Ind-Comb-Non-metalic-minerals,
,Industry,1A2g_Ind-Comb-transpequip,
,Industry,1A2g_Ind-Comb-machinery,
,Industry,1A2g_Ind-Comb-mining-quarying,
,Industry,1A2g_Ind-Comb-wood-products,
,Industry,1A2g_Ind-Comb-textile-leather,
,Industry,1A2g_Ind-Comb-other,
,,1A3ai_International-aviation,
,,1A3aii_Domestic-aviation,
ROAD,Transport,1A3b_Road,
OTRA,Transport,1A3c_Rail,
,,1A3di_International-shipping,
,,1A3dii_Domestic-navigation,
,Transport,1A3eii_Other-transp,
RESI,,1A4a_Commercial-institutional,Don't scale to RES sector because residential biomass consumption estimaes have often changed substantially
ODOM,,1A4b_Residential,
,,1A4c_Agriculture-forestry-fishing,
,,,
,Industry,1A2g_Ind-Comb-Construction,
,,1A5_Other-unspecified,
,Industry,1B1_Fugitive-solid-fuels,
,Industry,1B2_Fugitive-petr,
,,,
,Industry,1B2b_Fugitive-NG-prod,
,Industry,1B2b_Fugitive-NG-distr,
,Industry,1B2d_Fugitive-other-energy,
,Industry,2A1_Cement-production,
,Industry,2A2_Lime-production,
,Industry,2A6_Other-minerals,
,Industry,2B_Chemical-industry,
,Industry,2B2_Chemicals-Nitric-acid,
,Industry,2B3_Chemicals-Adipic-acid,
,Industry,2C_Metal-production,
,,,
,,,
,Industry,2D_Degreasing-Cleaning,
,Industry,2D_Paint-application,
,Industry,2D3_Chemical-products-manufacture-processing,
,Industry,2D3_Other-product-use,
,Industry,2H_Pulp-and-paper-food-beverage-wood,
,Industry,2L_Other-process-emissions,
,Industry,3B_Manure-management,
,Industry,3D_Soil-emissions,
,Industry,3I_Agriculture-other,
,Industry,3D_Rice-Cultivation,
,Industry,3E_Enteric-fermentation,
,,3F_Agricultural-residue-burning-on-fields,
,,,
,Industry,5A_Solid-waste-disposal,
,Industry,5E_Other-waste-handling,
,,5C_Waste-incineration,
,Industry,6A_Other-in-total,
,Industry,5D_Wastewater-handling,
,,7BC_Indirect-N2O-non-agricultural-N,
