inv_sector,scaling_sector,ceds_sector,Notes,Notes2
Electricity and gas supply,energy,1A1a_Electricity-public,,
Industry_Electricity,energy,1A1a_Heat-production,,
,,,,
Industry_Oil refinery ,other-transformation,1A1bc_Other-transformation,,
Manufacturing_Pretroleum and coal products,other-transformation,,,
,,,,
Commercial_Catering service,RCO,1A4a_Commercial-institutional,,
Commercial_Dry cleaning,RCO,1A4b_Residential,,
Commercial_Gas station,RCO,,,
Commercial_Catering service (cooking fumes),RCO,,,
Commercial_General,RCO,,,
Commercial_Hotel,RCO,,,
Commercial_motor vehicle maintenance - non-stationary,RCO,,,
Commercial_motor vehicle maintenance - stationary,RCO,,,
Commercial_motor vehicle maintenance,RCO,,,
Commercial_Others,industry_metals_mines,,"Is very large, assume is actually industry (scaling works out well, comparable to REAS)",
Hotels and restaurants ,RCO,,,
Government buildings,RCO,,,
Other,RCO,,,
Other services ,RCO,,,
Residential,RCO,,,
Residential buildings,RCO,,,
Wholesale and retails ,RCO,,,
Non-road transportation_Agricultural machinery,industry_metals_mines,1A4c_Agriculture-forestry-fishing,,
"Supporting services (e.g. rentals, cleaning, etc.)",industry_metals_mines,,,
,,,,
On-road transportation,on-road transportation,1A3b_Road,,
On-road transportation_2-Wheelers_2-stroke,on-road transportation,,,
On-road transportation_2-Wheelers_4-stroke,on-road transportation,,,
On-road transportation_Diesel vehicles_Buses,on-road transportation,,,
On-road transportation_Diesel vehicles_Heavy trucks,on-road transportation,,,
On-road transportation_Diesel vehicles_Light trucks,on-road transportation,,,
On-road transportation_Diesel vehicles_Other big passenger vechiles ,on-road transportation,,,
On-road transportation_Gasoline vehicles_LDVs,on-road transportation,,,
On-road transportation_Gasoline vehicles_Light trucks,on-road transportation,,,
On-road transportation_Gasoline vehicles_Taxi,on-road transportation,,,
On-road transportation_Gasoline vehicles_Special vehicles ,on-road transportation,,,
On-road transportation_hybrid vehicles  (LPG),on-road transportation,,,
On-road transportation_Diesel vehicles_Small buses,on-road transportation,,,
On-road transportation_Diesel vehicles_Special vehicles ,on-road transportation,,,
On-road transportation_Diesel vehicles_Buses/passenger vehicles,on-road transportation,,,
On-road transportation_Diesel vehicles_Other big passenger vehicles ,on-road transportation,,,
,,,,
Shipping,,1A3dii_Domestic-navigation,"Don't scale shipping,calculated consistently globally only",
Non-road transportation_Shipping,,1A3di_International-shipping,"Don't scale shipping,calculated consistently globally only",
,,,,
Non-road transportation_Rails,rail,1A3c_Rail,,
,,1A3eii_Other-transp,,
,,,,
Incinerator,waste,5C_Waste-incineration,,
Landfills,waste,5A_Solid-waste-disposal,,
Open burning_Landfills,waste,5D_Wastewater-handling,,
Water supply and wastewater treatment,waste,,,
,,,,
Aviation,,1A3aii_Domestic-aviation,"Don't scale shipping,calculated consistently globally only",
Non-road transportation_Aviation,,1A3ai_International-aviation,"Don't scale shipping,calculated consistently globally only",
,,,,
Industry_Metal products,industry_metals_mines,2C_Metal-production,,
Industry_Non-ferrous metal products,industry_metals_mines,1A2a_Ind-Comb-Iron-steel,,
Industry_Iron & steel,industry_metals_mines,1A2b_Ind-Comb-Non-ferrous-metals,,
Manufacturing_Metal products,industry_metals_mines,,,
Manufacturing_Base metals,industry_metals_mines,,,
,,,,
Industry_Food,pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood,,
Industry_Paper,pulp-and-paper-food-beverage-wood,1A2d_Ind-Comb-Pulp-paper,,
Industry_Textile,pulp-and-paper-food-beverage-wood,1A2e_Ind-Comb-Food-tobacco,,
Industry_Timber,pulp-and-paper-food-beverage-wood,1A2g_Ind-Comb-wood-products,,
"Industry_Leather, fur and related products",pulp-and-paper-food-beverage-wood,,,
Manufacturing_Food,pulp-and-paper-food-beverage-wood,,,
"Manufacturing_Leather, fur and related products",pulp-and-paper-food-beverage-wood,,,
"Manufacturing_Paper pulp, paper and related products",pulp-and-paper-food-beverage-wood,,,
Manufacturing_Textile,pulp-and-paper-food-beverage-wood,,,
Manufacturing_Textile wearing and appreal,pulp-and-paper-food-beverage-wood,,,
Manufacturing_Timber and bamboo products,pulp-and-paper-food-beverage-wood,,,
Manufacturing_Tobacco,pulp-and-paper-food-beverage-wood,,,
Manufacturing_Beverages,pulp-and-paper-food-beverage-wood,,,
,,,,
,,,,
Manufacturing_Medicine and chemical products for medical purposes,industry_metals_mines,2B_Chemical-industry,,
Industry_Chemical materials,industry_metals_mines,2D_Paint-application,,
Industry_Chemical products,industry_metals_mines,2D_Degreasing-Cleaning,,
Industry_Pharmaceutical ,industry_metals_mines,2D3_Chemical-products-manufacture-processing,,
Manufacturing_Chemical materials,industry_metals_mines,2D3_Other-product-use,,
Manufacturing_Chemical products,industry_metals_mines,1A2c_Ind-Comb-Chemicals,,
Industry_Plastic products,industry_metals_mines,,,
Manufacturing_Plastic products,industry_metals_mines,,,
Manufacturing_Rubber products,industry_metals_mines,,,
Industry_Rubber products,industry_metals_mines,,,
,,,,
Industry_Brick& refractory materials,industry_metals_mines,2A1_Cement-production,,
Industry_Cement,industry_metals_mines,2A2_Lime-production,,
Industry_Ceramics,industry_metals_mines,2A6_Other-minerals,,
Industry_Asphalt,industry_metals_mines,1A2f_Ind-Comb-Non-metalic-minerals,,
Industry_Glass,industry_metals_mines,1A2g_Ind-Comb-mining-quarying,,
Manufacturing_Non-metal ores,industry_metals_mines,,,
,,,,
Manufacturing_Printing and reproduction of recording media,SLV,2D_Degreasing-Cleaning,,
Industry_Solvent use,SLV,2D3_Other-product-use,,
Industry_Printed circuit board,SLV,2D_Paint-application,,
Industry_Printing ,SLV,2D3_Chemical-products-manufacture-processing,,
Industry_Dyeing & finishing,SLV,,,
,,,,
,industry_metals_mines,1A1a_Electricity-autoproducer,,
Industry_Electronics,industry_metals_mines,,,
Industry_Transportation equipment,industry_metals_mines,,,
Industry_Warehousing,industry_metals_mines,,,
"Manufacturing_Computers, electronics and optical products",industry_metals_mines,,,
Manufacturing_Electrical equipments,industry_metals_mines,,,
Manufacturing_Electronic components,industry_metals_mines,,,
Manufacturing_Motor vehicles and parts,industry_metals_mines,1A2g_Ind-Comb-Construction,,
Manufacturing_Machineryand equipments,industry_metals_mines,1A2g_Ind-Comb-transpequip,,
"Manufacturing_Industrial machinery and equipments, mantenance and installation",industry_metals_mines,1A2g_Ind-Comb-machinery,,
Mining & resource extraction,industry_metals_mines,1A2g_Ind-Comb-textile-leather,,
Industry_Mining & resource extraction,industry_metals_mines,,,
Industry_Transportation equipment,industry_metals_mines,,,
"Manufacturing_Industrial machinery and equipments, mantenance and installation",industry_metals_mines,1A2g_Ind-Comb-other,,
Manufacturing_Other transportation and parts,industry_metals_mines,,,
Manufacturing_Other,industry_metals_mines,,,
Industry_Others,industry_metals_mines,,,
Manufacturing_Furniture,industry_metals_mines,,,
Industry_Shoemaking,industry_metals_mines,,,
Industry_Surface coating,industry_metals_mines,,,
Industry_Warehousing,industry_metals_mines,,,
Construction,industry_metals_mines,,,
Construction_Agriculture related,industry_metals_mines,,,
Construction_Archetectural coating - oily,industry_metals_mines,,,
Construction_Archetectural coating - waterborne,industry_metals_mines,,,
Construction_Asphalt paving,industry_metals_mines,,,
Construction_Construction,industry_metals_mines,,,
Construction_Mine fields,industry_metals_mines,,,
Construction_Mine fields & Agriculture related,industry_metals_mines,,,
Construction_Road fugitive dust (w/ pavement),industry_metals_mines,,,
Construction_Road fugitive dust (w/o pavement),industry_metals_mines,,,
Construction_Wind erosion on bare ground surface,industry_metals_mines,,,
Wind erosion on bare ground surface,industry_metals_mines,,,
,industry_metals_mines,1B1_Fugitive-solid-fuels,,
,industry_metals_mines,1B2_Fugitive-petr,,
,industry_metals_mines,1B2b_Fugitive-NG-prod,,
,industry_metals_mines,1B2b_Fugitive-NG-distr,,
,industry_metals_mines,1B2d_Fugitive-other-energy,,
,,,,
,,,,
Agriculture,industry_metals_mines,,,
,,,,
,,,,
Open burning_Orchards,,,,
Open burning_Paddy fields,,,,
Open burning_Sugarcane fields,,,,
Wildfire,,,,
,,,,
,,,,
,,7BC_Indirect-N2O-non-agricultural-N,,
